slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y,difficulty
minimum-number-of-operations-to-make-word-k-periodic,42.9757,Accepted,820.0,820.0,68.0854,SUCCESS,6.3828,Accepted,True,Medium,Medium,Medium
longest-unequal-adjacent-groups-subsequence-ii,88.2839,Accepted,443.0,443.0,29.4491,SUCCESS,68.076,Accepted,True,Medium,Medium,Medium
valid-arrangement-of-pairs,54.5035,Accepted,40.0,40.0,75.4624,SUCCESS,93.9812,Accepted,True,Hard,Hard,Hard
check-if-every-row-and-column-contains-all-numbers,50.9324,Accepted,227.0,227.0,52.2631,SUCCESS,76.3374,Accepted,True,Easy,Easy,Easy
maximum-number-of-integers-to-choose-from-a-range-i,63.1576,Accepted,208.0,208.0,85.3551,SUCCESS,5.0296,Accepted,True,Medium,Medium,Medium
shortest-impossible-sequence-of-rolls,41.4142,Accepted,65.0,65.0,45.4546,SUCCESS,58.4416,Accepted,True,Hard,Hard,Hard
count-substrings-that-satisfy-k-constraint-i,46.8691,Accepted,780.0,780.0,36.6224,SUCCESS,18.9752,Accepted,True,Easy,Easy,Easy
count-pairs-of-connectable-servers-in-a-weighted-tree-network,39.1284,Accepted,716.0,716.0,44.5632,SUCCESS,100.0,Accepted,True,Medium,Medium,Medium
minimum-changes-to-make-alternating-binary-string,60.5261,Accepted,89.0,89.0,87.0564,SUCCESS,62.4217,Accepted,True,Easy,Easy,Easy
maximum-difference-between-adjacent-elements-in-a-circular-array,100.0,Accepted,962.0,962.0,64.9706,SUCCESS,16.047,Accepted,True,Easy,Easy,Easy
find-special-substring-of-length-k,22.9298,Accepted,812.0,812.0,44.8231,SUCCESS,86.1074,Accepted,True,Easy,Easy,Easy
find-the-maximum-factor-score-of-array,93.6709,Accepted,752.0,752.0,47.7268,SUCCESS,24.9999,Accepted,True,Medium,Medium,Medium
minimum-deletions-to-make-array-divisible,,Wrong Answer,49.0,49.0,34.0785,SUCCESS,80.4469,Accepted,True,Hard,Hard,Hard
check-balanced-string,100.0,Accepted,868.0,868.0,53.125,SUCCESS,38.9706,Accepted,True,Easy,Easy,Easy
determine-the-minimum-sum-of-a-k-avoiding-array,53.3334,Accepted,2502.0,2502.0,51.8517,SUCCESS,59.8765,Accepted,True,Medium,Medium,Medium
minimum-levels-to-gain-more-points,23.5303,Accepted,855.0,855.0,46.9236,SUCCESS,76.1539,Accepted,True,Medium,Medium,Medium
maximum-subsequence-score,88.4683,Accepted,28.0,28.0,35.4399,SUCCESS,86.3186,Accepted,True,Medium,Medium,Medium
find-champion-ii,76.6094,Accepted,758.0,758.0,54.1174,SUCCESS,33.476,Accepted,True,Medium,Medium,Medium
find-the-first-player-to-win-k-games-in-a-row,75.3519,Accepted,684.0,684.0,47.4574,SUCCESS,85.5932,Accepted,True,Medium,Medium,Medium
cat-and-mouse-ii,5.8135,Accepted,180.0,180.0,15.1502,SUCCESS,22.7266,Accepted,True,Hard,Hard,Hard
special-array-ii,91.4754,Accepted,536.0,536.0,58.2397,SUCCESS,80.8988,Accepted,True,Medium,Medium,Medium
snake-in-matrix,43.3021,Accepted,983.0,983.0,100.0,SUCCESS,9.8331,Accepted,True,Easy,Easy,Easy
count-paths-that-can-form-a-palindrome-in-a-tree,21.4271,Accepted,666.0,666.0,51.1116,SUCCESS,20.0006,Accepted,True,Hard,Hard,Hard
find-number-of-ways-to-reach-the-k-th-stair,34.2854,Accepted,600.0,600.0,61.3206,SUCCESS,37.7358,Accepted,True,Hard,Hard,Hard
minimum-number-of-increments-on-subarrays-to-form-a-target-array,93.1696,Accepted,129.0,129.0,86.6346,SUCCESS,31.4009,Accepted,True,Hard,Hard,Hard
find-the-original-array-of-prefix-xor,49.7696,Accepted,46.0,46.0,84.6045,SUCCESS,65.4645,Accepted,True,Medium,Medium,Medium
minimize-string-length,69.2759,Accepted,5013.0,5013.0,68.3673,SUCCESS,96.5306,Accepted,True,Easy,Easy,Easy
minimize-maximum-of-array,59.4523,Accepted,68.0,68.0,48.2681,SUCCESS,97.2773,Accepted,True,Medium,Medium,Medium
minimize-the-maximum-difference-of-pairs,39.0175,Accepted,1582.0,1582.0,50.1835,SUCCESS,38.5456,Accepted,True,Medium,Medium,Medium
count-vowel-substrings-of-a-string,35.9869,Accepted,88.0,88.0,27.0898,SUCCESS,82.2388,Accepted,True,Easy,Easy,Easy
find-the-n-th-value-after-k-seconds,62.2645,Accepted,708.0,708.0,44.2409,SUCCESS,47.2727,Accepted,True,Medium,Medium,Medium
find-all-good-indices,55.3573,Accepted,68.0,68.0,65.5399,SUCCESS,37.8372,Accepted,True,Medium,Medium,Medium
maximum-energy-boost-from-two-drinks,43.3819,Accepted,563.0,563.0,53.7915,SUCCESS,61.3789,Accepted,True,Medium,Medium,Medium
collecting-chocolates,19.9981,Accepted,2564.0,2564.0,53.6224,SUCCESS,98.5507,Accepted,True,Medium,Medium,Medium
sum-of-number-and-its-reverse,58.921,Accepted,258.0,258.0,58.5118,SUCCESS,79.2554,Accepted,True,Medium,Medium,Medium
painting-a-grid-with-three-different-colors,94.4312,Accepted,84.0,84.0,26.5343,SUCCESS,82.0956,Accepted,True,Hard,Hard,Hard
maximum-number-of-robots-within-budget,27.3456,Accepted,82.0,82.0,69.061,SUCCESS,48.7623,Accepted,True,Hard,Hard,Hard
apply-operations-on-array-to-maximize-sum-of-squares,51.1624,Accepted,918.0,918.0,78.7879,SUCCESS,87.8788,Accepted,True,Hard,Hard,Hard
merge-bsts-to-create-single-bst,37.1779,Accepted,475.0,475.0,98.1308,SUCCESS,82.2429,Accepted,True,Hard,Hard,Hard
find-the-longest-equal-subarray,63.8137,Accepted,1422.0,1422.0,48.9968,SUCCESS,16.8676,Accepted,True,Medium,Medium,Medium
intersection-of-multiple-arrays,100.0,Accepted,151.0,151.0,100.0,SUCCESS,69.4482,Accepted,True,Easy,Easy,Easy
find-xor-sum-of-all-pairs-bitwise-and,23.3083,Accepted,84.0,84.0,67.5673,SUCCESS,97.2972,Accepted,True,Hard,Hard,Hard
beautiful-towers-i,57.6081,Accepted,785.0,785.0,59.391,SUCCESS,64.9747,Accepted,True,Medium,Medium,Medium
put-marbles-in-bags,81.2801,Accepted,,,76.58,,35.1,Accepted,True,Hard,Hard,Hard
earliest-second-to-mark-indices-i,68.254,Accepted,570.0,570.0,71.875,SUCCESS,51.5625,Accepted,True,Medium,Medium,Medium
divide-players-into-teams-of-equal-skill,88.1702,Accepted,89.0,89.0,80.1652,SUCCESS,13.6954,Accepted,True,Medium,Medium,Medium
find-the-width-of-columns-of-a-grid,,Wrong Answer,50.0,50.0,96.4584,SUCCESS,69.7918,Accepted,True,Easy,Easy,Easy
decode-the-message,70.2634,Accepted,69.0,69.0,53.3108,SUCCESS,46.2649,Accepted,True,Easy,Easy,Easy
count-prefix-and-suffix-pairs-i,99.3933,Accepted,594.0,594.0,90.9546,SUCCESS,39.1959,Accepted,True,Easy,Easy,Easy
longest-non-decreasing-subarray-from-two-arrays,99.2518,Accepted,2973.0,2973.0,71.6291,SUCCESS,73.0337,Accepted,True,Medium,Medium,Medium
check-if-string-is-transformable-with-substring-sort-operations,36.0,Accepted,138.0,138.0,39.3163,SUCCESS,57.265,Accepted,True,Hard,Hard,Hard
find-the-divisibility-array-of-a-string,59.9055,Accepted,51.0,51.0,78.4921,SUCCESS,84.0782,Accepted,True,Medium,Medium,Medium
design-graph-with-shortest-path-calculator,93.3736,Accepted,36.0,36.0,64.119,SUCCESS,30.5882,Accepted,True,Hard,Hard,Hard
fruits-into-baskets-ii,,Wrong Answer,904.0,904.0,49.1796,SUCCESS,56.4251,Accepted,True,Easy,Easy,Easy
faulty-keyboard,59.4988,Accepted,3005.0,3005.0,20.5318,SUCCESS,15.3618,Accepted,True,Easy,Easy,Easy
count-the-number-of-incremovable-subarrays-i,,Wrong Answer,615.0,615.0,63.6375,SUCCESS,43.3884,Accepted,True,Easy,Easy,Easy
smallest-missing-non-negative-integer-after-operations,63.9336,Accepted,1062.0,1062.0,70.5042,SUCCESS,57.5542,Accepted,True,Medium,Medium,Medium
sum-multiples,100.0,Accepted,1000.0,1000.0,64.4929,SUCCESS,67.1843,Accepted,True,Easy,Easy,Easy
length-of-longest-subarray-with-at-most-k-frequency,98.1688,Accepted,993.0,993.0,81.9885,SUCCESS,71.5566,Accepted,True,Medium,Medium,Medium
decode-xored-array,37.1252,Accepted,76.0,76.0,100.0,SUCCESS,62.7054,Accepted,True,Easy,Easy,Easy
destroy-sequential-targets,62.8568,Accepted,45.0,45.0,71.9624,SUCCESS,26.1679,Accepted,True,Medium,Medium,Medium
maximum-deletions-on-a-string,58.75,Accepted,129.0,129.0,63.8291,SUCCESS,85.1063,Accepted,True,Hard,Hard,Hard
minimum-difference-in-sums-after-removal-of-elements,46.1088,Accepted,110.0,110.0,56.9589,SUCCESS,77.5315,Accepted,True,Hard,Hard,Hard
make-array-empty,62.5,Accepted,514.0,514.0,45.9448,SUCCESS,68.9187,Accepted,True,Hard,Hard,Hard
ways-to-split-array-into-good-subarrays,84.4153,Accepted,553.0,553.0,59.9996,SUCCESS,20.6448,Accepted,True,Medium,Medium,Medium
minimize-length-of-array-using-operations,44.8277,Accepted,523.0,523.0,79.4116,SUCCESS,67.647,Accepted,True,Medium,Medium,Medium
maximum-sum-of-almost-unique-subarray,46.114,Accepted,767.0,767.0,55.8727,SUCCESS,53.6508,Accepted,True,Medium,Medium,Medium
double-a-number-represented-as-a-linked-list,64.9689,Accepted,1265.0,1265.0,84.0105,SUCCESS,41.8782,Accepted,True,Medium,Medium,Medium
maximum-number-of-distinct-elements-after-operations,53.7734,Accepted,633.0,633.0,46.9678,SUCCESS,79.2929,Accepted,True,Medium,Medium,Medium
split-array-into-maximum-number-of-subarrays,66.102,Accepted,887.0,887.0,57.692,SUCCESS,78.2051,Accepted,True,Medium,Medium,Medium
count-operations-to-obtain-zero,100.0,Accepted,161.0,161.0,80.1642,SUCCESS,15.7276,Accepted,True,Easy,Easy,Easy
find-consecutive-integers-from-a-data-stream,10.2765,Accepted,38.0,38.0,89.0108,SUCCESS,6.3183,Accepted,True,Medium,Medium,Medium
find-first-palindromic-string-in-the-array,11.8208,Accepted,266.0,266.0,100.0,SUCCESS,80.7345,Accepted,True,Easy,Easy,Easy
maximum-strong-pair-xor-i,77.5887,Accepted,861.0,861.0,66.4739,SUCCESS,97.8805,Accepted,True,Easy,Easy,Easy
make-three-strings-equal,27.1551,Accepted,1935.0,1935.0,25.9385,SUCCESS,92.1502,Accepted,True,Easy,Easy,Easy
smallest-missing-genetic-value-in-each-subtree,89.5834,Accepted,68.0,68.0,90.9091,SUCCESS,86.3637,Accepted,True,Hard,Hard,Hard
count-the-number-of-incremovable-subarrays-ii,,Wrong Answer,840.0,840.0,75.0,SUCCESS,50.9616,Accepted,True,Hard,Hard,Hard
maximize-area-of-square-hole-in-grid,100.0,Accepted,524.0,524.0,8.9886,SUCCESS,48.3146,Accepted,True,Medium,Medium,Medium
string-compression-iii,,Wrong Answer,744.0,744.0,59.142,SUCCESS,39.9996,Accepted,True,Medium,Medium,Medium
count-anagrams,93.4108,Accepted,41.0,41.0,58.0187,SUCCESS,51.415,Accepted,True,Hard,Hard,Hard
merge-strings-alternately,43.8002,Accepted,108.0,108.0,56.4418,SUCCESS,73.853,Accepted,True,Easy,Easy,Easy
count-number-of-pairs-with-absolute-difference-k,65.489,Accepted,237.0,237.0,100.0,SUCCESS,18.4794,Accepted,True,Easy,Easy,Easy
append-characters-to-string-to-make-subsequence,97.7778,Accepted,86.0,86.0,90.3382,SUCCESS,20.2899,Accepted,True,Medium,Medium,Medium
manhattan-distances-of-all-arrangements-of-pieces,65.625,Accepted,919.0,919.0,59.615,SUCCESS,26.9227,Accepted,True,Hard,Hard,Hard
longest-subsequence-with-limited-sum,97.7214,Accepted,57.0,57.0,65.7516,SUCCESS,25.4248,Accepted,True,Easy,Easy,Easy
minimize-deviation-in-array,63.636,Accepted,76.0,76.0,67.1225,SUCCESS,68.4931,Accepted,True,Hard,Hard,Hard
reward-top-k-students,54.6219,Accepted,30.0,30.0,54.4247,SUCCESS,68.1417,Accepted,True,Medium,Medium,Medium
maximum-value-of-an-ordered-triplet-ii,,Wrong Answer,599.0,599.0,72.1853,SUCCESS,97.2923,Accepted,True,Medium,Medium,Medium
maximum-subarray-with-equal-products,,Wrong Answer,865.0,865.0,57.8803,SUCCESS,54.3478,Accepted,True,Easy,Easy,Easy
find-the-maximum-divisibility-score,93.151,Accepted,160.0,160.0,64.8,SUCCESS,90.0,Accepted,True,Easy,Easy,Easy
min-max-game,65.3125,Accepted,96.0,96.0,25.8171,SUCCESS,40.8497,Accepted,True,Easy,Easy,Easy
maximum-number-of-groups-with-increasing-length,63.4781,Accepted,2027.0,2027.0,55.6914,SUCCESS,94.309,Accepted,True,Hard,Hard,Hard
longest-uploaded-prefix,86.3632,Accepted,24.0,24.0,85.714,SUCCESS,12.8568,Accepted,True,Medium,Medium,Medium
build-a-matrix-with-conditions,52.7919,Accepted,53.0,53.0,68.9903,SUCCESS,87.0192,Accepted,True,Hard,Hard,Hard
maximum-number-of-k-divisible-components,37.9998,Accepted,736.0,736.0,80.9885,SUCCESS,26.2356,Accepted,True,Hard,Hard,Hard
strange-printer-ii,61.6869,Accepted,153.0,153.0,67.3765,SUCCESS,5.6737,Accepted,True,Hard,Hard,Hard
count-array-pairs-divisible-by-k,,Wrong Answer,115.0,115.0,70.1287,SUCCESS,87.0129,Accepted,True,Hard,Hard,Hard
minimum-number-of-days-to-disconnect-island,76.875,Accepted,104.0,104.0,68.3459,SUCCESS,75.5396,Accepted,True,Hard,Hard,Hard
number-of-unequal-triplets-in-array,20.493,Accepted,104.0,104.0,70.6514,SUCCESS,58.6994,Accepted,True,Easy,Easy,Easy
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,78.8239,Accepted,691.0,691.0,24.242,SUCCESS,85.4545,Accepted,True,Medium,Medium,Medium
frog-jump-ii,62.6604,Accepted,34.0,34.0,65.0976,SUCCESS,47.0589,Accepted,True,Medium,Medium,Medium
count-submatrices-with-top-left-element-and-sum-less-than-k,88.957,Accepted,859.0,859.0,71.8226,SUCCESS,23.7568,Accepted,True,Medium,Medium,Medium
minimum-increment-operations-to-make-array-beautiful,76.1905,Accepted,570.0,570.0,49.495,SUCCESS,39.394,Accepted,True,Medium,Medium,Medium
number-of-beautiful-integers-in-the-range,59.2102,Accepted,,,45.16,,43.01,Accepted,True,Hard,Hard,Hard
count-of-interesting-subarrays,50.7523,Accepted,617.0,617.0,74.1759,SUCCESS,67.9745,Accepted,True,Medium,Medium,Medium
stone-game-iii,93.253,Accepted,,,65.21,,86.13,Accepted,True,Hard,Hard,Hard
longest-nice-substring,70.941,Accepted,73.0,73.0,73.0665,SUCCESS,40.0363,Accepted,True,Easy,Easy,Easy
sum-in-a-matrix,92.0001,Accepted,1057.0,1057.0,63.8888,SUCCESS,37.4999,Accepted,True,Medium,Medium,Medium
cousins-in-binary-tree-ii,73.171,Accepted,41.0,41.0,53.4441,SUCCESS,93.3491,Accepted,True,Medium,Medium,Medium
count-the-number-of-arrays-with-k-matching-adjacent-elements,47.0527,Accepted,809.0,809.0,76.5428,SUCCESS,7.4073,Accepted,True,Hard,Hard,Hard
largest-element-in-an-array-after-merge-operations,95.4838,Accepted,1023.0,1023.0,73.2921,SUCCESS,83.2299,Accepted,True,Medium,Medium,Medium
maximum-prime-difference,58.9481,Accepted,904.0,904.0,68.7499,SUCCESS,35.5769,Accepted,True,Medium,Medium,Medium
kth-distinct-string-in-an-array,71.0307,Accepted,66.0,66.0,68.1016,SUCCESS,67.7488,Accepted,True,Easy,Easy,Easy
latest-time-you-can-obtain-after-replacing-characters,99.1416,Accepted,908.0,908.0,90.1236,SUCCESS,35.3087,Accepted,True,Easy,Easy,Easy
maximum-number-of-alloys,,Wrong Answer,731.0,731.0,68.841,SUCCESS,58.6957,Accepted,True,Medium,Medium,Medium
largest-3-same-digit-number-in-string,100.0,Accepted,141.0,141.0,18.555,SUCCESS,41.0509,Accepted,True,Easy,Easy,Easy
car-fleet-ii,79.6051,Accepted,85.0,85.0,72.3078,SUCCESS,76.1539,Accepted,True,Hard,Hard,Hard
count-common-words-with-one-occurrence,72.4234,Accepted,61.0,61.0,100.0,SUCCESS,24.3921,Accepted,True,Easy,Easy,Easy
minimum-time-to-repair-cars,82.9341,Accepted,1072.0,1072.0,81.1238,SUCCESS,82.251,Accepted,True,Medium,Medium,Medium
minimum-cost-to-make-all-characters-equal,80.2467,Accepted,1574.0,1574.0,71.25,SUCCESS,73.75,Accepted,True,Medium,Medium,Medium
robot-collisions,58.7091,Accepted,2433.0,2433.0,60.7135,SUCCESS,32.8563,Accepted,True,Hard,Hard,Hard
generate-binary-strings-without-adjacent-zeros,68.8051,Accepted,,,65.56,,45.88,Accepted,True,Medium,Medium,Medium
design-spreadsheet,75.3221,Accepted,658.0,658.0,84.0784,SUCCESS,70.6618,Accepted,True,Medium,Medium,Medium
allocate-mailboxes,,Wrong Answer,,,70.71,,77.27,Accepted,True,Hard,Hard,Hard
remove-nodes-from-linked-list,93.5159,Accepted,32.0,32.0,65.1928,SUCCESS,45.7394,Accepted,True,Medium,Medium,Medium
count-number-of-distinct-integers-after-reverse-operations,31.1806,Accepted,,,70.51,,93.13,Accepted,True,Medium,Medium,Medium
find-longest-awesome-substring,18.75,Accepted,153.0,153.0,72.4143,SUCCESS,96.5517,Accepted,True,Hard,Hard,Hard
find-the-score-of-all-prefixes-of-an-array,96.7592,Accepted,43.0,43.0,73.8888,SUCCESS,32.222,Accepted,True,Medium,Medium,Medium
maximum-elegance-of-a-k-length-subsequence,66.6662,Accepted,2729.0,2729.0,80.392,SUCCESS,39.2156,Accepted,True,Hard,Hard,Hard
report-spam-message,70.9762,Accepted,526.0,526.0,94.0169,SUCCESS,71.7944,Accepted,True,Medium,Medium,Medium
minimum-operations-to-make-all-array-elements-equal,58.1826,Accepted,31.0,31.0,83.9691,SUCCESS,29.7707,Accepted,True,Medium,Medium,Medium
maximum-beauty-of-an-array-after-applying-operation,93.3623,Accepted,622.0,622.0,50.8043,SUCCESS,69.7676,Accepted,True,Medium,Medium,Medium
maximum-star-sum-of-a-graph,90.6432,Accepted,25.0,25.0,85.849,SUCCESS,51.4149,Accepted,True,Medium,Medium,Medium
design-neighbor-sum-service,95.2553,Accepted,652.0,652.0,58.9597,SUCCESS,37.2833,Accepted,True,Easy,Easy,Easy
count-pairs-that-form-a-complete-day-i,85.9575,Accepted,667.0,667.0,74.87,SUCCESS,82.1491,Accepted,True,Easy,Easy,Easy
longest-substring-of-one-repeating-character,73.4375,Accepted,57.0,57.0,78.049,SUCCESS,36.5858,Accepted,True,Hard,Hard,Hard
count-ways-to-build-good-strings,87.1344,Accepted,36.0,36.0,67.7021,SUCCESS,83.0188,Accepted,True,Medium,Medium,Medium
find-all-people-with-secret,56.3299,Accepted,56.0,56.0,72.3925,SUCCESS,69.325,Accepted,True,Hard,Hard,Hard
remove-trailing-zeros-from-a-string,68.2156,Accepted,,,100.0,,11.35,Accepted,True,Easy,Easy,Easy
maximum-square-area-by-removing-fences-from-a-field,70.643,Accepted,648.0,648.0,35.7118,SUCCESS,51.7852,Accepted,True,Medium,Medium,Medium
shortest-string-that-contains-three-strings,78.4814,Accepted,5324.0,5324.0,69.8626,SUCCESS,21.9179,Accepted,True,Medium,Medium,Medium
number-of-adjacent-elements-with-the-same-color,95.6989,Accepted,183.0,183.0,72.619,SUCCESS,40.0794,Accepted,True,Medium,Medium,Medium
sum-of-distances,98.2379,Accepted,1068.0,1068.0,92.8144,SUCCESS,47.3056,Accepted,True,Medium,Medium,Medium
right-triangles,64.3272,Accepted,637.0,637.0,46.9966,SUCCESS,81.4208,Accepted,True,Medium,Medium,Medium
smallest-subarrays-with-maximum-bitwise-or,32.9524,Accepted,59.0,59.0,65.854,SUCCESS,75.6098,Accepted,True,Medium,Medium,Medium
find-valid-pair-of-adjacent-digits-in-string,77.6614,Accepted,826.0,826.0,38.1985,SUCCESS,86.9474,Accepted,True,Easy,Easy,Easy
first-completely-painted-row-or-column,59.2789,Accepted,1058.0,1058.0,92.248,SUCCESS,47.0282,Accepted,True,Medium,Medium,Medium
minimum-score-of-a-path-between-two-cities,83.5155,Accepted,43.0,43.0,82.7734,SUCCESS,75.7659,Accepted,True,Medium,Medium,Medium
minimum-operations-to-make-columns-strictly-increasing,94.2761,Accepted,722.0,722.0,76.0192,SUCCESS,52.2782,Accepted,True,Easy,Easy,Easy
check-if-digits-are-equal-in-string-after-operations-i,75.657,Accepted,706.0,706.0,83.7814,SUCCESS,28.8077,Accepted,True,Easy,Easy,Easy
number-of-ways-to-reconstruct-a-tree,91.4286,Accepted,81.0,81.0,80.769,SUCCESS,84.6153,Accepted,True,Hard,Hard,Hard
building-boxes,100.0,Accepted,86.0,86.0,100.0,SUCCESS,76.087,Accepted,True,Hard,Hard,Hard
taking-maximum-energy-from-the-mystic-dungeon,80.158,Accepted,533.0,533.0,86.2897,SUCCESS,48.3869,Accepted,True,Medium,Medium,Medium
minimum-total-cost-to-make-arrays-unequal,80.2324,Accepted,104.0,104.0,74.6032,SUCCESS,33.3334,Accepted,True,Hard,Hard,Hard
maximize-win-from-two-segments,71.0,Accepted,72.0,72.0,73.9502,SUCCESS,42.0169,Accepted,True,Medium,Medium,Medium
naming-a-company,89.9224,Accepted,89.0,89.0,81.4434,SUCCESS,36.0823,Accepted,True,Hard,Hard,Hard
paths-in-matrix-whose-sum-is-divisible-by-k,,Wrong Answer,88.0,88.0,44.2541,SUCCESS,67.8163,Accepted,True,Hard,Hard,Hard
minimum-time-to-finish-the-race,,Wrong Answer,58.0,58.0,88.5253,SUCCESS,87.4318,Accepted,True,Hard,Hard,Hard
design-a-text-editor,94.9496,Accepted,45.0,45.0,63.7865,SUCCESS,29.2059,Accepted,True,Hard,Hard,Hard
number-of-ways-to-reorder-array-to-get-same-bst,98.4127,Accepted,161.0,161.0,74.4184,SUCCESS,88.372,Accepted,True,Hard,Hard,Hard
number-of-ways-to-divide-a-long-corridor,75.6757,Accepted,248.0,248.0,70.8865,SUCCESS,32.9115,Accepted,True,Hard,Hard,Hard
find-longest-special-substring-that-occurs-thrice-ii,,Wrong Answer,906.0,906.0,79.9061,SUCCESS,33.6443,Accepted,True,Medium,Medium,Medium
subarrays-distinct-element-sum-of-squares-i,98.4064,Accepted,707.0,707.0,92.0753,SUCCESS,46.4151,Accepted,True,Easy,Easy,Easy
maximize-palindrome-length-from-subsequences,93.9392,Accepted,109.0,109.0,95.0821,SUCCESS,52.4594,Accepted,True,Hard,Hard,Hard
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,70.6671,Accepted,72.0,72.0,71.7949,SUCCESS,32.8205,Accepted,True,Hard,Hard,Hard
find-common-elements-between-two-arrays,60.4755,Accepted,1208.0,1208.0,81.1696,SUCCESS,83.6257,Accepted,True,Easy,Easy,Easy
sum-of-matrix-after-queries,98.8636,Accepted,2688.0,2688.0,46.1535,SUCCESS,38.4615,Accepted,True,Medium,Medium,Medium
find-a-value-of-a-mysterious-function-closest-to-target,86.2744,Accepted,,,87.93,,75.86,Accepted,True,Hard,Hard,Hard
neither-minimum-nor-maximum,68.218,Accepted,9558.0,9558.0,53.0665,SUCCESS,9.1999,Accepted,True,Easy,Easy,Easy
minimum-processing-time,54.9591,Accepted,716.0,716.0,63.1576,SUCCESS,51.5786,Accepted,True,Medium,Medium,Medium
sum-of-digit-differences-of-all-pairs,46.7638,Accepted,643.0,643.0,77.6,SUCCESS,16.8,Accepted,True,Medium,Medium,Medium
longest-path-with-different-adjacent-characters,97.7428,Accepted,142.0,142.0,94.898,SUCCESS,86.2246,Accepted,True,Hard,Hard,Hard
maximum-number-of-events-that-can-be-attended-ii,34.5137,Accepted,69.0,69.0,75.5404,SUCCESS,69.7848,Accepted,True,Hard,Hard,Hard
count-vowel-strings-in-ranges,94.947,Accepted,94.0,94.0,78.3295,SUCCESS,76.5238,Accepted,True,Medium,Medium,Medium
find-occurrences-of-an-element-in-an-array,60.1515,Accepted,527.0,527.0,62.5515,SUCCESS,83.5392,Accepted,True,Medium,Medium,Medium
maximum-genetic-difference-query,80.0,Accepted,59.0,59.0,82.927,SUCCESS,92.683,Accepted,True,Hard,Hard,Hard
stone-game-iv,85.294,Accepted,72.0,72.0,71.7262,SUCCESS,87.958,Accepted,True,Hard,Hard,Hard
separate-squares-ii,86.4579,Accepted,763.0,763.0,71.014,SUCCESS,97.1014,Accepted,True,Hard,Hard,Hard
delete-nodes-from-linked-list-present-in-array,91.4081,Accepted,582.0,582.0,99.3884,SUCCESS,82.5688,Accepted,True,Medium,Medium,Medium
max-pair-sum-in-an-array,90.625,Accepted,3008.0,3008.0,95.9768,SUCCESS,35.9195,Accepted,True,Easy,Easy,Easy
length-of-the-longest-alphabetical-continuous-substring,74.0724,Accepted,123.0,123.0,85.4613,SUCCESS,27.305,Accepted,True,Medium,Medium,Medium
optimal-partition-of-string,32.5888,Accepted,62.0,62.0,89.4223,SUCCESS,84.9628,Accepted,True,Medium,Medium,Medium
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,94.1607,Accepted,,,62.34,,64.94,Accepted,True,Hard,Hard,Hard
redistribute-characters-to-make-all-strings-equal,74.6865,Accepted,179.0,179.0,61.7349,SUCCESS,86.7347,Accepted,True,Easy,Easy,Easy
minimum-operations-to-form-subsequence-with-target-sum,,Wrong Answer,754.0,754.0,74.1936,SUCCESS,22.5807,Accepted,True,Hard,Hard,Hard
number-of-subarrays-that-match-a-pattern-i,82.2356,Accepted,792.0,792.0,18.9258,SUCCESS,64.7058,Accepted,True,Medium,Medium,Medium
points-that-intersect-with-cars,83.7712,Accepted,807.0,807.0,79.513,SUCCESS,66.3324,Accepted,True,Easy,Easy,Easy
count-the-number-of-beautiful-subarrays,52.3802,Accepted,114.0,114.0,53.7639,SUCCESS,36.5592,Accepted,True,Medium,Medium,Medium
cherry-pickup-ii,91.2649,Accepted,59.0,59.0,81.5256,SUCCESS,75.5726,Accepted,True,Hard,Hard,Hard
make-string-a-subsequence-using-cyclic-increments,61.1401,Accepted,1128.0,1128.0,82.1586,SUCCESS,74.8898,Accepted,True,Medium,Medium,Medium
find-the-k-or-of-an-array,60.5266,Accepted,951.0,951.0,86.8851,SUCCESS,91.3934,Accepted,True,Easy,Easy,Easy
the-number-of-good-subsets,83.6069,Accepted,92.0,92.0,53.8457,SUCCESS,69.2307,Accepted,True,Hard,Hard,Hard
minimum-replacements-to-sort-the-array,91.4286,Accepted,47.0,47.0,63.2074,SUCCESS,74.5282,Accepted,True,Hard,Hard,Hard
minimum-operations-to-make-the-array-increasing,87.4505,Accepted,94.0,94.0,39.2724,SUCCESS,9.4103,Accepted,True,Easy,Easy,Easy
number-of-beautiful-pairs,80.1238,Accepted,3005.0,3005.0,88.4619,SUCCESS,10.8974,Accepted,True,Easy,Easy,Easy
longest-cycle-in-a-graph,97.5712,Accepted,81.0,81.0,91.3719,SUCCESS,76.3279,Accepted,True,Hard,Hard,Hard
maximum-number-of-balls-in-a-box,17.1567,Accepted,97.0,97.0,72.7272,SUCCESS,25.7576,Accepted,True,Easy,Easy,Easy
maximum-number-of-points-from-grid-queries,85.8061,Accepted,22.0,22.0,84.1169,SUCCESS,75.839,Accepted,True,Hard,Hard,Hard
apply-operations-to-maximize-score,85.294,Accepted,870.0,870.0,74.0158,SUCCESS,74.8032,Accepted,True,Hard,Hard,Hard
number-of-pairs-satisfying-inequality,65.4409,Accepted,61.0,61.0,93.9999,SUCCESS,92.6667,Accepted,True,Hard,Hard,Hard
