slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed
shortest-subarray-with-or-at-least-k-i,834,834,80.4979,SUCCESS,98.7552,Accepted,TRUE
longest-strictly-increasing-or-strictly-decreasing-subarray,868,868,12.5532,SUCCESS,85.1065,Accepted,TRUE
harshad-number,100,100,2.8219,SUCCESS,36.6843,Accepted,TRUE
find-the-sum-of-encrypted-integers,865,865,73.6842,SUCCESS,96.7418,Accepted,TRUE
latest-time-you-can-obtain-after-replacing-characters,908,908,90.1236,SUCCESS,35.3087,Accepted,TRUE
existence-of-a-substring-in-a-string-and-its-reverse,719,719,100,SUCCESS,97.9069,Accepted,TRUE
maximum-length-substring-with-two-occurrences,709,709,19.8541,SUCCESS,36.6424,Accepted,TRUE
distribute-elements-into-two-arrays-i,622,622,100,SUCCESS,49.6184,Accepted,TRUE
apple-redistribution-into-boxes,565,565,100,SUCCESS,84.5606,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-i,724,724,100,SUCCESS,35.9109,Accepted,TRUE
split-the-array,715,715,52.6395,SUCCESS,70.1358,Accepted,TRUE
type-of-triangle,704,704,100,SUCCESS,82.5761,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-i,559,559,100,SUCCESS,48.3253,Accepted,TRUE
number-of-changing-keys,802,802,100,SUCCESS,34.357,Accepted,TRUE
ant-on-the-boundary,641,641,72.0451,SUCCESS,94.5591,Accepted,TRUE
count-prefix-and-suffix-pairs-i,594,594,90.9546,SUCCESS,39.1959,Accepted,TRUE
minimum-number-of-pushes-to-type-word-i,500,500,100,SUCCESS,58.5367,Accepted,TRUE
count-the-number-of-incremovable-subarrays-i,615,615,63.6375,SUCCESS,43.3884,Accepted,TRUE
maximum-area-of-longest-diagonal-rectangle,816,816,100,SUCCESS,95.6967,Accepted,TRUE
check-if-bitwise-or-has-trailing-zeros,916,916,100,SUCCESS,45.9017,Accepted,TRUE
count-elements-with-maximum-frequency,623,623,100,SUCCESS,97.776,Accepted,TRUE
smallest-missing-integer-greater-than-sequential-prefix-sum,616,616,100,SUCCESS,83.0259,Accepted,TRUE
find-missing-and-repeated-values,584,584,92.8924,SUCCESS,85.6615,Accepted,TRUE
minimum-number-game,804,804,100,SUCCESS,56.8334,Accepted,TRUE
find-the-peaks,648,648,34.629,SUCCESS,56.7137,Accepted,TRUE
count-tested-devices-after-test-operations,520,520,21.4072,SUCCESS,86.217,Accepted,TRUE
make-three-strings-equal,1935,1935,25.9385,SUCCESS,92.1502,Accepted,TRUE
find-common-elements-between-two-arrays,1208,1208,81.1696,SUCCESS,83.6257,Accepted,TRUE
find-words-containing-character,912,912,100,SUCCESS,90.8227,Accepted,TRUE
maximum-strong-pair-xor-i,861,861,66.4739,SUCCESS,97.8805,Accepted,TRUE
find-champion-i,587,587,100,SUCCESS,31.2355,Accepted,TRUE
find-the-k-or-of-an-array,951,951,86.8851,SUCCESS,91.3934,Accepted,TRUE
divisible-and-non-divisible-sums-difference,737,737,100,SUCCESS,98.7063,Accepted,TRUE
find-indices-with-index-and-value-difference-i,525,525,42.0212,SUCCESS,64.0958,Accepted,TRUE
last-visited-integers,706,706,100,SUCCESS,14.5349,Accepted,TRUE
subarrays-distinct-element-sum-of-squares-i,707,707,92.0753,SUCCESS,46.4151,Accepted,TRUE
maximum-value-of-an-ordered-triplet-i,564,564,35.7936,SUCCESS,14.9158,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-i,382,382,5.2678,SUCCESS,40.7621,Accepted,TRUE
minimum-operations-to-collect-elements,619,619,100,SUCCESS,14.3356,Accepted,TRUE
points-that-intersect-with-cars,807,807,79.513,SUCCESS,66.3324,Accepted,TRUE
furthest-point-from-origin,1252,1252,100,SUCCESS,57.3426,Accepted,TRUE
count-symmetric-integers,1967,1967,32.5729,SUCCESS,49.6624,Accepted,TRUE
account-balance-after-rounded-purchase,101,101,100,SUCCESS,53.4091,Accepted,TRUE
count-pairs-whose-sum-is-less-than-target,707,707,29.4609,SUCCESS,56.4174,Accepted,TRUE
max-pair-sum-in-an-array,3008,3008,95.9768,SUCCESS,35.9195,Accepted,TRUE
check-if-array-is-good,805,805,100,SUCCESS,74.2039,Accepted,TRUE
faulty-keyboard,3005,3005,20.5318,SUCCESS,15.3618,Accepted,TRUE
split-strings-by-separator,1036,1036,64.2978,SUCCESS,40.1016,Accepted,TRUE
number-of-employees-who-met-the-target,707,707,10.8911,SUCCESS,32.5082,Accepted,TRUE
longest-alternating-subarray,2880,2880,25.2741,SUCCESS,76.3736,Accepted,TRUE
longest-even-odd-subarray-with-threshold,6873,6873,22.8715,SUCCESS,95.1339,Accepted,TRUE
total-distance-traveled,10000,10000,30.6929,SUCCESS,64.6864,Accepted,TRUE
find-maximum-number-of-string-pairs,659,659,65.4221,SUCCESS,82.9547,Accepted,TRUE
sum-of-squares-of-special-elements,1437,1437,100,SUCCESS,44.6009,Accepted,TRUE
neither-minimum-nor-maximum,9558,9558,53.0665,SUCCESS,9.1999,Accepted,TRUE
number-of-beautiful-pairs,3005,3005,88.4619,SUCCESS,10.8974,Accepted,TRUE
minimize-string-length,5013,5013,68.3673,SUCCESS,96.5306,Accepted,TRUE
lexicographically-smallest-palindrome,4519,4519,90.5097,SUCCESS,49.0334,Accepted,TRUE
find-the-maximum-achievable-number,2502,2502,100,SUCCESS,79.4922,Accepted,TRUE
find-the-losers-of-the-circular-game,1277,1277,79,SUCCESS,48,Accepted,TRUE
semi-ordered-permutation,1977,1977,100,SUCCESS,30.7693,Accepted,TRUE
find-the-distinct-difference-array,4512,4512,98.3819,SUCCESS,89.9677,Accepted,TRUE
maximum-sum-with-exactly-k-elements,3004,3004,100,SUCCESS,52.3595,Accepted,TRUE
buy-two-chocolates,2003,2003,17.8031,SUCCESS,16.0354,Accepted,TRUE
sum-multiples,1000,1000,64.4929,SUCCESS,67.1843,Accepted,TRUE
calculate-delayed-arrival-time,556,556,100,SUCCESS,59.5505,Accepted,TRUE
row-with-maximum-ones,1049,1049,62.2723,SUCCESS,22.5079,Accepted,TRUE
number-of-senior-citizens,303,303,100,SUCCESS,20.5001,Accepted,TRUE
find-the-longest-balanced-substring-of-a-binary-string,1848,1848,37.1727,SUCCESS,31.9371,Accepted,TRUE
prime-in-diagonal,82,82,100,SUCCESS,44.156,Accepted,TRUE
k-items-with-the-maximum-sum,1310,1310,100,SUCCESS,87.9765,Accepted,TRUE
left-and-right-sum-differences,53,53,46.8098,SUCCESS,55.4603,Accepted,TRUE
merge-two-2d-arrays-by-summing-values,39,39,22.483,SUCCESS,16.9568,Accepted,TRUE
find-the-array-concatenation-value,53,53,72.3493,SUCCESS,34.0957,Accepted,TRUE
find-the-maximum-divisibility-score,160,160,64.8,SUCCESS,90,Accepted,TRUE
take-gifts-from-the-richest-pile,103,103,83.4441,SUCCESS,10.1728,Accepted,TRUE
count-distinct-numbers-on-board,100,100,100,SUCCESS,78.1819,Accepted,TRUE
find-the-width-of-columns-of-a-grid,50,50,96.4584,SUCCESS,69.7918,Accepted,TRUE
form-smallest-number-from-two-digit-arrays,388,388,11.1112,SUCCESS,11.1112,Accepted,TRUE
distribute-money-to-maximum-children,3802,3802,100,SUCCESS,21.4286,Accepted,TRUE
number-of-even-and-odd-bits,1003,1003,100,SUCCESS,18.8992,Accepted,TRUE
count-the-number-of-vowel-strings-in-range,1053,1053,100,SUCCESS,33.657,Accepted,TRUE
pass-the-pillow,68,68,100,SUCCESS,90.5229,Accepted,TRUE
separate-the-digits-in-an-array,52,52,85.0364,SUCCESS,52.5546,Accepted,TRUE
minimum-common-value,41,41,91.2305,SUCCESS,29.0633,Accepted,TRUE
alternating-digit-sum,118,118,100,SUCCESS,14.5252,Accepted,TRUE
difference-between-element-sum-and-digit-sum-of-an-array,142,142,31.8396,SUCCESS,72.0822,Accepted,TRUE
categorize-box-according-to-criteria,50,50,100,SUCCESS,36.8421,Accepted,TRUE
maximum-count-of-positive-integer-and-negative-integer,169,169,100,SUCCESS,71.2316,Accepted,TRUE
count-the-digits-that-divide-a-number,56,56,100,SUCCESS,98.3936,Accepted,TRUE
maximum-enemy-forts-that-can-be-captured,45,45,100,SUCCESS,41.1951,Accepted,TRUE
shortest-distance-to-target-string-in-a-circular-array,164,164,100,SUCCESS,98.2684,Accepted,TRUE
count-pairs-of-similar-strings,225,225,32.5692,SUCCESS,27.6759,Accepted,TRUE
maximum-value-of-a-string-in-an-array,64,64,100,SUCCESS,51.6484,Accepted,TRUE
delete-greatest-value-in-each-row,55,55,93.9464,SUCCESS,82.0722,Accepted,TRUE
circular-sentence,266,266,100,SUCCESS,81.7699,Accepted,TRUE
minimum-cuts-to-divide-a-circle,100,100,2.005,SUCCESS,56.391,Accepted,TRUE
find-the-pivot-integer,428,428,55.9171,SUCCESS,39.7435,Accepted,TRUE
number-of-unequal-triplets-in-array,104,104,70.6514,SUCCESS,58.6994,Accepted,TRUE
number-of-distinct-averages,36,36,100,SUCCESS,24.0983,Accepted,TRUE
convert-the-temperature,74,74,100,SUCCESS,84.7265,Accepted,TRUE
apply-operations-to-an-array,36,36,100,SUCCESS,7.0345,Accepted,TRUE
average-value-of-even-numbers-that-are-divisible-by-three,181,181,33.5272,SUCCESS,27.7132,Accepted,TRUE
remove-letter-to-equalize-frequency,50,50,16.4138,SUCCESS,88.4138,Accepted,TRUE
number-of-valid-clock-times,53,53,100,SUCCESS,36.478,Accepted,TRUE
largest-positive-integer-that-exists-with-its-negative,339,339,100,SUCCESS,29.3651,Accepted,TRUE
the-employee-that-worked-on-the-longest-task,514,514,78.5714,SUCCESS,22.3214,Accepted,TRUE
number-of-common-factors,76,76,100,SUCCESS,22.6376,Accepted,TRUE
count-days-spent-together,51,51,100,SUCCESS,90.1042,Accepted,TRUE
smallest-even-multiple,150,150,100,SUCCESS,36.2411,Accepted,TRUE
most-frequent-even-element,219,219,53.2481,SUCCESS,94.9803,Accepted,TRUE
find-subarrays-with-equal-sum,42,42,100,SUCCESS,43.5727,Accepted,TRUE
check-distances-between-same-letters,335,335,100,SUCCESS,36.6438,Accepted,TRUE
longest-subsequence-with-limited-sum,57,57,65.7516,SUCCESS,25.4248,Accepted,TRUE
minimum-recolors-to-get-k-consecutive-black-blocks,122,122,12.796,SUCCESS,60.0768,Accepted,TRUE
minimum-hours-of-training-to-win-a-competition,111,111,100,SUCCESS,79.3104,Accepted,TRUE
largest-local-values-in-a-matrix,50,50,96.2247,SUCCESS,85.2856,Accepted,TRUE
merge-similar-items,49,49,100,SUCCESS,80.7228,Accepted,TRUE
number-of-arithmetic-triplets,104,104,100,SUCCESS,58.1321,Accepted,TRUE
make-array-zero-by-subtracting-equal-amounts,95,95,100,SUCCESS,52.2909,Accepted,TRUE
best-poker-hand,98,98,100,SUCCESS,37.2602,Accepted,TRUE
first-letter-to-appear-twice,92,92,100,SUCCESS,99.2298,Accepted,TRUE
maximum-number-of-pairs-in-array,128,128,15.0851,SUCCESS,37.2262,Accepted,TRUE
evaluate-boolean-binary-tree,75,75,100,SUCCESS,45.3948,Accepted,TRUE
minimum-amount-of-time-to-fill-cups,280,280,100,SUCCESS,81.3954,Accepted,TRUE
decode-the-message,69,69,53.3108,SUCCESS,46.2649,Accepted,TRUE
count-asterisks,69,69,100,SUCCESS,60.1279,Accepted,TRUE
check-if-matrix-is-x-matrix,84,84,70.2778,SUCCESS,70.5556,Accepted,TRUE
min-max-game,96,96,25.8171,SUCCESS,40.8497,Accepted,TRUE
root-equals-sum-of-children,309,309,100,SUCCESS,24.162,Accepted,TRUE
add-two-integers,262,262,100,SUCCESS,71.81,Accepted,TRUE
check-if-number-has-equal-digit-count-and-digit-value,433,433,100,SUCCESS,86.46,Accepted,TRUE
rearrange-characters-to-make-target-string,116,116,100,SUCCESS,88.5057,Accepted,TRUE
calculate-digit-sum-of-a-string,121,121,100,SUCCESS,98.8806,Accepted,TRUE
find-closest-number-to-zero,227,227,22.7052,SUCCESS,45.898,Accepted,TRUE
largest-3-same-digit-number-in-string,141,141,18.555,SUCCESS,41.0509,Accepted,TRUE
minimum-number-of-operations-to-convert-time,256,256,100,SUCCESS,89.5623,Accepted,TRUE
count-prefixes-of-a-given-string,123,123,100,SUCCESS,29.3135,Accepted,TRUE
remove-digit-from-number-to-maximize-result,112,112,100,SUCCESS,10.5702,Accepted,TRUE
intersection-of-multiple-arrays,151,151,100,SUCCESS,69.4482,Accepted,TRUE
minimum-bit-flips-to-convert-number,250,250,100,SUCCESS,33.6156,Accepted,TRUE
find-all-k-distant-indices-in-an-array,87,87,42.9271,SUCCESS,27.317,Accepted,TRUE
count-hills-and-valleys-in-an-array,121,121,100,SUCCESS,63.0986,Accepted,TRUE
most-frequent-number-following-key-in-an-array,101,101,42.4243,SUCCESS,87.8788,Accepted,TRUE
divide-array-into-equal-pairs,137,137,68.1967,SUCCESS,72.6777,Accepted,TRUE
count-integers-with-even-digit-sum,71,71,27.77,SUCCESS,89.2005,Accepted,TRUE
counting-words-with-a-given-prefix,95,95,100,SUCCESS,44.4235,Accepted,TRUE
count-operations-to-obtain-zero,161,161,80.1642,SUCCESS,15.7276,Accepted,TRUE
sort-even-and-odd-indices-independently,218,218,100,SUCCESS,84.9641,Accepted,TRUE
count-equal-and-divisible-pairs-in-an-array,238,238,64.5307,SUCCESS,31.9371,Accepted,TRUE
count-elements-with-strictly-smaller-and-greater-elements,127,127,100,SUCCESS,16.3317,Accepted,TRUE
minimum-sum-of-four-digit-number-after-splitting-digits,99,99,100,SUCCESS,94.933,Accepted,TRUE
divide-a-string-into-groups-of-size-k,157,157,100,SUCCESS,65.7492,Accepted,TRUE
check-if-every-row-and-column-contains-all-numbers,227,227,52.2631,SUCCESS,76.3374,Accepted,TRUE
a-number-after-a-double-reversal,129,129,100,SUCCESS,82.9612,Accepted,TRUE
capitalize-the-title,200,200,100,SUCCESS,6.6406,Accepted,TRUE
find-first-palindromic-string-in-the-array,266,266,100,SUCCESS,80.7345,Accepted,TRUE
rings-and-rods,66,66,100,SUCCESS,30.8641,Accepted,TRUE
maximum-number-of-words-found-in-sentences,90,90,100,SUCCESS,80.3878,Accepted,TRUE
finding-3-digit-even-numbers,79,79,68.8474,SUCCESS,43.2722,Accepted,TRUE
find-target-indices-after-sorting-array,216,216,100,SUCCESS,57.0697,Accepted,TRUE
find-subsequence-of-length-k-with-the-largest-sum,49,49,83.6653,SUCCESS,93.2271,Accepted,TRUE
two-furthest-houses-with-different-colors,126,126,32.7749,SUCCESS,57.1728,Accepted,TRUE
time-needed-to-buy-tickets,65,65,52.3086,SUCCESS,36.5127,Accepted,TRUE
count-common-words-with-one-occurrence,61,61,100,SUCCESS,24.3921,Accepted,TRUE
count-vowel-substrings-of-a-string,88,88,27.0898,SUCCESS,82.2388,Accepted,TRUE
smallest-index-with-equal-value,663,663,100,SUCCESS,72.679,Accepted,TRUE
number-of-valid-words-in-a-sentence,244,244,49.4648,SUCCESS,97.6445,Accepted,TRUE
check-if-numbers-are-ascending-in-a-sentence,98,98,100,SUCCESS,31.5385,Accepted,TRUE
kth-distinct-string-in-an-array,66,66,68.1016,SUCCESS,67.7488,Accepted,TRUE
two-out-of-three,288,288,100,SUCCESS,35.3798,Accepted,TRUE
minimum-moves-to-convert-string,55,55,100,SUCCESS,52.6957,Accepted,TRUE
maximum-difference-between-increasing-elements,54,54,100,SUCCESS,89.1815,Accepted,TRUE
final-value-of-variable-after-performing-operations,259,259,100,SUCCESS,60.9747,Accepted,TRUE
convert-1d-array-into-2d-array,107,107,52.4815,SUCCESS,94.665,Accepted,TRUE
reverse-prefix-of-word,112,112,100,SUCCESS,84.8391,Accepted,TRUE
count-special-quadruplets,211,211,49.2186,SUCCESS,57.7244,Accepted,TRUE
find-if-path-exists-in-graph,34,34,92.6915,SUCCESS,94.3255,Accepted,TRUE
count-number-of-pairs-with-absolute-difference-k,237,237,100,SUCCESS,18.4794,Accepted,TRUE
find-greatest-common-divisor-of-array,215,215,7.9411,SUCCESS,73.0001,Accepted,TRUE
find-the-middle-index-in-array,294,294,100,SUCCESS,18.5876,Accepted,TRUE
number-of-strings-that-appear-as-substrings-in-word,82,82,100,SUCCESS,72.4018,Accepted,TRUE
check-if-string-is-a-prefix-of-array,349,349,100,SUCCESS,91.7671,Accepted,TRUE
three-divisors,228,228,100,SUCCESS,18.4764,Accepted,TRUE
concatenation-of-array,92,92,22.2698,SUCCESS,69.8905,Accepted,TRUE
check-if-all-characters-have-equal-number-of-occurrences,134,134,100,SUCCESS,25.7561,Accepted,TRUE
build-array-from-permutation,140,140,54.5647,SUCCESS,32.7798,Accepted,TRUE
maximum-product-difference-between-two-pairs,96,96,25.1457,SUCCESS,60.1863,Accepted,TRUE
count-square-sum-triples,91,91,28.7265,SUCCESS,81.3285,Accepted,TRUE
redistribute-characters-to-make-all-strings-equal,179,179,61.7349,SUCCESS,86.7347,Accepted,TRUE
remove-one-element-to-make-the-array-strictly-increasing,109,109,100,SUCCESS,15.6146,Accepted,TRUE
determine-whether-matrix-can-be-obtained-by-rotation,113,113,100,SUCCESS,58.0499,Accepted,TRUE
check-if-all-the-integers-in-a-range-are-covered,106,106,100,SUCCESS,88.064,Accepted,TRUE
longer-contiguous-segments-of-ones-than-zeros,141,141,100,SUCCESS,80.1419,Accepted,TRUE
sum-of-all-subset-xor-totals,48,48,13.3008,SUCCESS,42.6807,Accepted,TRUE
substrings-of-size-three-with-distinct-characters,160,160,100,SUCCESS,96.3792,Accepted,TRUE
maximum-population-year,53,53,100,SUCCESS,66.7782,Accepted,TRUE
sum-of-digits-in-base-k,65,65,100,SUCCESS,98.1558,Accepted,TRUE
check-if-the-sentence-is-pangram,79,79,100,SUCCESS,96.5322,Accepted,TRUE
sign-of-the-product-of-an-array,76,76,100,SUCCESS,63.942,Accepted,TRUE
truncate-sentence,72,72,1.3388,SUCCESS,31.5138,Accepted,TRUE
minimum-operations-to-make-the-array-increasing,94,94,39.2724,SUCCESS,9.4103,Accepted,TRUE
number-of-different-integers-in-a-string,85,85,100,SUCCESS,34.9443,Accepted,TRUE
maximum-ascending-subarray-sum,104,104,100,SUCCESS,97.2433,Accepted,TRUE
find-center-of-star-graph,61,61,100,SUCCESS,79.6502,Accepted,TRUE
check-if-one-string-swap-can-make-strings-equal,137,137,100,SUCCESS,58.7135,Accepted,TRUE
second-largest-digit-in-a-string,301,301,100,SUCCESS,54.0541,Accepted,TRUE
count-items-matching-a-rule,92,92,100,SUCCESS,53.056,Accepted,TRUE
merge-strings-alternately,108,108,56.4418,SUCCESS,73.853,Accepted,TRUE
minimum-changes-to-make-alternating-binary-string,89,89,87.0564,SUCCESS,62.4217,Accepted,TRUE
check-if-array-is-sorted-and-rotated,112,112,100,SUCCESS,36.659,Accepted,TRUE
longest-nice-substring,73,73,73.0665,SUCCESS,40.0363,Accepted,TRUE
latest-time-by-replacing-hidden-digits,159,159,100,SUCCESS,83.0189,Accepted,TRUE
sum-of-unique-elements,73,73,100,SUCCESS,33.0769,Accepted,TRUE
maximum-number-of-balls-in-a-box,97,97,72.7272,SUCCESS,25.7576,Accepted,TRUE
number-of-rectangles-that-can-form-the-largest-square,68,68,81.7911,SUCCESS,97.3134,Accepted,TRUE
decode-xored-array,76,76,100,SUCCESS,62.7054,Accepted,TRUE
find-the-highest-altitude,80,80,100,SUCCESS,81.838,Accepted,TRUE
maximum-units-on-a-truck,77,77,92.0565,SUCCESS,96.4696,Accepted,TRUE
determine-if-string-halves-are-alike,113,113,100,SUCCESS,22.3663,Accepted,TRUE
calculate-money-in-leetcode-bank,106,106,51.6129,SUCCESS,98.0149,Accepted,TRUE
reformat-phone-number,108,108,12.9533,SUCCESS,81.3471,Accepted,TRUE
count-of-matches-in-tournament,200,200,89.6698,SUCCESS,29.5512,Accepted,TRUE
number-of-students-unable-to-eat-lunch,55,55,100,SUCCESS,89.7933,Accepted,TRUE
goal-parser-interpretation,105,105,19.7825,SUCCESS,89.6043,Accepted,TRUE
richest-customer-wealth,34,34,100,SUCCESS,85.7399,Accepted,TRUE
count-the-number-of-consistent-strings,74,74,91.6206,SUCCESS,98.6167,Accepted,TRUE
design-an-ordered-stream,101,101,6.0775,SUCCESS,26.1511,Accepted,TRUE
get-maximum-in-generated-array,101,101,100,SUCCESS,66.6667,Accepted,TRUE
maximum-repeating-substring,212,212,100,SUCCESS,37.1115,Accepted,TRUE
check-array-formation-through-concatenation,85,85,25,SUCCESS,89.7321,Accepted,TRUE
defuse-the-bomb,74,74,42.4908,SUCCESS,53.4799,Accepted,TRUE
slowest-key,109,109,53.4005,SUCCESS,77.33,Accepted,TRUE
largest-substring-between-two-equal-characters,58,58,100,SUCCESS,52.8344,Accepted,TRUE
widest-vertical-area-between-two-points-containing-no-points,55,55,91.6541,SUCCESS,44.7649,Accepted,TRUE
maximum-nesting-depth-of-the-parentheses,168,168,100,SUCCESS,29.3257,Accepted,TRUE
properties-graph,668,668,90.676,SUCCESS,73.3119,Accepted,TRUE
design-spreadsheet,658,658,84.0784,SUCCESS,70.6618,Accepted,TRUE
longest-palindromic-subsequence-after-at-most-k-operations,550,550,9.3016,SUCCESS,15.5032,Accepted,TRUE
choose-k-elements-with-maximum-sum,635,635,64.825,SUCCESS,79.3971,Accepted,TRUE
sort-matrix-by-diagonals,1306,1306,87.8307,SUCCESS,99.4709,Accepted,TRUE
reschedule-meetings-for-maximum-free-time-i,689,689,95.0179,SUCCESS,75.8007,Accepted,TRUE
design-task-manager,663,663,59.9077,SUCCESS,86.0349,Accepted,TRUE
count-paths-with-the-given-xor-value,585,585,82.114,SUCCESS,69.919,Accepted,TRUE
total-characters-in-string-after-transformations-i,824,824,7.3836,SUCCESS,44.3115,Accepted,TRUE
maximum-number-of-distinct-elements-after-operations,633,633,46.9678,SUCCESS,79.2929,Accepted,TRUE
maximize-amount-after-two-days-of-conversions,767,767,30.5033,SUCCESS,44.6541,Accepted,TRUE
rearrange-k-substrings-to-form-target-string,771,771,98.434,SUCCESS,9.8984,Accepted,TRUE
find-the-maximum-factor-score-of-array,752,752,47.7268,SUCCESS,24.9999,Accepted,TRUE
shift-distance-between-two-strings,741,741,18.7078,SUCCESS,66.9065,Accepted,TRUE
maximum-points-tourist-can-earn,545,545,98.6014,SUCCESS,90.9091,Accepted,TRUE
maximum-possible-number-by-binary-concatenation,752,752,50.4425,SUCCESS,14.1592,Accepted,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-i,815,815,45.0004,SUCCESS,74.9999,Accepted,TRUE
find-the-sequence-of-strings-appeared-on-the-screen,742,742,8.6948,SUCCESS,100,Accepted,TRUE
remove-methods-from-project,775,775,15.5719,SUCCESS,19.6718,Accepted,TRUE
report-spam-message,526,526,94.0169,SUCCESS,71.7944,Accepted,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-i,625,625,96,SUCCESS,19.2,Accepted,TRUE
maximum-energy-boost-from-two-drinks,563,563,53.7915,SUCCESS,61.3789,Accepted,TRUE
maximum-multiplication-score,675,675,99.115,SUCCESS,54.8667,Accepted,TRUE
delete-nodes-from-linked-list-present-in-array,582,582,99.3884,SUCCESS,82.5688,Accepted,TRUE
minimum-number-of-seconds-to-make-mountain-height-zero,571,571,13.4305,SUCCESS,84.3284,Accepted,TRUE
minimum-cost-for-cutting-cake-i,533,533,53.6082,SUCCESS,59.7938,Accepted,TRUE
count-the-number-of-good-nodes,621,621,16.2297,SUCCESS,93.506,Accepted,TRUE
maximize-score-of-numbers-in-ranges,686,686,10.003,SUCCESS,5.3846,Accepted,TRUE
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,691,691,24.242,SUCCESS,85.4545,Accepted,TRUE
find-the-minimum-area-to-cover-all-ones-i,712,712,78.9865,SUCCESS,36.9564,Accepted,TRUE
string-compression-iii,744,744,59.142,SUCCESS,39.9996,Accepted,TRUE
maximum-total-reward-using-operations-i,586,586,90.1513,SUCCESS,84.8484,Accepted,TRUE
maximum-total-damage-with-spell-casting,554,554,78.966,SUCCESS,77.5861,Accepted,TRUE
find-the-number-of-distinct-colors-among-the-balls,551,551,85.0204,SUCCESS,58.0974,Accepted,TRUE
count-days-without-meetings,578,578,35.78,SUCCESS,26.551,Accepted,TRUE
special-array-ii,536,536,58.2397,SUCCESS,80.8988,Accepted,TRUE
find-the-n-th-value-after-k-seconds,708,708,44.2409,SUCCESS,47.2727,Accepted,TRUE
find-occurrences-of-an-element-in-an-array,527,527,62.5515,SUCCESS,83.5392,Accepted,TRUE
maximum-points-inside-the-square,576,576,78.2253,SUCCESS,66.9355,Accepted,TRUE
count-pairs-that-form-a-complete-day-ii,714,714,37.4183,SUCCESS,6.4514,Accepted,TRUE
sum-of-digit-differences-of-all-pairs,643,643,77.6,SUCCESS,16.8,Accepted,TRUE
find-the-first-player-to-win-k-games-in-a-row,684,684,47.4574,SUCCESS,85.5932,Accepted,TRUE
find-the-integer-added-to-array-ii,560,560,14.6516,SUCCESS,8.9172,Accepted,TRUE
minimum-rectangles-to-cover-points,966,966,51.2195,SUCCESS,69.5118,Accepted,TRUE
minimum-time-to-visit-disappearing-nodes,534,534,47.2205,SUCCESS,24.4438,Accepted,TRUE
right-triangles,637,637,46.9966,SUCCESS,81.4208,Accepted,TRUE
minimum-operations-to-make-median-of-array-equal-to-k,723,723,83.1521,SUCCESS,30.9779,Accepted,TRUE
minimum-number-of-operations-to-make-word-k-periodic,820,820,68.0854,SUCCESS,6.3828,Accepted,TRUE
taking-maximum-energy-from-the-mystic-dungeon,533,533,86.2897,SUCCESS,48.3869,Accepted,TRUE
count-alternating-subarrays,789,789,93.0771,SUCCESS,31.923,Accepted,TRUE
maximum-prime-difference,904,904,68.7499,SUCCESS,35.5769,Accepted,TRUE
most-frequent-ids,623,623,54.3308,SUCCESS,53.5434,Accepted,TRUE
shortest-uncommon-substring-in-an-array,631,631,84.7403,SUCCESS,96.6474,Accepted,TRUE
minimum-levels-to-gain-more-points,855,855,46.9236,SUCCESS,76.1539,Accepted,TRUE
count-submatrices-with-top-left-element-and-sum-less-than-k,859,859,71.8226,SUCCESS,23.7568,Accepted,TRUE
count-substrings-starting-and-ending-with-given-character,669,669,100,SUCCESS,62.3457,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-ii,676,676,5.1952,SUCCESS,8.7664,Accepted,TRUE
find-the-length-of-the-longest-common-prefix,718,718,39.8676,SUCCESS,56.1186,Accepted,TRUE
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,658,658,100,SUCCESS,45.8716,Accepted,TRUE
count-pairs-of-connectable-servers-in-a-weighted-tree-network,716,716,44.5632,SUCCESS,100,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-ii,549,549,5.4536,SUCCESS,52.7268,Accepted,TRUE
maximum-palindromes-after-operations,507,507,38.0432,SUCCESS,65.2174,Accepted,TRUE
most-frequent-prime,974,974,30.8265,SUCCESS,66.9173,Accepted,TRUE
mark-elements-on-array-by-performing-queries,661,661,5.512,SUCCESS,81.1024,Accepted,TRUE
minimum-time-to-revert-word-to-initial-state-i,769,769,100,SUCCESS,61.1941,Accepted,TRUE
earliest-second-to-mark-indices-i,570,570,71.875,SUCCESS,51.5625,Accepted,TRUE
alice-and-bob-playing-flower-game,537,537,100,SUCCESS,10.6383,Accepted,TRUE
minimum-number-of-pushes-to-type-word-ii,877,877,48.5202,SUCCESS,92.0119,Accepted,TRUE
count-the-number-of-houses-at-a-certain-distance-i,880,880,90.5512,SUCCESS,36.2206,Accepted,TRUE
number-of-subarrays-that-match-a-pattern-i,792,792,18.9258,SUCCESS,64.7058,Accepted,TRUE
find-longest-special-substring-that-occurs-thrice-ii,906,906,79.9061,SUCCESS,33.6443,Accepted,TRUE
maximum-square-area-by-removing-fences-from-a-field,648,648,35.7118,SUCCESS,51.7852,Accepted,TRUE
