slug,difficulty,total_testcases,total_correct,runtime_percentile,state,status_msg,Accepted,processed
total-characters-in-string-after-transformations-i,Medium,824,824,7.3836,SUCCESS,44.3115,Accepted,TRUE
counting-words-with-a-given-prefix,Easy,95,95,100,SUCCESS,44.4235,Accepted,TRUE
sum-of-squares-of-special-elements,Easy,1437,1437,100,SUCCESS,44.6009,Accepted,TRUE
find-the-largest-area-of-square-inside-two-rectangles,Medium,,,38.39,,44.64,Accepted,TRUE
maximize-amount-after-two-days-of-conversions,Medium,767,767,30.5033,SUCCESS,44.6541,Accepted,TRUE
widest-vertical-area-between-two-points-containing-no-points,Easy,55,55,91.6541,SUCCESS,44.7649,Accepted,TRUE
substring-xor-queries,Medium,59,59,13.7248,SUCCESS,45.0976,Accepted,TRUE
sorting-three-groups,Medium,,,48.17,,45.12,Accepted,TRUE
evaluate-boolean-binary-tree,Easy,75,75,100,SUCCESS,45.3948,Accepted,TRUE
remove-nodes-from-linked-list,Medium,32,32,65.1928,SUCCESS,45.7394,Accepted,TRUE
apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,Medium,658,658,100,SUCCESS,45.8716,Accepted,TRUE
generate-binary-strings-without-adjacent-zeros,Medium,,,65.56,,45.88,Accepted,TRUE
find-closest-number-to-zero,Easy,227,227,22.7052,SUCCESS,45.898,Accepted,TRUE
check-if-bitwise-or-has-trailing-zeros,Easy,916,916,100,SUCCESS,45.9017,Accepted,TRUE
palindrome-partitioning-iv,Hard,,,72.31,,46.05,Accepted,TRUE
decode-the-message,Easy,69,69,53.3108,SUCCESS,46.2649,Accepted,TRUE
maximize-value-of-function-in-a-ball-passing-game,Hard,948,948,55.0717,SUCCESS,46.3761,Accepted,TRUE
subarrays-distinct-element-sum-of-squares-i,Easy,707,707,92.0753,SUCCESS,46.4151,Accepted,TRUE
count-subarrays-with-fixed-bounds,Hard,,,95.54,,46.48,Accepted,TRUE
count-subarrays-with-median-k,Hard,45,45,95.8113,SUCCESS,46.5967,Accepted,TRUE
minimum-cost-walk-in-weighted-graph,Hard,549,549,98.039,SUCCESS,46.6231,Accepted,TRUE
lexicographically-smallest-string-after-operations-with-constraint,Medium,,,20.83,,46.88,Accepted,TRUE
minimum-index-of-a-valid-split,Medium,917,917,33.1755,SUCCESS,46.9682,Accepted,TRUE
first-completely-painted-row-or-column,Medium,1058,1058,92.248,SUCCESS,47.0282,Accepted,TRUE
frog-jump-ii,Medium,34,34,65.0976,SUCCESS,47.0589,Accepted,TRUE
find-the-n-th-value-after-k-seconds,Medium,708,708,44.2409,SUCCESS,47.2727,Accepted,TRUE
sum-of-distances,Medium,1068,1068,92.8144,SUCCESS,47.3056,Accepted,TRUE
count-fertile-pyramids-in-a-land,Hard,,,73.08,,47.44,Accepted,TRUE
maximum-score-of-a-good-subarray,Hard,73,73,56.5963,SUCCESS,47.5072,Accepted,TRUE
minimum-number-of-chairs-in-a-waiting-room,Easy,852,852,100,SUCCESS,47.8494,Accepted,TRUE
find-the-losers-of-the-circular-game,Easy,1277,1277,79,SUCCESS,48,Accepted,TRUE
maximize-area-of-square-hole-in-grid,Medium,524,524,8.9886,SUCCESS,48.3146,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-i,Easy,559,559,100,SUCCESS,48.3253,Accepted,TRUE
count-ways-to-make-array-with-product,Hard,67,67,84.7677,SUCCESS,48.3443,Accepted,TRUE
taking-maximum-energy-from-the-mystic-dungeon,Medium,533,533,86.2897,SUCCESS,48.3869,Accepted,TRUE
maximum-number-of-robots-within-budget,Hard,82,82,69.061,SUCCESS,48.7623,Accepted,TRUE
lexicographically-smallest-palindrome,Easy,4519,4519,90.5097,SUCCESS,49.0334,Accepted,TRUE
distribute-elements-into-two-arrays-i,Easy,622,622,100,SUCCESS,49.6184,Accepted,TRUE
count-symmetric-integers,Easy,1967,1967,32.5729,SUCCESS,49.6624,Accepted,TRUE
minimum-cost-for-cutting-cake-ii,Hard,566,566,67.1875,SUCCESS,50,Accepted,TRUE
count-the-number-of-special-characters-i,Easy,866,866,100,SUCCESS,50.7654,Accepted,TRUE
maximum-difference-between-even-and-odd-frequency-i,Easy,805,805,35.5556,SUCCESS,50.7692,Accepted,TRUE
count-the-number-of-incremovable-subarrays-ii,Hard,840,840,75,SUCCESS,50.9616,Accepted,TRUE
maximum-number-of-jumps-to-reach-the-last-index,Medium,2639,2639,93.464,SUCCESS,50.9804,Accepted,TRUE
permutation-difference-between-two-strings,Easy,823,823,60.076,SUCCESS,51.0774,Accepted,TRUE
partition-string-into-minimum-beautiful-substrings,Medium,,,51.2,,51.2,Accepted,TRUE
convert-date-to-binary,Easy,503,503,14.7036,SUCCESS,51.3834,Accepted,TRUE
maximum-star-sum-of-a-graph,Medium,25,25,85.849,SUCCESS,51.4149,Accepted,TRUE
count-anagrams,Hard,41,41,58.0187,SUCCESS,51.415,Accepted,TRUE
the-number-of-beautiful-subsets,Medium,1308,1308,45.3423,SUCCESS,51.447,Accepted,TRUE
sum-of-values-at-indices-with-k-set-bits,Easy,,,100,,51.45,Accepted,TRUE
earliest-second-to-mark-indices-i,Medium,570,570,71.875,SUCCESS,51.5625,Accepted,TRUE
minimum-processing-time,Medium,716,716,63.1576,SUCCESS,51.5786,Accepted,TRUE
minimum-number-of-operations-to-make-array-xor-equal-to-k,Medium,684,684,67.1358,SUCCESS,51.6432,Accepted,TRUE
maximum-value-of-a-string-in-an-array,Easy,64,64,100,SUCCESS,51.6484,Accepted,TRUE
maximum-square-area-by-removing-fences-from-a-field,Medium,648,648,35.7118,SUCCESS,51.7852,Accepted,TRUE
recover-the-original-array,Hard,110,110,23.8622,SUCCESS,52.2726,Accepted,TRUE
minimum-operations-to-make-columns-strictly-increasing,Easy,722,722,76.0192,SUCCESS,52.2782,Accepted,TRUE
divide-an-array-into-subarrays-with-minimum-cost-i,Easy,,,14.52,,52.28,Accepted,TRUE
make-array-zero-by-subtracting-equal-amounts,Easy,95,95,100,SUCCESS,52.2909,Accepted,TRUE
maximum-sum-with-exactly-k-elements,Easy,3004,3004,100,SUCCESS,52.3595,Accepted,TRUE
maximize-palindrome-length-from-subsequences,Hard,109,109,95.0821,SUCCESS,52.4594,Accepted,TRUE
separate-the-digits-in-an-array,Easy,52,52,85.0364,SUCCESS,52.5546,Accepted,TRUE
minimum-moves-to-convert-string,Easy,55,55,100,SUCCESS,52.6957,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-ii,Medium,549,549,5.4536,SUCCESS,52.7268,Accepted,TRUE
largest-substring-between-two-equal-characters,Easy,58,58,100,SUCCESS,52.8344,Accepted,TRUE
minimum-time-to-visit-a-cell-in-a-grid,Hard,,,59.01,,52.87,Accepted,TRUE
count-items-matching-a-rule,Easy,92,92,100,SUCCESS,53.056,Accepted,TRUE
closest-subsequence-sum,Hard,74,74,83.116,SUCCESS,53.2458,Accepted,TRUE
account-balance-after-rounded-purchase,Easy,101,101,100,SUCCESS,53.4091,Accepted,TRUE
defuse-the-bomb,Easy,74,74,42.4908,SUCCESS,53.4799,Accepted,TRUE
most-frequent-ids,Medium,623,623,54.3308,SUCCESS,53.5434,Accepted,TRUE
maximum-sum-of-almost-unique-subarray,Medium,767,767,55.8727,SUCCESS,53.6508,Accepted,TRUE
second-largest-digit-in-a-string,Easy,301,301,100,SUCCESS,54.0541,Accepted,TRUE
maximum-path-quality-of-a-graph,Hard,62,62,81.4389,SUCCESS,54.1666,Accepted,TRUE
find-minimum-time-to-finish-all-jobs,Hard,,,19.58,,54.21,Accepted,TRUE
minimum-time-to-complete-all-tasks,Hard,1059,1059,42.633,SUCCESS,54.2105,Accepted,TRUE
minimum-number-of-operations-to-make-all-array-elements-equal-to-1,Medium,,,50,,54.29,Accepted,TRUE
maximum-subarray-with-equal-products,Easy,865,865,57.8803,SUCCESS,54.3478,Accepted,TRUE
minimum-number-of-groups-to-create-a-valid-assignment,Medium,631,631,96.4912,SUCCESS,54.3859,Accepted,TRUE
maximum-running-time-of-n-computers,Hard,52,52,11.1889,SUCCESS,54.5455,Accepted,TRUE
minimum-money-required-before-transactions,Hard,56,56,70.9678,SUCCESS,54.8388,Accepted,TRUE
maximum-multiplication-score,Medium,675,675,99.115,SUCCESS,54.8667,Accepted,TRUE
maximize-greatness-of-an-array,Medium,1072,1072,33.2884,SUCCESS,54.8994,Accepted,TRUE
hash-divided-string,Medium,,,41.83,,54.9,Accepted,TRUE
reverse-odd-levels-of-binary-tree,Medium,57,57,86.8746,SUCCESS,55.0451,Accepted,TRUE
find-the-safest-path-in-a-grid,Medium,,,85.28,,55.08,Accepted,TRUE
alternating-groups-i,Easy,795,795,20.9427,SUCCESS,55.3228,Accepted,TRUE
longest-square-streak-in-an-array,Medium,92,92,64.5555,SUCCESS,55.3795,Accepted,TRUE
minimum-time-to-type-word-using-special-typewriter,Easy,,,100,,55.44,Accepted,TRUE
left-and-right-sum-differences,Easy,53,53,46.8098,SUCCESS,55.4603,Accepted,TRUE
maximum-good-people-based-on-statements,Hard,91,91,25.9242,SUCCESS,55.5554,Accepted,TRUE
relocate-marbles,Medium,2129,2129,50,SUCCESS,55.8333,Accepted,TRUE
minimum-moves-to-spread-stones-over-grid,Medium,,,45.04,,55.86,Accepted,TRUE
minimum-operations-to-make-a-special-number,Medium,814,814,100,SUCCESS,56,Accepted,TRUE
find-the-length-of-the-longest-common-prefix,Medium,718,718,39.8676,SUCCESS,56.1186,Accepted,TRUE
divide-array-into-arrays-with-max-difference,Medium,1117,1117,74.0089,SUCCESS,56.3878,Accepted,TRUE
minimum-cuts-to-divide-a-circle,Easy,100,100,2.005,SUCCESS,56.391,Accepted,TRUE
count-pairs-whose-sum-is-less-than-target,Easy,707,707,29.4609,SUCCESS,56.4174,Accepted,TRUE
fruits-into-baskets-ii,Easy,904,904,49.1796,SUCCESS,56.4251,Accepted,TRUE
minimum-cost-to-convert-string-i,Medium,,,86.46,,56.6,Accepted,TRUE
special-array-i,Easy,852,852,100,SUCCESS,56.6915,Accepted,TRUE
find-the-peaks,Easy,648,648,34.629,SUCCESS,56.7137,Accepted,TRUE
minimum-number-game,Easy,804,804,100,SUCCESS,56.8334,Accepted,TRUE
remove-adjacent-almost-equal-characters,Medium,779,779,100,SUCCESS,56.8966,Accepted,TRUE
number-of-subarrays-with-gcd-equal-to-k,Medium,87,87,80.3799,SUCCESS,56.9619,Accepted,TRUE
partition-array-into-two-arrays-to-minimize-sum-difference,Hard,201,201,20.8311,SUCCESS,56.9794,Accepted,TRUE
find-target-indices-after-sorting-array,Easy,216,216,100,SUCCESS,57.0697,Accepted,TRUE
maximum-number-of-visible-points,Hard,119,119,96.3852,SUCCESS,57.1083,Accepted,TRUE
two-furthest-houses-with-different-colors,Easy,126,126,32.7749,SUCCESS,57.1728,Accepted,TRUE
check-if-string-is-transformable-with-substring-sort-operations,Hard,138,138,39.3163,SUCCESS,57.265,Accepted,TRUE
furthest-point-from-origin,Easy,1252,1252,100,SUCCESS,57.3426,Accepted,TRUE
find-edges-in-shortest-paths,Hard,536,536,64.7535,SUCCESS,57.3774,Accepted,TRUE
smallest-missing-non-negative-integer-after-operations,Medium,1062,1062,70.5042,SUCCESS,57.5542,Accepted,TRUE
count-special-quadruplets,Easy,211,211,49.2186,SUCCESS,57.7244,Accepted,TRUE
count-integers-in-intervals,Hard,73,73,99.7076,SUCCESS,57.8945,Accepted,TRUE
words-within-two-edits-of-dictionary,Medium,33,33,98.6207,SUCCESS,57.9311,Accepted,TRUE
determine-whether-matrix-can-be-obtained-by-rotation,Easy,113,113,100,SUCCESS,58.0499,Accepted,TRUE
find-the-number-of-distinct-colors-among-the-balls,Medium,551,551,85.0204,SUCCESS,58.0974,Accepted,TRUE
number-of-arithmetic-triplets,Easy,104,104,100,SUCCESS,58.1321,Accepted,TRUE
maximum-sum-with-at-most-k-elements,Medium,,,60.94,,58.25,Accepted,TRUE
delete-duplicate-folders-in-system,Hard,108,108,93.2584,SUCCESS,58.4268,Accepted,TRUE
shortest-impossible-sequence-of-rolls,Hard,65,65,45.4546,SUCCESS,58.4416,Accepted,TRUE
minimum-seconds-to-equalize-a-circular-array,Medium,579,579,35.3835,SUCCESS,58.4616,Accepted,TRUE
minimum-number-of-pushes-to-type-word-i,Easy,500,500,100,SUCCESS,58.5367,Accepted,TRUE
minimum-number-of-operations-to-make-arrays-similar,Hard,32,32,79.5701,SUCCESS,58.6022,Accepted,TRUE
closest-room,Hard,43,43,93.4783,SUCCESS,58.6957,Accepted,TRUE
maximum-number-of-alloys,Medium,731,731,68.841,SUCCESS,58.6957,Accepted,TRUE
number-of-unequal-triplets-in-array,Easy,104,104,70.6514,SUCCESS,58.6994,Accepted,TRUE
check-if-one-string-swap-can-make-strings-equal,Easy,137,137,100,SUCCESS,58.7135,Accepted,TRUE
minimum-sum-of-mountain-triplets-i,Easy,,,35.21,,58.88,Accepted,TRUE
maximum-odd-binary-number,Easy,,,100,,58.97,Accepted,TRUE
find-the-sum-of-the-power-of-all-subsequences,Hard,,,56.41,,58.97,Accepted,TRUE
number-of-ways-to-paint-n-3-grid,Hard,50,50,88.5351,SUCCESS,59.0235,Accepted,TRUE
make-number-of-distinct-characters-equal,Medium,99,99,32.5306,SUCCESS,59.0361,Accepted,TRUE
find-xor-beauty-of-array,Medium,32,32,65.4618,SUCCESS,59.0362,Accepted,TRUE
count-pairs-of-points-with-distance-k,Medium,1007,1007,77.273,SUCCESS,59.0908,Accepted,TRUE
minimum-operations-to-maximize-last-elements-in-arrays,Medium,,,77.08,,59.38,Accepted,TRUE
number-of-bit-changes-to-make-two-integers-equal,Easy,682,682,100,SUCCESS,59.4654,Accepted,TRUE
calculate-delayed-arrival-time,Easy,556,556,100,SUCCESS,59.5505,Accepted,TRUE
minimum-number-of-operations-to-make-x-and-y-equal,Medium,948,948,25.3969,SUCCESS,59.7884,Accepted,TRUE
minimum-cost-for-cutting-cake-i,Medium,533,533,53.6082,SUCCESS,59.7938,Accepted,TRUE
determine-the-minimum-sum-of-a-k-avoiding-array,Medium,2502,2502,51.8517,SUCCESS,59.8765,Accepted,TRUE
minimum-recolors-to-get-k-consecutive-black-blocks,Easy,122,122,12.796,SUCCESS,60.0768,Accepted,TRUE
count-asterisks,Easy,69,69,100,SUCCESS,60.1279,Accepted,TRUE
maximum-product-difference-between-two-pairs,Easy,96,96,25.1457,SUCCESS,60.1863,Accepted,TRUE
check-if-a-string-is-an-acronym-of-words,Easy,,,100,,60.63,Accepted,TRUE
maximum-number-of-fish-in-a-grid,Medium,3842,3842,97.7488,SUCCESS,60.6635,Accepted,TRUE
rearrange-array-to-maximize-prefix-score,Medium,1071,1071,67.9084,SUCCESS,60.7451,Accepted,TRUE
final-value-of-variable-after-performing-operations,Easy,259,259,100,SUCCESS,60.9747,Accepted,TRUE
minimum-time-to-revert-word-to-initial-state-i,Medium,769,769,100,SUCCESS,61.1941,Accepted,TRUE
count-the-number-of-complete-components,Medium,3356,3356,7.2452,SUCCESS,61.2106,Accepted,TRUE
maximum-energy-boost-from-two-drinks,Medium,563,563,53.7915,SUCCESS,61.3789,Accepted,TRUE
create-sorted-array-through-instructions,Hard,65,65,27.5726,SUCCESS,61.6217,Accepted,TRUE
number-of-unique-good-subsequences,Hard,69,69,82.2786,SUCCESS,62.0253,Accepted,TRUE
minimize-xor,Medium,280,280,100,SUCCESS,62.2785,Accepted,TRUE
count-substrings-starting-and-ending-with-given-character,Medium,669,669,100,SUCCESS,62.3457,Accepted,TRUE
minimum-changes-to-make-alternating-binary-string,Easy,89,89,87.0564,SUCCESS,62.4217,Accepted,TRUE
maximum-element-sum-of-a-complete-subset-of-indices,Hard,663,663,10,SUCCESS,62.5,Accepted,TRUE
find-the-maximum-sum-of-node-values,Hard,718,718,87.5954,SUCCESS,62.6944,Accepted,TRUE
decode-xored-array,Easy,76,76,100,SUCCESS,62.7054,Accepted,TRUE
count-number-of-special-subsequences,Hard,99,99,100,SUCCESS,62.7119,Accepted,TRUE
minimum-positive-sum-subarray,Easy,889,889,58.9087,SUCCESS,62.8062,Accepted,TRUE
maximum-matching-of-players-with-trainers,Medium,35,35,53.0748,SUCCESS,62.8342,Accepted,TRUE
minimum-cost-to-cut-a-stick,Hard,,,81.27,,62.99,Accepted,TRUE
count-hills-and-valleys-in-an-array,Easy,121,121,100,SUCCESS,63.0986,Accepted,TRUE
minimum-cost-of-buying-candies-with-discount,Easy,,,100,,63.13,Accepted,TRUE
maximum-sum-of-distinct-subarrays-with-length-k,Medium,93,93,35.0124,SUCCESS,63.1607,Accepted,TRUE
max-dot-product-of-two-subsequences,Hard,,,75.48,,63.23,Accepted,TRUE
number-of-distinct-roll-sequences,Hard,,,81.71,,63.41,Accepted,TRUE
next-greater-element-iv,Hard,51,51,85.1283,SUCCESS,63.59,Accepted,TRUE
cells-in-a-range-on-an-excel-sheet,Easy,,,9.15,,63.72,Accepted,TRUE
check-if-two-string-arrays-are-equivalent,Easy,,,100,,63.88,Accepted,TRUE
sign-of-the-product-of-an-array,Easy,76,76,100,SUCCESS,63.942,Accepted,TRUE
minimum-cost-to-make-array-equal,Hard,48,48,89.3835,SUCCESS,64.041,Accepted,TRUE
minimum-absolute-difference-between-elements-with-constraint,Medium,,,91.1,,64.06,Accepted,TRUE
find-indices-with-index-and-value-difference-i,Easy,525,525,42.0212,SUCCESS,64.0958,Accepted,TRUE
number-of-ways-to-form-a-target-string-given-a-dictionary,Hard,,,48.57,,64.29,Accepted,TRUE
minimum-number-of-changes-to-make-binary-string-beautiful,Medium,577,577,77.8062,SUCCESS,64.5408,Accepted,TRUE
find-the-longest-valid-obstacle-course-at-each-position,Hard,78,78,50.9711,SUCCESS,64.5634,Accepted,TRUE
continuous-subarrays,Medium,2139,2139,82.5464,SUCCESS,64.5791,Accepted,TRUE
total-distance-traveled,Easy,10000,10000,30.6929,SUCCESS,64.6864,Accepted,TRUE
number-of-subarrays-that-match-a-pattern-i,Medium,792,792,18.9258,SUCCESS,64.7058,Accepted,TRUE
delivering-boxes-from-storage-to-ports,Hard,,,63.16,,64.91,Accepted,TRUE
count-pairs-of-nodes,Hard,63,63,78.9472,SUCCESS,64.9122,Accepted,TRUE
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,Hard,,,62.34,,64.94,Accepted,TRUE
beautiful-towers-i,Medium,785,785,59.391,SUCCESS,64.9747,Accepted,TRUE
minimum-difference-between-highest-and-lowest-of-k-scores,Easy,,,90.56,,65.05,Accepted,TRUE
maximum-palindromes-after-operations,Medium,507,507,38.0432,SUCCESS,65.2174,Accepted,TRUE
check-if-an-original-string-exists-given-two-encoded-strings,Hard,215,215,35.2517,SUCCESS,65.4231,Accepted,TRUE
find-the-original-array-of-prefix-xor,Medium,46,46,84.6045,SUCCESS,65.4645,Accepted,TRUE
difference-between-maximum-and-minimum-price-sum,Hard,58,58,68.9655,SUCCESS,65.5171,Accepted,TRUE
minimum-distance-to-the-target-element,Easy,,,100,,65.6,Accepted,TRUE
divide-a-string-into-groups-of-size-k,Easy,157,157,100,SUCCESS,65.7492,Accepted,TRUE
restore-the-array,Hard,86,86,90.8337,SUCCESS,65.8335,Accepted,TRUE
number-of-black-blocks,Medium,2145,2145,13.9204,SUCCESS,66.1555,Accepted,TRUE
modify-the-matrix,Easy,,,30.06,,66.29,Accepted,TRUE
points-that-intersect-with-cars,Easy,807,807,79.513,SUCCESS,66.3324,Accepted,TRUE
beautiful-towers-ii,Medium,785,785,99.0909,SUCCESS,66.3635,Accepted,TRUE
get-maximum-in-generated-array,Easy,101,101,100,SUCCESS,66.6667,Accepted,TRUE
minimize-the-maximum-of-two-arrays,Medium,63,63,100,SUCCESS,66.6667,Accepted,TRUE
find-beautiful-indices-in-the-given-array-i,Medium,535,535,84.6388,SUCCESS,66.717,Accepted,TRUE
last-day-where-you-can-still-cross,Hard,118,118,33.25,SUCCESS,66.75,Accepted,TRUE
maximum-population-year,Easy,53,53,100,SUCCESS,66.7782,Accepted,TRUE
shift-distance-between-two-strings,Medium,741,741,18.7078,SUCCESS,66.9065,Accepted,TRUE
most-frequent-prime,Medium,974,974,30.8265,SUCCESS,66.9173,Accepted,TRUE
maximum-points-inside-the-square,Medium,576,576,78.2253,SUCCESS,66.9355,Accepted,TRUE
divide-nodes-into-the-maximum-number-of-groups,Hard,57,57,20.1378,SUCCESS,66.9967,Accepted,TRUE
sum-multiples,Easy,1000,1000,64.4929,SUCCESS,67.1843,Accepted,TRUE
booking-concert-tickets-in-groups,Hard,97,97,49.9996,SUCCESS,67.4417,Accepted,TRUE
minimize-length-of-array-using-operations,Medium,523,523,79.4116,SUCCESS,67.647,Accepted,TRUE
meeting-rooms-iii,Hard,81,81,75.4642,SUCCESS,67.6809,Accepted,TRUE
maximum-number-of-moves-in-a-grid,Medium,814,814,17.5108,SUCCESS,67.7044,Accepted,TRUE
kth-distinct-string-in-an-array,Easy,66,66,68.1016,SUCCESS,67.7488,Accepted,TRUE
paths-in-matrix-whose-sum-is-divisible-by-k,Hard,88,88,44.2541,SUCCESS,67.8163,Accepted,TRUE
count-of-interesting-subarrays,Medium,617,617,74.1759,SUCCESS,67.9745,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-ii,Medium,443,443,29.4491,SUCCESS,68.076,Accepted,TRUE
reward-top-k-students,Medium,30,30,54.4247,SUCCESS,68.1417,Accepted,TRUE
percentage-of-letter-in-string,Easy,,,3.48,,68.24,Accepted,TRUE
minimize-deviation-in-array,Hard,76,76,67.1225,SUCCESS,68.4931,Accepted,TRUE
difference-between-ones-and-zeros-in-row-and-column,Medium,85,85,33.4737,SUCCESS,68.6197,Accepted,TRUE
make-array-empty,Hard,514,514,45.9448,SUCCESS,68.9187,Accepted,TRUE
sorting-the-sentence,Easy,,,74.41,,69.06,Accepted,TRUE
the-number-of-good-subsets,Hard,92,92,53.8457,SUCCESS,69.2307,Accepted,TRUE
find-all-people-with-secret,Hard,56,56,72.3925,SUCCESS,69.325,Accepted,TRUE
intersection-of-multiple-arrays,Easy,151,151,100,SUCCESS,69.4482,Accepted,TRUE
minimum-rectangles-to-cover-points,Medium,966,966,51.2195,SUCCESS,69.5118,Accepted,TRUE
odd-string-difference,Easy,,,100,,69.52,Accepted,TRUE
subarray-with-elements-greater-than-varying-threshold,Hard,68,68,48.2131,SUCCESS,69.6427,Accepted,TRUE
count-pairs-with-xor-in-a-range,Hard,,,87.88,,69.7,Accepted,TRUE
maximum-beauty-of-an-array-after-applying-operation,Medium,622,622,50.8043,SUCCESS,69.7676,Accepted,TRUE
maximum-number-of-events-that-can-be-attended-ii,Hard,69,69,75.5404,SUCCESS,69.7848,Accepted,TRUE
find-the-width-of-columns-of-a-grid,Easy,50,50,96.4584,SUCCESS,69.7918,Accepted,TRUE
concatenation-of-array,Easy,92,92,22.2698,SUCCESS,69.8905,Accepted,TRUE
count-paths-with-the-given-xor-value,Medium,585,585,82.114,SUCCESS,69.919,Accepted,TRUE
largest-number-after-digit-swaps-by-parity,Easy,,,16.04,,70,Accepted,TRUE
split-the-array,Easy,715,715,52.6395,SUCCESS,70.1358,Accepted,TRUE
difference-of-number-of-distinct-values-on-diagonals,Medium,709,709,34.375,SUCCESS,70.3125,Accepted,TRUE
check-if-matrix-is-x-matrix,Easy,84,84,70.2778,SUCCESS,70.5556,Accepted,TRUE
design-spreadsheet,Medium,658,658,84.0784,SUCCESS,70.6618,Accepted,TRUE
minimum-number-of-coins-to-be-added,Medium,628,628,80.9918,SUCCESS,71.0744,Accepted,TRUE
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,31,31,33.3315,SUCCESS,71.2118,Accepted,TRUE
maximum-count-of-positive-integer-and-negative-integer,Easy,169,169,100,SUCCESS,71.2316,Accepted,TRUE
length-of-longest-subarray-with-at-most-k-frequency,Medium,993,993,81.9885,SUCCESS,71.5566,Accepted,TRUE
minimum-white-tiles-after-covering-with-carpets,Hard,2706,2706,91.5792,SUCCESS,71.5789,Accepted,TRUE
report-spam-message,Medium,526,526,94.0169,SUCCESS,71.7944,Accepted,TRUE
add-two-integers,Easy,262,262,100,SUCCESS,71.81,Accepted,TRUE
painting-the-walls,Hard,,,97.73,,71.94,Accepted,TRUE
using-a-robot-to-print-the-lexicographically-smallest-string,Medium,,,7.93,,71.99,Accepted,TRUE
difference-between-element-sum-and-digit-sum-of-an-array,Easy,142,142,31.8396,SUCCESS,72.0822,Accepted,TRUE
find-the-number-of-winning-players,Easy,839,839,37.4046,SUCCESS,72.1375,Accepted,TRUE
maximum-number-of-achievable-transfer-requests,Hard,117,117,44.6174,SUCCESS,72.3077,Accepted,TRUE
number-of-strings-that-appear-as-substrings-in-word,Easy,82,82,100,SUCCESS,72.4018,Accepted,TRUE
find-a-safe-walk-through-a-grid,Medium,,,87.85,,72.59,Accepted,TRUE
minimum-deletions-to-make-string-k-special,Medium,,,24.21,,72.63,Accepted,TRUE
divide-array-into-equal-pairs,Easy,137,137,68.1967,SUCCESS,72.6777,Accepted,TRUE
smallest-index-with-equal-value,Easy,663,663,100,SUCCESS,72.679,Accepted,TRUE
find-the-punishment-number-of-an-integer,Medium,216,216,46.9596,SUCCESS,72.694,Accepted,TRUE
find-score-of-an-array-after-marking-all-elements,Medium,1044,1044,37.7982,SUCCESS,72.7426,Accepted,TRUE
earliest-possible-day-of-full-bloom,Hard,185,185,96.3856,SUCCESS,72.8917,Accepted,TRUE
find-greatest-common-divisor-of-array,Easy,215,215,7.9411,SUCCESS,73.0001,Accepted,TRUE
longest-non-decreasing-subarray-from-two-arrays,Medium,2973,2973,71.6291,SUCCESS,73.0337,Accepted,TRUE
smallest-k-length-subsequence-with-occurrences-of-a-letter,Hard,152,152,89.2858,SUCCESS,73.2142,Accepted,TRUE
properties-graph,Medium,668,668,90.676,SUCCESS,73.3119,Accepted,TRUE
construct-the-minimum-bitwise-array-i,Easy,658,658,30.8748,SUCCESS,73.6111,Accepted,TRUE
minimum-cost-to-make-all-characters-equal,Medium,1574,1574,71.25,SUCCESS,73.75,Accepted,TRUE
merge-strings-alternately,Easy,108,108,56.4418,SUCCESS,73.853,Accepted,TRUE
check-if-array-is-good,Easy,805,805,100,SUCCESS,74.2039,Accepted,TRUE
minimum-replacements-to-sort-the-array,Hard,47,47,63.2074,SUCCESS,74.5282,Accepted,TRUE
minimum-sum-of-mountain-triplets-ii,Medium,,,98.34,,74.59,Accepted,TRUE
process-restricted-friend-requests,Hard,,,66.42,,74.63,Accepted,TRUE
length-of-the-longest-valid-substring,Hard,763,763,66.5473,SUCCESS,74.733,Accepted,TRUE
minimum-number-of-moves-to-seat-everyone,Easy,,,16.8,,74.76,Accepted,TRUE
apply-operations-to-maximize-score,Hard,870,870,74.0158,SUCCESS,74.8032,Accepted,TRUE
make-string-a-subsequence-using-cyclic-increments,Medium,1128,1128,82.1586,SUCCESS,74.8898,Accepted,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-i,Medium,815,815,45.0004,SUCCESS,74.9999,Accepted,TRUE
check-if-there-is-a-valid-parentheses-string-path,Hard,,,98.75,,75,Accepted,TRUE
sort-the-people,Easy,,,80.96,,75.21,Accepted,TRUE
check-if-all-as-appears-before-all-bs,Easy,,,100,,75.4,Accepted,TRUE
count-complete-subarrays-in-an-array,Medium,1074,1074,13.1254,SUCCESS,75.4486,Accepted,TRUE
minimum-number-of-days-to-disconnect-island,Hard,104,104,68.3459,SUCCESS,75.5396,Accepted,TRUE
cherry-pickup-ii,Hard,59,59,81.5256,SUCCESS,75.5726,Accepted,TRUE
escape-the-spreading-fire,Hard,,,6.39,,75.58,Accepted,TRUE
smallest-subarrays-with-maximum-bitwise-or,Medium,59,59,65.854,SUCCESS,75.6098,Accepted,TRUE
