slug,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed
intersection-of-multiple-arrays,151,151,29.3405,SUCCESS,69.5155,Accepted,TRUE
find-xor-sum-of-all-pairs-bitwise-and,84,84,65.1513,SUCCESS,15.1514,Accepted,TRUE
beautiful-towers-i,785,785,99.043,SUCCESS,11.4832,Accepted,TRUE
put-marbles-in-bags,103,103,87.1848,SUCCESS,89.748,Accepted,TRUE
earliest-second-to-mark-indices-i,570,570,77.4194,SUCCESS,30.6453,Accepted,TRUE
divide-players-into-teams-of-equal-skill,89,89,80.4475,SUCCESS,70.5536,Accepted,TRUE
find-the-width-of-columns-of-a-grid,50,50,77.9411,SUCCESS,42.8571,Accepted,TRUE
decode-the-message,69,69,20.2163,SUCCESS,7.0714,Accepted,TRUE
count-prefix-and-suffix-pairs-i,594,594,58.363,SUCCESS,15.4342,Accepted,TRUE
longest-non-decreasing-subarray-from-two-arrays,2973,2973,98.8827,SUCCESS,94.6928,Accepted,TRUE
check-if-string-is-transformable-with-substring-sort-operations,138,138,48.718,SUCCESS,67.5214,Accepted,TRUE
find-the-divisibility-array-of-a-string,51,51,77.2018,SUCCESS,84.9742,Accepted,TRUE
faulty-keyboard,3005,3005,100,SUCCESS,59.675,Accepted,TRUE
count-the-number-of-incremovable-subarrays-i,615,615,69.8356,SUCCESS,89.6694,Accepted,TRUE
smallest-missing-non-negative-integer-after-operations,1062,1062,71.6411,SUCCESS,31.3433,Accepted,TRUE
sum-multiples,1000,1000,95.1596,SUCCESS,23.378,Accepted,TRUE
decode-xored-array,76,76,5.4569,SUCCESS,21.4468,Accepted,TRUE
destroy-sequential-targets,45,45,78.3784,SUCCESS,24.3244,Accepted,TRUE
maximum-deletions-on-a-string,129,129,44.6798,SUCCESS,19.1482,Accepted,TRUE
make-array-empty,514,514,66.1967,SUCCESS,18.3091,Accepted,TRUE
ways-to-split-array-into-good-subarrays,553,553,86.7544,SUCCESS,77.4834,Accepted,TRUE
minimize-length-of-array-using-operations,523,523,49.275,SUCCESS,66.6666,Accepted,TRUE
maximum-sum-of-almost-unique-subarray,767,767,60.9677,SUCCESS,53.871,Accepted,TRUE
mice-and-cheese,564,564,69.8799,SUCCESS,52.2091,Accepted,TRUE
maximum-number-of-distinct-elements-after-operations,633,633,63.13,SUCCESS,96.4646,Accepted,TRUE
split-array-into-maximum-number-of-subarrays,887,887,80.5554,SUCCESS,27.7779,Accepted,TRUE
count-operations-to-obtain-zero,161,161,100,SUCCESS,36.1402,Accepted,TRUE
most-frequent-even-element,219,219,41.234,SUCCESS,17.2379,Accepted,TRUE
find-first-palindromic-string-in-the-array,266,266,15.8161,SUCCESS,32.6416,Accepted,TRUE
maximum-strong-pair-xor-i,861,861,70.1348,SUCCESS,33.9113,Accepted,TRUE
make-three-strings-equal,1935,1935,100,SUCCESS,42.3208,Accepted,TRUE
smallest-missing-genetic-value-in-each-subtree,68,68,95.6522,SUCCESS,86.9566,Accepted,TRUE
maximize-area-of-square-hole-in-grid,524,524,100,SUCCESS,97.8723,Accepted,TRUE
string-compression-iii,744,744,60.0253,SUCCESS,37.1109,Accepted,TRUE
count-anagrams,41,41,89.8143,SUCCESS,23.6107,Accepted,TRUE
merge-strings-alternately,108,108,56.5507,SUCCESS,73.8785,Accepted,TRUE
count-number-of-pairs-with-absolute-difference-k,237,237,100,SUCCESS,60.0481,Accepted,TRUE
append-characters-to-string-to-make-subsequence,86,86,95.7023,SUCCESS,65.5411,Accepted,TRUE
manhattan-distances-of-all-arrangements-of-pieces,919,919,64,SUCCESS,22,Accepted,TRUE
longest-subsequence-with-limited-sum,57,57,90.9209,SUCCESS,46.7015,Accepted,TRUE
minimize-deviation-in-array,76,76,77.3339,SUCCESS,84.0001,Accepted,TRUE
maximum-value-of-an-ordered-triplet-ii,599,599,42.7721,SUCCESS,96.6506,Accepted,TRUE
maximum-subarray-with-equal-products,865,865,56.3212,SUCCESS,76.4367,Accepted,TRUE
find-the-maximum-divisibility-score,160,160,64.0176,SUCCESS,43.0963,Accepted,TRUE
min-max-game,96,96,78.4983,SUCCESS,40.9556,Accepted,TRUE
maximum-number-of-groups-with-increasing-length,2027,2027,49.3287,SUCCESS,67.1141,Accepted,TRUE
build-a-matrix-with-conditions,53,53,42.8219,SUCCESS,86.3862,Accepted,TRUE
maximum-number-of-k-divisible-components,736,736,42.8571,SUCCESS,100,Accepted,TRUE
strange-printer-ii,153,153,86.8613,SUCCESS,10.949,Accepted,TRUE
minimum-number-of-days-to-disconnect-island,104,104,65.4409,SUCCESS,66.9119,Accepted,TRUE
number-of-unequal-triplets-in-array,104,104,16.723,SUCCESS,84.4262,Accepted,TRUE
divide-array-into-equal-pairs,137,137,69.342,SUCCESS,22.9311,Accepted,TRUE
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,691,691,81.9637,SUCCESS,75.7991,Accepted,TRUE
frog-jump-ii,34,34,98.374,SUCCESS,22.3577,Accepted,TRUE
minimum-increment-operations-to-make-array-beautiful,570,570,87.1287,SUCCESS,87.1287,Accepted,TRUE
count-of-interesting-subarrays,617,617,59.2264,SUCCESS,39.5441,Accepted,TRUE
stone-game-iii,185,185,93.697,SUCCESS,85.7143,Accepted,TRUE
longest-nice-substring,73,73,79.4198,SUCCESS,19.039,Accepted,TRUE
sum-in-a-matrix,1057,1057,96.9827,SUCCESS,39.2241,Accepted,TRUE
cousins-in-binary-tree-ii,41,41,75.0582,SUCCESS,96.4706,Accepted,TRUE
count-the-number-of-arrays-with-k-matching-adjacent-elements,809,809,73.4181,SUCCESS,5.0634,Accepted,TRUE
largest-element-in-an-array-after-merge-operations,1023,1023,82.6922,SUCCESS,27.5639,Accepted,TRUE
maximum-prime-difference,904,904,77.0734,SUCCESS,75.1219,Accepted,TRUE
kth-distinct-string-in-an-array,66,66,69.0794,SUCCESS,5.622,Accepted,TRUE
sort-matrix-by-diagonals,1306,1306,65.5659,SUCCESS,6.6038,Accepted,TRUE
latest-time-you-can-obtain-after-replacing-characters,908,908,94.568,SUCCESS,96.5433,Accepted,TRUE
minimum-cost-for-cutting-cake-ii,566,566,91.1764,SUCCESS,44.1177,Accepted,TRUE
largest-3-same-digit-number-in-string,141,141,68.6709,SUCCESS,62.3418,Accepted,TRUE
car-fleet-ii,85,85,68.5712,SUCCESS,90.7142,Accepted,TRUE
count-common-words-with-one-occurrence,61,61,71.257,SUCCESS,70.9367,Accepted,TRUE
minimum-time-to-repair-cars,1072,1072,77.0441,SUCCESS,21.9888,Accepted,TRUE
minimum-cost-to-make-all-characters-equal,1574,1574,49.9997,SUCCESS,44.7369,Accepted,TRUE
robot-collisions,2433,2433,56.0521,SUCCESS,33.7589,Accepted,TRUE
generate-binary-strings-without-adjacent-zeros,20,20,77.4772,SUCCESS,7.5074,Accepted,TRUE
remove-nodes-from-linked-list,32,32,85.4868,SUCCESS,75.8373,Accepted,TRUE
count-number-of-distinct-integers-after-reverse-operations,44,44,33.7356,SUCCESS,65.0603,Accepted,TRUE
find-longest-awesome-substring,153,153,21.4292,SUCCESS,53.5714,Accepted,TRUE
find-the-score-of-all-prefixes-of-an-array,43,43,97.826,SUCCESS,48.9127,Accepted,TRUE
partition-string-into-minimum-beautiful-substrings,561,561,12.2949,SUCCESS,81.9672,Accepted,TRUE
maximum-elegance-of-a-k-length-subsequence,2729,2729,71.4288,SUCCESS,40.8164,Accepted,TRUE
report-spam-message,526,526,76.7543,SUCCESS,42.1051,Accepted,TRUE
minimum-operations-to-make-all-array-elements-equal,31,31,88.4764,SUCCESS,24.5359,Accepted,TRUE
maximum-beauty-of-an-array-after-applying-operation,622,622,85.6386,SUCCESS,58.6881,Accepted,TRUE
maximum-star-sum-of-a-graph,25,25,94.7137,SUCCESS,97.7973,Accepted,TRUE
count-pairs-that-form-a-complete-day-i,667,667,100,SUCCESS,48.5269,Accepted,TRUE
longest-substring-of-one-repeating-character,57,57,76.3156,SUCCESS,42.1049,Accepted,TRUE
count-ways-to-build-good-strings,36,36,74.0003,SUCCESS,77.889,Accepted,TRUE
find-all-people-with-secret,56,56,56.25,SUCCESS,66.25,Accepted,TRUE
remove-trailing-zeros-from-a-string,756,756,45.8955,SUCCESS,10.6342,Accepted,TRUE
maximum-square-area-by-removing-fences-from-a-field,648,648,87.3064,SUCCESS,70.5881,Accepted,TRUE
shortest-string-that-contains-three-strings,5324,5324,90.9091,SUCCESS,45.4546,Accepted,TRUE
number-of-adjacent-elements-with-the-same-color,183,183,75.8199,SUCCESS,39.754,Accepted,TRUE
finding-3-digit-even-numbers,79,79,95.4076,SUCCESS,43.2052,Accepted,TRUE
sum-of-distances,1068,1068,94.5784,SUCCESS,57.8317,Accepted,TRUE
right-triangles,637,637,52.9399,SUCCESS,51.8718,Accepted,TRUE
smallest-subarrays-with-maximum-bitwise-or,59,59,25.6386,SUCCESS,97.4359,Accepted,TRUE
find-valid-pair-of-adjacent-digits-in-string,826,826,73.59,SUCCESS,86.7502,Accepted,TRUE
first-completely-painted-row-or-column,1058,1058,87.8785,SUCCESS,62.8098,Accepted,TRUE
minimum-score-of-a-path-between-two-cities,43,43,85.7141,SUCCESS,76.4517,Accepted,TRUE
minimum-operations-to-make-columns-strictly-increasing,722,722,47.1976,SUCCESS,77.2862,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-i,706,706,94.832,SUCCESS,76.2619,Accepted,TRUE
building-boxes,86,86,100,SUCCESS,46,Accepted,TRUE
taking-maximum-energy-from-the-mystic-dungeon,533,533,83.4717,SUCCESS,66.1158,Accepted,TRUE
minimum-total-cost-to-make-arrays-unequal,104,104,54.0986,SUCCESS,50.8197,Accepted,TRUE
maximize-win-from-two-segments,72,72,75.6757,SUCCESS,87.3874,Accepted,TRUE
naming-a-company,89,89,66.3159,SUCCESS,31.5789,Accepted,TRUE
paths-in-matrix-whose-sum-is-divisible-by-k,88,88,91.1105,SUCCESS,98.8888,Accepted,TRUE
minimum-time-to-finish-the-race,58,58,89.3084,SUCCESS,62.8931,Accepted,TRUE
number-of-ways-to-reorder-array-to-get-same-bst,161,161,91.2,SUCCESS,84,Accepted,TRUE
number-of-ways-to-divide-a-long-corridor,248,248,84.2104,SUCCESS,40.7894,Accepted,TRUE
subarrays-distinct-element-sum-of-squares-i,707,707,92.0753,SUCCESS,64.5283,Accepted,TRUE
maximize-palindrome-length-from-subsequences,109,109,100,SUCCESS,100,Accepted,TRUE
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,72,72,75.5978,SUCCESS,45.933,Accepted,TRUE
find-common-elements-between-two-arrays,1208,1208,93.5673,SUCCESS,51.8128,Accepted,TRUE
sum-of-matrix-after-queries,2688,2688,100,SUCCESS,57.3333,Accepted,TRUE
find-a-value-of-a-mysterious-function-closest-to-target,43,43,94.6429,SUCCESS,30.3571,Accepted,TRUE
minimum-processing-time,716,716,47.1156,SUCCESS,48.7181,Accepted,TRUE
sum-of-digit-differences-of-all-pairs,643,643,75.9129,SUCCESS,15.3286,Accepted,TRUE
longest-path-with-different-adjacent-characters,142,142,75.1299,SUCCESS,89.7902,Accepted,TRUE
maximum-number-of-events-that-can-be-attended-ii,69,69,82.9639,SUCCESS,88.1484,Accepted,TRUE
count-vowel-strings-in-ranges,94,94,67.0329,SUCCESS,33.5164,Accepted,TRUE
find-occurrences-of-an-element-in-an-array,527,527,95.6968,SUCCESS,60.8608,Accepted,TRUE
maximum-genetic-difference-query,59,59,74.2416,SUCCESS,100,Accepted,TRUE
stone-game-iv,72,72,92.2678,SUCCESS,72.6803,Accepted,TRUE
separate-squares-ii,763,763,91.549,SUCCESS,97.183,Accepted,TRUE
check-if-matrix-is-x-matrix,84,84,79.8867,SUCCESS,5.949,Accepted,TRUE
delete-nodes-from-linked-list-present-in-array,582,582,91.252,SUCCESS,24.4346,Accepted,TRUE
max-pair-sum-in-an-array,3008,3008,91.9538,SUCCESS,58.6206,Accepted,TRUE
length-of-the-longest-alphabetical-continuous-substring,123,123,68.5827,SUCCESS,67.0498,Accepted,TRUE
optimal-partition-of-string,62,62,25.5233,SUCCESS,85.6561,Accepted,TRUE
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,50,50,91.25,SUCCESS,97.5,Accepted,TRUE
redistribute-characters-to-make-all-strings-equal,179,179,57.8377,SUCCESS,37.027,Accepted,TRUE
points-that-intersect-with-cars,807,807,100,SUCCESS,23.7823,Accepted,TRUE
count-the-number-of-beautiful-subarrays,114,114,51.7043,SUCCESS,65.9091,Accepted,TRUE
cherry-pickup-ii,59,59,93.4393,SUCCESS,96.5626,Accepted,TRUE
make-string-a-subsequence-using-cyclic-increments,1128,1128,55.8146,SUCCESS,39.5349,Accepted,TRUE
find-the-k-or-of-an-array,951,951,84.4262,SUCCESS,23.7705,Accepted,TRUE
the-number-of-good-subsets,92,92,53.703,SUCCESS,94.4444,Accepted,TRUE
minimum-replacements-to-sort-the-array,47,47,80.5082,SUCCESS,38.1356,Accepted,TRUE
minimum-operations-to-make-the-array-increasing,94,94,57.0163,SUCCESS,76.9572,Accepted,TRUE
number-of-beautiful-pairs,3005,3005,95.513,SUCCESS,87.5,Accepted,TRUE
longest-cycle-in-a-graph,81,81,99.7743,SUCCESS,91.8736,Accepted,TRUE
maximum-number-of-balls-in-a-box,97,97,22.4074,SUCCESS,86.265,Accepted,TRUE
maximum-number-of-points-from-grid-queries,22,22,81.5832,SUCCESS,85.0826,Accepted,TRUE
apply-operations-to-maximize-score,870,870,73.8922,SUCCESS,74.3848,Accepted,TRUE
number-of-pairs-satisfying-inequality,61,61,69.6331,SUCCESS,73.2984,Accepted,TRUE
ways-to-express-an-integer-as-sum-of-powers,1502,1502,72.6414,SUCCESS,96.2264,Accepted,TRUE
find-the-value-of-the-partition,806,806,86.875,SUCCESS,61.875,Accepted,TRUE
distribute-candies-among-children-i,827,827,85.4237,SUCCESS,58.6441,Accepted,TRUE
find-the-prefix-common-array-of-two-arrays,1773,1773,93.0435,SUCCESS,21.8261,Accepted,TRUE
minimum-cost-to-split-an-array,59,59,75.0002,SUCCESS,64.7959,Accepted,TRUE
smallest-k-length-subsequence-with-occurrences-of-a-letter,152,152,91.0715,SUCCESS,32.1428,Accepted,TRUE
closest-subsequence-sum,74,74,93.3736,SUCCESS,32.5305,Accepted,TRUE
find-polygon-with-the-largest-perimeter,980,980,30.8062,SUCCESS,99.0522,Accepted,TRUE
take-gifts-from-the-richest-pile,103,103,43.25,SUCCESS,47.4088,Accepted,TRUE
minimum-cost-walk-in-weighted-graph,549,549,98.4186,SUCCESS,45.167,Accepted,TRUE
partition-string-into-substrings-with-values-at-most-k,56,56,72.308,SUCCESS,32.3077,Accepted,TRUE
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,66,66,80.7232,SUCCESS,58.4337,Accepted,TRUE
minimum-cost-to-convert-string-i,581,581,95.9563,SUCCESS,91.5442,Accepted,TRUE
count-pairs-of-nodes,63,63,35.0872,SUCCESS,28.0701,Accepted,TRUE
find-beautiful-indices-in-the-given-array-i,535,535,62.1042,SUCCESS,67.0673,Accepted,TRUE
maximize-score-after-n-operations,77,77,93.3329,SUCCESS,46.6661,Accepted,TRUE
minimum-cost-to-change-the-final-value-of-expression,70,70,85.7144,SUCCESS,85.7143,Accepted,TRUE
count-subarrays-with-median-k,45,45,97.268,SUCCESS,54.0986,Accepted,TRUE
maximum-matching-of-players-with-trainers,35,35,83.4394,SUCCESS,82.4201,Accepted,TRUE
sort-the-people,68,68,81.25,SUCCESS,9.4042,Accepted,TRUE
distinct-prime-factors-of-product-of-array,81,81,83.8134,SUCCESS,90.6475,Accepted,TRUE
sum-of-values-at-indices-with-k-set-bits,639,639,86.7621,SUCCESS,50.9838,Accepted,TRUE
unique-3-digit-even-numbers,930,930,95.0211,SUCCESS,81.0127,Accepted,TRUE
most-frequent-ids,623,623,58.2083,SUCCESS,40.2982,Accepted,TRUE
minimum-operations-to-make-median-of-array-equal-to-k,723,723,98.4211,SUCCESS,32.1053,Accepted,TRUE
relocate-marbles,2129,2129,48.3333,SUCCESS,55.8333,Accepted,TRUE
number-of-subarrays-with-gcd-equal-to-k,87,87,61.3206,SUCCESS,37.7358,Accepted,TRUE
house-robber-iv,64,64,77.1829,SUCCESS,94.3117,Accepted,TRUE
count-all-possible-routes,109,109,83.1939,SUCCESS,94.1177,Accepted,TRUE
stamping-the-grid,77,77,93.976,SUCCESS,14.4589,Accepted,TRUE
number-of-flowers-in-full-bloom,53,53,93.2111,SUCCESS,77.0862,Accepted,TRUE
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,50,50,85.294,SUCCESS,14.7056,Accepted,TRUE
number-of-different-subsequences-gcds,39,39,40.9098,SUCCESS,11.3639,Accepted,TRUE
number-of-ways-to-wear-different-hats-to-each-other,65,65,96.3415,SUCCESS,91.4635,Accepted,TRUE
count-pairs-of-points-with-distance-k,1007,1007,76.3156,SUCCESS,71.0525,Accepted,TRUE
minimum-money-required-before-transactions,56,56,98.2456,SUCCESS,78.9473,Accepted,TRUE
get-the-maximum-score,82,82,96.1037,SUCCESS,81.1687,Accepted,TRUE
maximum-xor-with-an-element-from-array,67,67,89.035,SUCCESS,43.8593,Accepted,TRUE
maximum-path-quality-of-a-graph,62,62,85.3742,SUCCESS,32.4112,Accepted,TRUE
shortest-uncommon-substring-in-an-array,631,631,69.779,SUCCESS,69.6703,Accepted,TRUE
count-the-number-of-consistent-strings,74,74,55.9195,SUCCESS,19.1396,Accepted,TRUE
number-of-subarrays-with-lcm-equal-to-k,102,102,92.5621,SUCCESS,71.0743,Accepted,TRUE
delete-greatest-value-in-each-row,55,55,74.5391,SUCCESS,96.3134,Accepted,TRUE
minimum-number-of-operations-to-make-arrays-similar,32,32,98.9474,SUCCESS,67.8948,Accepted,TRUE
delete-duplicate-folders-in-system,108,108,45.3609,SUCCESS,64.9482,Accepted,TRUE
count-ways-to-make-array-with-product,67,67,78.807,SUCCESS,35.0989,Accepted,TRUE
alternating-groups-i,795,795,11.5186,SUCCESS,16.0558,Accepted,TRUE
minimum-number-of-operations-to-make-array-xor-equal-to-k,684,684,72.6457,SUCCESS,93.7219,Accepted,TRUE
minimum-array-length-after-pair-removals,636,636,51.7666,SUCCESS,12.7207,Accepted,TRUE
maximum-number-of-fish-in-a-grid,3842,3842,91.1166,SUCCESS,60.7442,Accepted,TRUE
minimum-deletions-to-make-string-k-special,732,732,87.5,SUCCESS,44.8215,Accepted,TRUE
find-the-number-of-distinct-colors-among-the-balls,551,551,97.8517,SUCCESS,58.9846,Accepted,TRUE
maximum-total-damage-with-spell-casting,554,554,5.0492,SUCCESS,93.0845,Accepted,TRUE
minimum-common-value,41,41,88.176,SUCCESS,75.4354,Accepted,TRUE
number-of-unique-good-subsequences,69,69,95,SUCCESS,65,Accepted,TRUE
number-of-great-partitions,46,46,92.0001,SUCCESS,62.6667,Accepted,TRUE
count-alternating-subarrays,789,789,88.6363,SUCCESS,70.0757,Accepted,TRUE
maximum-or,1215,1215,92.5,SUCCESS,11.25,Accepted,TRUE
minimum-operations-to-make-a-subsequence,82,82,34.9207,SUCCESS,47.6191,Accepted,TRUE
minimum-score-after-removals-on-a-tree,65,65,83.3332,SUCCESS,88.8888,Accepted,TRUE
find-the-distinct-difference-array,4512,4512,98.4848,SUCCESS,90.3031,Accepted,TRUE
collect-coins-in-a-tree,4986,4986,92.7272,SUCCESS,97.2727,Accepted,TRUE
maximum-sum-of-an-hourglass,41,41,95,SUCCESS,51.875,Accepted,TRUE
count-visited-nodes-in-a-directed-graph,941,941,86.7924,SUCCESS,92.4528,Accepted,TRUE
minimum-number-of-coins-to-be-added,628,628,52.1738,SUCCESS,38.2608,Accepted,TRUE
separate-the-digits-in-an-array,52,52,85.4578,SUCCESS,80.6104,Accepted,TRUE
find-the-minimum-area-to-cover-all-ones-i,712,712,93.8928,SUCCESS,25.1908,Accepted,TRUE
convert-1d-array-into-2d-array,107,107,75.5474,SUCCESS,37.348,Accepted,TRUE
maximum-score-from-performing-multiplication-operations,59,59,97.616,SUCCESS,94.8749,Accepted,TRUE
find-subarray-with-bitwise-or-closest-to-k,814,814,93.75,SUCCESS,45.3125,Accepted,TRUE
maximum-score-of-a-node-sequence,75,75,94.0296,SUCCESS,32.8354,Accepted,TRUE
rearrange-array-to-maximize-prefix-score,1071,1071,83.1495,SUCCESS,59.1161,Accepted,TRUE
find-the-number-of-good-pairs-i,783,783,100,SUCCESS,75.0347,Accepted,TRUE
prime-pairs-with-target-sum,554,554,94.0682,SUCCESS,5.509,Accepted,TRUE
count-number-of-possible-root-nodes,51,51,84.9551,SUCCESS,84.9554,Accepted,TRUE
minimum-xor-sum-of-two-arrays,64,64,93.9393,SUCCESS,83.3333,Accepted,TRUE
continuous-subarrays,2139,2139,78.8167,SUCCESS,25.6491,Accepted,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-i,625,625,99.2366,SUCCESS,83.9694,Accepted,TRUE
length-of-the-longest-subsequence-that-sums-to-target,941,941,90.4747,SUCCESS,61.0388,Accepted,TRUE
difference-between-maximum-and-minimum-price-sum,58,58,55.8442,SUCCESS,50.6494,Accepted,TRUE
number-of-ways-to-paint-n-3-grid,50,50,92.5532,SUCCESS,58.085,Accepted,TRUE
restore-the-array,86,86,77.0486,SUCCESS,81.1475,Accepted,TRUE
maximum-number-of-jumps-to-reach-the-last-index,2639,2639,95.9183,SUCCESS,36.0544,Accepted,TRUE
divide-array-into-arrays-with-max-difference,1117,1117,77.523,SUCCESS,23.3946,Accepted,TRUE
largest-local-values-in-a-matrix,50,50,71.7372,SUCCESS,57.2129,Accepted,TRUE
widest-vertical-area-between-two-points-containing-no-points,55,55,82.2804,SUCCESS,9.245,Accepted,TRUE
find-if-path-exists-in-graph,34,34,92.6355,SUCCESS,97.4195,Accepted,TRUE
kth-largest-sum-in-a-binary-tree,51,51,58.8057,SUCCESS,41.6541,Accepted,TRUE
find-the-sum-of-encrypted-integers,865,865,68,SUCCESS,52,Accepted,TRUE
count-number-of-special-subsequences,99,99,96.8254,SUCCESS,36.508,Accepted,TRUE
ant-on-the-boundary,641,641,59.2029,SUCCESS,74.573,Accepted,TRUE
find-the-maximum-sum-of-node-values,718,718,94.9127,SUCCESS,56.0109,Accepted,TRUE
row-with-maximum-ones,1049,1049,80.0001,SUCCESS,40.6123,Accepted,TRUE
find-the-longest-valid-obstacle-course-at-each-position,78,78,68.6272,SUCCESS,27.9411,Accepted,TRUE
maximum-number-of-visible-points,119,119,93.7343,SUCCESS,58.3132,Accepted,TRUE
count-the-number-of-houses-at-a-certain-distance-i,880,880,96.46,SUCCESS,76.1062,Accepted,TRUE
minimum-operations-to-make-array-equal-ii,68,68,77.1739,SUCCESS,75,Accepted,TRUE
maximize-value-of-function-in-a-ball-passing-game,948,948,52.381,SUCCESS,44.4445,Accepted,TRUE
earliest-possible-day-of-full-bloom,185,185,96.4707,SUCCESS,69.4119,Accepted,TRUE
lexicographically-smallest-palindrome,4519,4519,58.0414,SUCCESS,48.951,Accepted,TRUE
rearrange-k-substrings-to-form-target-string,771,771,98.6937,SUCCESS,96.2354,Accepted,TRUE
reschedule-meetings-for-maximum-free-time-i,689,689,89.5271,SUCCESS,30.4054,Accepted,TRUE
number-of-valid-words-in-a-sentence,244,244,37.4205,SUCCESS,97.6744,Accepted,TRUE
maximum-product-difference-between-two-pairs,96,96,54.6207,SUCCESS,59.5971,Accepted,TRUE
replace-non-coprime-numbers-in-array,71,71,63.4921,SUCCESS,15.8731,Accepted,TRUE
decremental-string-concatenation,1332,1332,95.8333,SUCCESS,90.2777,Accepted,TRUE
parallel-courses-iii,42,42,99.6752,SUCCESS,92.776,Accepted,TRUE
make-costs-of-paths-equal-in-a-binary-tree,1565,1565,88.889,SUCCESS,92.5926,Accepted,TRUE
beautiful-towers-ii,785,785,100,SUCCESS,65.7407,Accepted,TRUE
form-largest-integer-with-digits-that-add-up-to-target,96,96,97.8724,SUCCESS,93.6171,Accepted,TRUE
words-within-two-edits-of-dictionary,33,33,80.2721,SUCCESS,40.1361,Accepted,TRUE
minimum-cost-to-make-array-equal,48,48,77.211,SUCCESS,26.8712,Accepted,TRUE
total-appeal-of-a-string,77,77,72.4372,SUCCESS,20.7289,Accepted,TRUE
smallest-number-with-all-set-bits,608,608,100,SUCCESS,75.9791,Accepted,TRUE
stone-removal-game,53,53,100,SUCCESS,81.4229,Accepted,TRUE
minimum-right-shifts-to-sort-the-array,814,814,45.1777,SUCCESS,92.8934,Accepted,TRUE
find-the-number-of-copy-arrays,740,740,54.3691,SUCCESS,21.3593,Accepted,TRUE
shortest-distance-after-road-addition-queries-i,972,972,26.7464,SUCCESS,44.2696,Accepted,TRUE
find-the-maximum-length-of-a-good-subsequence-i,543,543,26.8138,SUCCESS,75.4189,Accepted,TRUE
count-the-number-of-special-characters-ii,896,896,81.866,SUCCESS,47.6683,Accepted,TRUE
replace-question-marks-in-string-to-minimize-its-value,548,548,27.9638,SUCCESS,5.0845,Accepted,TRUE
water-bottles-ii,958,958,16.5048,SUCCESS,23.301,Accepted,TRUE
find-if-array-can-be-sorted,999,999,74.221,SUCCESS,16.9971,Accepted,TRUE
minimum-moves-to-capture-the-queen,744,744,100,SUCCESS,11.7978,Accepted,TRUE
find-longest-special-substring-that-occurs-thrice-i,812,812,47.523,SUCCESS,6.422,Accepted,TRUE
maximum-size-of-a-set-after-removals,969,969,35,SUCCESS,10,Accepted,TRUE
count-subarrays-where-max-element-appears-at-least-k-times,634,634,98.9921,SUCCESS,97.7681,Accepted,TRUE
distribute-candies-among-children-ii,958,958,90.1781,SUCCESS,76.1037,Accepted,TRUE
separate-black-and-white-balls,581,581,43.2072,SUCCESS,96.2138,Accepted,TRUE
minimum-size-subarray-in-infinite-array,535,535,5.4333,SUCCESS,5.9779,Accepted,TRUE
minimum-additions-to-make-valid-string,1523,1523,100,SUCCESS,59.8174,Accepted,TRUE
minimum-cost-of-a-path-with-special-roads,1045,1045,90.8335,SUCCESS,98.3334,Accepted,TRUE
take-k-of-each-character-from-left-and-right,142,142,5.1588,SUCCESS,7.732,Accepted,TRUE
find-the-number-of-subarrays-where-boundary-elements-are-maximum,890,890,81.6485,SUCCESS,81.2735,Accepted,TRUE
find-maximum-non-decreasing-array-length,553,553,11.3645,SUCCESS,50.0002,Accepted,TRUE
count-valid-paths-in-a-tree,922,922,67.5,SUCCESS,20,Accepted,TRUE
maximum-spending-after-buying-items,779,779,51.9075,SUCCESS,51.1448,Accepted,TRUE
maximize-the-minimum-powered-city,30,30,84.0904,SUCCESS,10.2268,Accepted,TRUE
find-the-k-sum-of-an-array,111,111,11.2673,SUCCESS,76.7604,Accepted,TRUE
count-good-triplets-in-an-array,148,148,92.0138,SUCCESS,91.6844,Accepted,TRUE
maximum-fruits-harvested-after-at-most-k-steps,202,202,90.9091,SUCCESS,14.2858,Accepted,TRUE
number-of-valid-move-combinations-on-chessboard,273,273,11.764,SUCCESS,61.7646,Accepted,TRUE
the-earliest-and-latest-rounds-where-players-compete,137,137,38.6366,SUCCESS,20.4547,Accepted,TRUE
maximum-number-of-groups-getting-fresh-donuts,74,74,100,SUCCESS,60.5263,Accepted,TRUE
minimum-cost-to-connect-two-groups-of-points,84,84,97.9167,SUCCESS,93.75,Accepted,TRUE
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,21,21,41.1761,SUCCESS,86.7647,Accepted,TRUE
maximum-total-reward-using-operations-i,586,0,,SUCCESS,,Runtime Error,TRUE
maximum-points-tourist-can-earn,545,2,,SUCCESS,,Runtime Error,TRUE
minimum-operations-to-make-array-elements-zero,646,2,,SUCCESS,,Runtime Error,TRUE
