slug,total_testcases_analysis,total_correct_analysis,runtime_percentile_analysis,state,status_msg_analysis,result_analysis,processed
number-of-unequal-triplets-in-array,104,104,20.493,SUCCESS,17.4864,Accepted,TRUE
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,691,691,78.8239,SUCCESS,65.2941,Accepted,TRUE
frog-jump-ii,34,34,62.6604,SUCCESS,82.8325,Accepted,TRUE
count-submatrices-with-top-left-element-and-sum-less-than-k,859,859,88.957,SUCCESS,39.877,Accepted,TRUE
minimum-increment-operations-to-make-array-beautiful,570,570,76.1905,SUCCESS,84.127,Accepted,TRUE
number-of-beautiful-integers-in-the-range,595,595,59.2102,SUCCESS,44.7369,Accepted,TRUE
count-of-interesting-subarrays,617,617,50.7523,SUCCESS,86.4663,Accepted,TRUE
stone-game-iii,185,185,93.253,SUCCESS,75.4326,Accepted,TRUE
longest-nice-substring,73,73,70.941,SUCCESS,23.9852,Accepted,TRUE
sum-in-a-matrix,1057,1057,92.0001,SUCCESS,12.4448,Accepted,TRUE
cousins-in-binary-tree-ii,41,41,73.171,SUCCESS,97.561,Accepted,TRUE
count-the-number-of-arrays-with-k-matching-adjacent-elements,809,809,47.0527,SUCCESS,18.0068,Accepted,TRUE
largest-element-in-an-array-after-merge-operations,1023,1023,95.4838,SUCCESS,47.7418,Accepted,TRUE
maximum-prime-difference,904,904,58.9481,SUCCESS,72.1053,Accepted,TRUE
kth-distinct-string-in-an-array,66,66,71.0307,SUCCESS,69.545,Accepted,TRUE
latest-time-you-can-obtain-after-replacing-characters,908,908,99.1416,SUCCESS,49.7853,Accepted,TRUE
maximum-number-of-alloys,731,723,,SUCCESS,,Wrong Answer,TRUE
largest-3-same-digit-number-in-string,141,141,100,SUCCESS,86.2124,Accepted,TRUE
car-fleet-ii,85,85,79.6051,SUCCESS,18.421,Accepted,TRUE
count-common-words-with-one-occurrence,61,61,72.4234,SUCCESS,69.9163,Accepted,TRUE
minimum-time-to-repair-cars,1072,1072,82.9341,SUCCESS,83.913,Accepted,TRUE
minimum-cost-to-make-all-characters-equal,1574,1574,80.2467,SUCCESS,74.074,Accepted,TRUE
robot-collisions,2433,2433,58.7091,SUCCESS,47.741,Accepted,TRUE
generate-binary-strings-without-adjacent-zeros,20,20,68.8051,SUCCESS,81.8868,Accepted,TRUE
design-spreadsheet,658,658,75.3221,SUCCESS,75.3224,Accepted,TRUE
allocate-mailboxes,69,1,,SUCCESS,,Wrong Answer,TRUE
remove-nodes-from-linked-list,32,32,93.5159,SUCCESS,74.8438,Accepted,TRUE
count-number-of-distinct-integers-after-reverse-operations,44,44,31.1806,SUCCESS,66.1471,Accepted,TRUE
find-longest-awesome-substring,153,153,18.75,SUCCESS,73.75,Accepted,TRUE
find-the-score-of-all-prefixes-of-an-array,43,43,96.7592,SUCCESS,42.1295,Accepted,TRUE
maximum-elegance-of-a-k-length-subsequence,2729,2729,66.6662,SUCCESS,35.7142,Accepted,TRUE
report-spam-message,526,526,70.9762,SUCCESS,72.5591,Accepted,TRUE
minimum-operations-to-make-all-array-elements-equal,31,31,58.1826,SUCCESS,53.6366,Accepted,TRUE
maximum-beauty-of-an-array-after-applying-operation,622,622,93.3623,SUCCESS,57.8158,Accepted,TRUE
maximum-star-sum-of-a-graph,25,25,90.6432,SUCCESS,54.3856,Accepted,TRUE
design-neighbor-sum-service,652,652,95.2553,SUCCESS,88.6861,Accepted,TRUE
count-pairs-that-form-a-complete-day-i,667,667,85.9575,SUCCESS,52.766,Accepted,TRUE
longest-substring-of-one-repeating-character,57,57,73.4375,SUCCESS,56.25,Accepted,TRUE
count-ways-to-build-good-strings,36,36,87.1344,SUCCESS,57.8944,Accepted,TRUE
find-all-people-with-secret,56,56,56.3299,SUCCESS,48.7349,Accepted,TRUE
remove-trailing-zeros-from-a-string,756,756,68.2156,SUCCESS,54.6468,Accepted,TRUE
maximum-square-area-by-removing-fences-from-a-field,648,648,70.643,SUCCESS,14.6794,Accepted,TRUE
shortest-string-that-contains-three-strings,5324,5324,78.4814,SUCCESS,88.6076,Accepted,TRUE
number-of-adjacent-elements-with-the-same-color,183,183,95.6989,SUCCESS,61.8279,Accepted,TRUE
sum-of-distances,1068,1068,98.2379,SUCCESS,50.2205,Accepted,TRUE
right-triangles,637,637,64.3272,SUCCESS,28.0701,Accepted,TRUE
smallest-subarrays-with-maximum-bitwise-or,59,59,32.9524,SUCCESS,86.3636,Accepted,TRUE
find-valid-pair-of-adjacent-digits-in-string,826,826,77.6614,SUCCESS,21.466,Accepted,TRUE
first-completely-painted-row-or-column,1058,1058,59.2789,SUCCESS,71.3062,Accepted,TRUE
minimum-score-of-a-path-between-two-cities,43,43,83.5155,SUCCESS,79.6693,Accepted,TRUE
minimum-operations-to-make-columns-strictly-increasing,722,722,94.2761,SUCCESS,96.633,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-i,706,706,75.657,SUCCESS,70.0525,Accepted,TRUE
number-of-ways-to-reconstruct-a-tree,81,81,91.4286,SUCCESS,54.2858,Accepted,TRUE
building-boxes,86,86,100,SUCCESS,53.2258,Accepted,TRUE
taking-maximum-energy-from-the-mystic-dungeon,533,533,80.158,SUCCESS,65.0791,Accepted,TRUE
minimum-total-cost-to-make-arrays-unequal,104,104,80.2324,SUCCESS,61.6278,Accepted,TRUE
maximize-win-from-two-segments,72,72,71,SUCCESS,74,Accepted,TRUE
naming-a-company,89,89,89.9224,SUCCESS,41.8602,Accepted,TRUE
paths-in-matrix-whose-sum-is-divisible-by-k,88,12,,SUCCESS,,Wrong Answer,TRUE
minimum-time-to-finish-the-race,58,0,,SUCCESS,,Wrong Answer,TRUE
design-a-text-editor,45,45,94.9496,SUCCESS,33.3328,Accepted,TRUE
number-of-ways-to-reorder-array-to-get-same-bst,161,161,98.4127,SUCCESS,38.0948,Accepted,TRUE
number-of-ways-to-divide-a-long-corridor,248,248,75.6757,SUCCESS,24.9998,Accepted,TRUE
find-longest-special-substring-that-occurs-thrice-ii,906,30,,SUCCESS,,Wrong Answer,TRUE
subarrays-distinct-element-sum-of-squares-i,707,707,98.4064,SUCCESS,21.1155,Accepted,TRUE
maximize-palindrome-length-from-subsequences,109,109,93.9392,SUCCESS,53.0301,Accepted,TRUE
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,72,72,70.6671,SUCCESS,30.6669,Accepted,TRUE
find-common-elements-between-two-arrays,1208,1208,60.4755,SUCCESS,81.5401,Accepted,TRUE
sum-of-matrix-after-queries,2688,2688,98.8636,SUCCESS,73.8636,Accepted,TRUE
find-a-value-of-a-mysterious-function-closest-to-target,43,43,86.2744,SUCCESS,66.6667,Accepted,TRUE
neither-minimum-nor-maximum,9558,9558,68.218,SUCCESS,53.235,Accepted,TRUE
minimum-processing-time,716,716,54.9591,SUCCESS,71.901,Accepted,TRUE
sum-of-digit-differences-of-all-pairs,643,643,46.7638,SUCCESS,28.0577,Accepted,TRUE
longest-path-with-different-adjacent-characters,142,142,97.7428,SUCCESS,82.1677,Accepted,TRUE
maximum-number-of-events-that-can-be-attended-ii,70,70,34.5137,SUCCESS,81.3696,Accepted,TRUE
count-vowel-strings-in-ranges,94,94,94.947,SUCCESS,32.6812,Accepted,TRUE
find-occurrences-of-an-element-in-an-array,527,527,60.1515,SUCCESS,43.6366,Accepted,TRUE
maximum-genetic-difference-query,59,59,80,SUCCESS,95,Accepted,TRUE
stone-game-iv,72,72,85.294,SUCCESS,60.2942,Accepted,TRUE
separate-squares-ii,763,763,86.4579,SUCCESS,97.9167,Accepted,TRUE
delete-nodes-from-linked-list-present-in-array,582,582,91.4081,SUCCESS,98.0907,Accepted,TRUE
max-pair-sum-in-an-array,3008,3008,90.625,SUCCESS,85.625,Accepted,TRUE
length-of-the-longest-alphabetical-continuous-substring,123,123,74.0724,SUCCESS,71.164,Accepted,TRUE
optimal-partition-of-string,62,62,32.5888,SUCCESS,36.8072,Accepted,TRUE
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,50,50,94.1607,SUCCESS,95.6204,Accepted,TRUE
redistribute-characters-to-make-all-strings-equal,179,179,74.6865,SUCCESS,61.7155,Accepted,TRUE
minimum-operations-to-form-subsequence-with-target-sum,754,731,,SUCCESS,,Wrong Answer,TRUE
number-of-subarrays-that-match-a-pattern-i,792,792,82.2356,SUCCESS,19.1617,Accepted,TRUE
points-that-intersect-with-cars,807,807,83.7712,SUCCESS,23.6475,Accepted,TRUE
count-the-number-of-beautiful-subarrays,114,114,52.3802,SUCCESS,66.6665,Accepted,TRUE
cherry-pickup-ii,59,59,91.2649,SUCCESS,89.114,Accepted,TRUE
make-string-a-subsequence-using-cyclic-increments,1128,1128,61.1401,SUCCESS,17.6167,Accepted,TRUE
find-the-k-or-of-an-array,951,951,60.5266,SUCCESS,24.7369,Accepted,TRUE
the-number-of-good-subsets,92,92,83.6069,SUCCESS,77.0492,Accepted,TRUE
minimum-replacements-to-sort-the-array,47,47,91.4286,SUCCESS,62.1428,Accepted,TRUE
minimum-operations-to-make-the-array-increasing,94,94,87.4505,SUCCESS,9.9075,Accepted,TRUE
number-of-beautiful-pairs,3005,3005,80.1238,SUCCESS,87.2671,Accepted,TRUE
longest-cycle-in-a-graph,81,81,97.5712,SUCCESS,91.832,Accepted,TRUE
maximum-number-of-balls-in-a-box,97,97,17.1567,SUCCESS,87.0293,Accepted,TRUE
maximum-number-of-points-from-grid-queries,22,22,85.8061,SUCCESS,60.3222,Accepted,TRUE
apply-operations-to-maximize-score,870,870,85.294,SUCCESS,71.3233,Accepted,TRUE
number-of-pairs-satisfying-inequality,61,61,65.4409,SUCCESS,84.5588,Accepted,TRUE
ways-to-express-an-integer-as-sum-of-powers,1502,1502,82.8,SUCCESS,62.8,Accepted,TRUE
find-the-value-of-the-partition,806,806,100,SUCCESS,61.0619,Accepted,TRUE
distribute-candies-among-children-i,827,827,75.5556,SUCCESS,41.0184,Accepted,TRUE
find-the-prefix-common-array-of-two-arrays,1773,1773,76.2811,SUCCESS,65.4466,Accepted,TRUE
minimum-cost-to-split-an-array,59,59,91.7651,SUCCESS,33.5295,Accepted,TRUE
smallest-k-length-subsequence-with-occurrences-of-a-letter,152,152,86.2744,SUCCESS,64.7059,Accepted,TRUE
closest-subsequence-sum,74,74,93.4886,SUCCESS,40.466,Accepted,TRUE
minimum-white-tiles-after-covering-with-carpets,2706,2542,,SUCCESS,,Wrong Answer,TRUE
take-gifts-from-the-richest-pile,103,103,82.5921,SUCCESS,53.6214,Accepted,TRUE
minimum-cost-walk-in-weighted-graph,549,549,91.6077,SUCCESS,40.2093,Accepted,TRUE
partition-string-into-substrings-with-values-at-most-k,56,56,74.336,SUCCESS,37.1682,Accepted,TRUE
apply-operations-to-make-all-array-elements-equal-to-zero,1029,1029,93.6843,SUCCESS,44.2106,Accepted,TRUE
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,66,25,,SUCCESS,,Wrong Answer,TRUE
count-pairs-of-nodes,63,63,46.1532,SUCCESS,80.7691,Accepted,TRUE
find-beautiful-indices-in-the-given-array-i,535,535,60.625,SUCCESS,37.5,Accepted,TRUE
maximize-score-after-n-operations,77,34,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-change-the-final-value-of-expression,70,70,84,SUCCESS,96,Accepted,TRUE
count-subarrays-with-median-k,45,45,93.9191,SUCCESS,50,Accepted,TRUE
rearranging-fruits,40,40,86.3945,SUCCESS,46.9388,Accepted,TRUE
maximum-matching-of-players-with-trainers,35,35,22.6354,SUCCESS,59.0303,Accepted,TRUE
sort-the-people,68,68,80.0758,SUCCESS,9.6372,Accepted,TRUE
distinct-prime-factors-of-product-of-array,81,81,75.7697,SUCCESS,76.1539,Accepted,TRUE
unique-3-digit-even-numbers,930,930,95.8384,SUCCESS,19.951,Accepted,TRUE
minimum-operations-to-make-median-of-array-equal-to-k,723,723,100,SUCCESS,39.286,Accepted,TRUE
number-of-distinct-roll-sequences,64,64,91,SUCCESS,98,Accepted,TRUE
relocate-marbles,2129,2129,45.2631,SUCCESS,86.3159,Accepted,TRUE
number-of-subarrays-with-gcd-equal-to-k,87,87,78.613,SUCCESS,16.763,Accepted,TRUE
house-robber-iv,64,64,87.525,SUCCESS,40.7186,Accepted,TRUE
count-all-possible-routes,109,44,,SUCCESS,,Wrong Answer,TRUE
stamping-the-grid,77,77,96.6102,SUCCESS,18.6446,Accepted,TRUE
number-of-flowers-in-full-bloom,53,53,84.8941,SUCCESS,77.3415,Accepted,TRUE
number-of-ways-of-cutting-a-pizza,54,16,,SUCCESS,,Wrong Answer,TRUE
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,50,21,,SUCCESS,,Wrong Answer,TRUE
number-of-different-subsequences-gcds,39,39,77.272,SUCCESS,6.0597,Accepted,TRUE
number-of-ways-to-wear-different-hats-to-each-other,65,65,96.9388,SUCCESS,86.7348,Accepted,TRUE
count-pairs-of-points-with-distance-k,1007,1007,85.7144,SUCCESS,79.5918,Accepted,TRUE
minimum-money-required-before-transactions,56,56,97.1428,SUCCESS,100,Accepted,TRUE
get-the-maximum-score,82,82,66.4976,SUCCESS,68.0203,Accepted,TRUE
maximum-xor-with-an-element-from-array,67,67,92.7761,SUCCESS,39.1644,Accepted,TRUE
minimum-operations-to-maximize-last-elements-in-arrays,702,465,,SUCCESS,,Wrong Answer,TRUE
maximum-path-quality-of-a-graph,62,62,86.6386,SUCCESS,24.2916,Accepted,TRUE
shortest-uncommon-substring-in-an-array,631,631,65.7899,SUCCESS,74.7369,Accepted,TRUE
maximum-total-reward-using-operations-i,586,586,88.3108,SUCCESS,74.0259,Accepted,TRUE
count-the-number-of-consistent-strings,74,74,52.6815,SUCCESS,20.2482,Accepted,TRUE
fancy-sequence,107,107,94.7368,SUCCESS,52.6313,Accepted,TRUE
number-of-subarrays-with-lcm-equal-to-k,102,102,90.6045,SUCCESS,86.5772,Accepted,TRUE
delete-greatest-value-in-each-row,55,55,90.3141,SUCCESS,34.555,Accepted,TRUE
minimum-number-of-operations-to-make-arrays-similar,32,32,59.0247,SUCCESS,80.4879,Accepted,TRUE
delete-duplicate-folders-in-system,108,108,97.2222,SUCCESS,65.2775,Accepted,TRUE
count-ways-to-make-array-with-product,67,67,77.0264,SUCCESS,41.8916,Accepted,TRUE
alternating-groups-i,795,795,79.4378,SUCCESS,51.3181,Accepted,TRUE
minimum-number-of-operations-to-make-array-xor-equal-to-k,684,684,68.4784,SUCCESS,98.5508,Accepted,TRUE
minimum-array-length-after-pair-removals,636,636,23.1943,SUCCESS,30.038,Accepted,TRUE
maximum-number-of-fish-in-a-grid,3842,3842,88.081,SUCCESS,94.4444,Accepted,TRUE
minimum-deletions-to-make-string-k-special,732,732,19.8234,SUCCESS,88.7766,Accepted,TRUE
find-the-number-of-distinct-colors-among-the-balls,551,551,99.0087,SUCCESS,24.788,Accepted,TRUE
maximum-total-damage-with-spell-casting,554,554,5,SUCCESS,85.3125,Accepted,TRUE
frequency-tracker,1118,1118,98.0519,SUCCESS,59.0906,Accepted,TRUE
minimum-common-value,41,41,88.5013,SUCCESS,52.5884,Accepted,TRUE
design-task-manager,663,663,40.2117,SUCCESS,7.4075,Accepted,TRUE
number-of-unique-good-subsequences,69,69,79.4116,SUCCESS,92.1569,Accepted,TRUE
number-of-great-partitions,46,46,85.9874,SUCCESS,62.4203,Accepted,TRUE
count-alternating-subarrays,789,789,79.7417,SUCCESS,69.3966,Accepted,TRUE
maximum-or,1215,1215,89.7058,SUCCESS,37.4998,Accepted,TRUE
minimum-operations-to-make-a-subsequence,82,82,30.7693,SUCCESS,16.4836,Accepted,TRUE
minimum-score-after-removals-on-a-tree,65,65,97.1429,SUCCESS,94.2857,Accepted,TRUE
find-the-distinct-difference-array,4512,4512,42.6569,SUCCESS,66.7832,Accepted,TRUE
collect-coins-in-a-tree,4986,4986,87.2215,SUCCESS,97.7778,Accepted,TRUE
maximum-sum-of-an-hourglass,41,41,73.5931,SUCCESS,49.3507,Accepted,TRUE
count-visited-nodes-in-a-directed-graph,941,941,91.045,SUCCESS,86.5673,Accepted,TRUE
maximum-points-inside-the-square,576,576,87.4076,SUCCESS,96.2964,Accepted,TRUE
minimum-number-of-coins-to-be-added,628,628,92.9078,SUCCESS,80.8511,Accepted,TRUE
separate-the-digits-in-an-array,52,52,27.0317,SUCCESS,99.4699,Accepted,TRUE
find-the-minimum-area-to-cover-all-ones-i,712,712,74.684,SUCCESS,49.3672,Accepted,TRUE
convert-1d-array-into-2d-array,107,107,62.896,SUCCESS,43.4389,Accepted,TRUE
maximum-multiplication-score,675,675,100,SUCCESS,47.2222,Accepted,TRUE
maximum-score-from-performing-multiplication-operations,59,59,97.6564,SUCCESS,96.4844,Accepted,TRUE
find-subarray-with-bitwise-or-closest-to-k,814,814,84.7827,SUCCESS,82.6087,Accepted,TRUE
maximum-score-of-a-node-sequence,75,75,95.2756,SUCCESS,71.6536,Accepted,TRUE
rearrange-array-to-maximize-prefix-score,1071,1071,67.4665,SUCCESS,98.9333,Accepted,TRUE
find-the-number-of-good-pairs-i,783,783,87.9949,SUCCESS,78.6718,Accepted,TRUE
prime-pairs-with-target-sum,554,554,89.819,SUCCESS,8.0005,Accepted,TRUE
count-number-of-possible-root-nodes,51,51,79.7617,SUCCESS,85.714,Accepted,TRUE
minimum-xor-sum-of-two-arrays,64,64,82.4426,SUCCESS,77.0992,Accepted,TRUE
continuous-subarrays,2139,2139,82.9921,SUCCESS,29.1337,Accepted,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-i,625,625,92.126,SUCCESS,24.4094,Accepted,TRUE
length-of-the-longest-subsequence-that-sums-to-target,941,941,95.9397,SUCCESS,88.8888,Accepted,TRUE
difference-between-maximum-and-minimum-price-sum,58,58,71.1114,SUCCESS,63.3334,Accepted,TRUE
number-of-ways-to-paint-n-3-grid,50,50,74.0195,SUCCESS,73.0392,Accepted,TRUE
restore-the-array,86,86,84.0702,SUCCESS,62.8317,Accepted,TRUE
maximum-number-of-jumps-to-reach-the-last-index,2639,2639,93.6508,SUCCESS,87.3016,Accepted,TRUE
divide-array-into-arrays-with-max-difference,1117,1117,95.8421,SUCCESS,74.4493,Accepted,TRUE
largest-local-values-in-a-matrix,50,50,68.1565,SUCCESS,57.7814,Accepted,TRUE
widest-vertical-area-between-two-points-containing-no-points,55,55,66.0798,SUCCESS,10.7981,Accepted,TRUE
minimum-absolute-difference-between-elements-with-constraint,2013,2013,92.088,SUCCESS,75.9494,Accepted,TRUE
disconnect-path-in-a-binary-matrix-by-at-most-one-flip,55,55,100,SUCCESS,62.745,Accepted,TRUE
find-if-path-exists-in-graph,34,34,94.9563,SUCCESS,96.421,Accepted,TRUE
kth-largest-sum-in-a-binary-tree,51,51,73.3336,SUCCESS,24.2277,Accepted,TRUE
find-the-sum-of-encrypted-integers,865,865,66.0274,SUCCESS,77.2602,Accepted,TRUE
properties-graph,668,668,5.0256,SUCCESS,11.4155,Accepted,TRUE
count-number-of-special-subsequences,99,99,76.1195,SUCCESS,41.7911,Accepted,TRUE
ant-on-the-boundary,641,641,44.7986,SUCCESS,6.7114,Accepted,TRUE
maximum-points-tourist-can-earn,545,2,,SUCCESS,,Runtime Error,TRUE
find-the-maximum-sum-of-node-values,718,718,61.6477,SUCCESS,62.78,Accepted,TRUE
row-with-maximum-ones,1049,1049,75.8444,SUCCESS,22.3133,Accepted,TRUE
find-the-longest-valid-obstacle-course-at-each-position,78,78,83.3332,SUCCESS,63.5659,Accepted,TRUE
count-integers-in-intervals,73,73,99.0196,SUCCESS,78.4314,Accepted,TRUE
maximum-number-of-visible-points,119,119,95.1034,SUCCESS,82.4743,Accepted,TRUE
count-the-number-of-houses-at-a-certain-distance-i,880,880,89.7262,SUCCESS,96.5754,Accepted,TRUE
minimum-operations-to-make-array-equal-ii,68,68,83.5052,SUCCESS,76.2886,Accepted,TRUE
minimum-number-of-groups-to-create-a-valid-assignment,631,631,93.3334,SUCCESS,14.4445,Accepted,TRUE
maximize-value-of-function-in-a-ball-passing-game,948,948,62,SUCCESS,56,Accepted,TRUE
earliest-possible-day-of-full-bloom,185,185,98.6548,SUCCESS,61.8834,Accepted,TRUE
lexicographically-smallest-palindrome,4519,4519,37.5001,SUCCESS,47.7941,Accepted,TRUE
rearrange-k-substrings-to-form-target-string,771,771,56.7568,SUCCESS,54.0541,Accepted,TRUE
reschedule-meetings-for-maximum-free-time-i,689,689,96.4632,SUCCESS,45.6538,Accepted,TRUE
number-of-valid-words-in-a-sentence,244,244,39.9316,SUCCESS,84.3003,Accepted,TRUE
maximum-product-difference-between-two-pairs,96,96,91.1196,SUCCESS,59.363,Accepted,TRUE
replace-non-coprime-numbers-in-array,71,71,83.146,SUCCESS,28.0898,Accepted,TRUE
decremental-string-concatenation,1332,1332,98.7013,SUCCESS,75.3247,Accepted,TRUE
parallel-courses-iii,42,42,97.2438,SUCCESS,90.6495,Accepted,TRUE
make-costs-of-paths-equal-in-a-binary-tree,1565,1565,82.6084,SUCCESS,92.7536,Accepted,TRUE
beautiful-towers-ii,785,785,96.61,SUCCESS,62.7114,Accepted,TRUE
form-largest-integer-with-digits-that-add-up-to-target,96,96,96.5909,SUCCESS,89.7727,Accepted,TRUE
words-within-two-edits-of-dictionary,33,33,26.11,SUCCESS,38.3333,Accepted,TRUE
minimum-cost-to-make-array-equal,48,47,,SUCCESS,,Wrong Answer,TRUE
total-appeal-of-a-string,77,77,66.8536,SUCCESS,67.0412,Accepted,TRUE
longest-common-suffix-queries,817,751,,SUCCESS,,Memory Limit Exceeded,TRUE
number-of-strings-which-can-be-rearranged-to-contain-substring,264,264,38.5962,SUCCESS,36.8421,Accepted,TRUE
count-collisions-of-monkeys-on-a-polygon,83,83,100,SUCCESS,85.2112,Accepted,TRUE
maximum-area-rectangle-with-point-constraints-ii,593,580,,SUCCESS,,Wrong Answer,TRUE
greatest-common-divisor-traversal,929,0,,SUCCESS,,Runtime Error,TRUE
power-of-heroes,2584,2584,28.7128,SUCCESS,97.0297,Accepted,TRUE
maximum-segment-sum-after-removals,42,0,,SUCCESS,,Wrong Answer,TRUE
abbreviating-the-product-of-a-range,292,3,,SUCCESS,,Runtime Error,TRUE
sum-of-k-mirror-numbers,97,97,9.6273,SUCCESS,54.6203,Accepted,TRUE
minimum-number-of-days-to-eat-n-oranges,176,176,90.3448,SUCCESS,51.0344,Accepted,TRUE
separate-squares-i,915,564,,SUCCESS,,Time Limit Exceeded,TRUE
count-special-subsequences,557,542,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-splits-in-an-array,583,576,,SUCCESS,,Time Limit Exceeded,TRUE
find-mirror-score-of-a-string,581,572,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-the-number-of-target-nodes-after-connecting-trees-i,817,810,,SUCCESS,,Time Limit Exceeded,TRUE
construct-the-minimum-bitwise-array-ii,776,6,,SUCCESS,,Wrong Answer,TRUE
find-subtree-sizes-after-changes,632,630,,SUCCESS,,Memory Limit Exceeded,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-ii,768,728,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-with-k-frequency-characters-i,571,571,5.82,SUCCESS,87.6364,Accepted,TRUE
k-th-nearest-obstacle-queries,591,590,,SUCCESS,,Time Limit Exceeded,TRUE
alternating-groups-ii,625,531,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-substrings-with-dominant-ones,881,855,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-number-of-good-pairs-ii,687,687,55.8442,SUCCESS,7.7923,Accepted,TRUE
find-all-possible-stable-binary-arrays-i,670,633,,SUCCESS,,Memory Limit Exceeded,TRUE
shortest-subarray-with-or-at-least-k-ii,718,714,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-grid-of-region-average,810,792,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-good-subarray-sum,782,780,,SUCCESS,,Time Limit Exceeded,TRUE
count-zero-request-servers,3129,3129,27.2639,SUCCESS,5.0418,Accepted,TRUE
increment-submatrices-by-one,31,17,,SUCCESS,,Time Limit Exceeded,TRUE
count-beautiful-numbers,554,532,,SUCCESS,,Time Limit Exceeded,TRUE
longest-common-prefix-of-k-strings-after-removal,667,633,,SUCCESS,,Time Limit Exceeded,TRUE
permutations-iv,999,235,,SUCCESS,,Time Limit Exceeded,TRUE
subsequences-with-a-unique-middle-mode-i,947,751,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-divisible-by-last-digit,699,683,,SUCCESS,,Time Limit Exceeded,TRUE
maximize-subarray-sum-after-removing-all-occurrences-of-one-element,660,649,,SUCCESS,,Time Limit Exceeded,TRUE
count-number-of-balanced-permutations,792,467,,SUCCESS,,Time Limit Exceeded,TRUE
count-k-reducible-numbers-less-than-n,774,330,,SUCCESS,,Time Limit Exceeded,TRUE
find-x-sum-of-all-k-long-subarrays-ii,784,776,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-occurrence-of-first-almost-equal-substring,778,770,,SUCCESS,,Time Limit Exceeded,TRUE
final-array-state-after-k-multiplication-operations-ii,695,503,,SUCCESS,,Time Limit Exceeded,TRUE
find-the-largest-palindrome-divisible-by-k,632,133,,SUCCESS,,Time Limit Exceeded,TRUE
count-substrings-that-satisfy-k-constraint-ii,627,154,,SUCCESS,,Wrong Answer,TRUE
time-taken-to-mark-all-nodes,804,419,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-with-and-value-of-k,902,893,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-total-reward-using-operations-ii,583,572,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-sum-of-subsequence-with-non-adjacent-elements,527,517,,SUCCESS,,Time Limit Exceeded,TRUE
minimize-manhattan-distances,537,537,39.2152,SUCCESS,31.3725,Accepted,TRUE
minimum-moves-to-pick-k-ones,825,821,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-houses-at-a-certain-distance-ii,549,506,,SUCCESS,,Time Limit Exceeded,TRUE
count-prefix-and-suffix-pairs-ii,597,591,,SUCCESS,,Time Limit Exceeded,TRUE
find-beautiful-indices-in-the-given-array-ii,238,231,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-time-to-revert-word-to-initial-state-ii,911,898,,SUCCESS,,Time Limit Exceeded,TRUE
find-number-of-coins-to-place-in-tree-nodes,614,612,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-strong-pair-xor-ii,349,237,,SUCCESS,,Time Limit Exceeded,TRUE
subarrays-distinct-element-sum-of-squares-ii,542,537,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-edge-weight-equilibrium-queries-in-a-tree,733,727,,SUCCESS,,Time Limit Exceeded,TRUE
find-a-good-subset-of-the-matrix,685,682,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-reverse-operations,711,697,,SUCCESS,,Time Limit Exceeded,TRUE
handling-sum-queries-after-update,77,73,,SUCCESS,,Time Limit Exceeded,TRUE
groups-of-strings,97,95,,SUCCESS,,Time Limit Exceeded,TRUE
kth-smallest-product-of-two-sorted-arrays,112,97,,SUCCESS,,Time Limit Exceeded,TRUE
find-servers-that-handled-most-number-of-requests,108,100,,SUCCESS,,Time Limit Exceeded,TRUE
stone-game-v,132,128,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-unique-subarray-sum-after-deletion,927,312,,SUCCESS,,Wrong Answer,TRUE
sum-of-variable-length-subarrays,773,176,,SUCCESS,,Wrong Answer,TRUE
zigzag-grid-traversal-with-skip,840,10,,SUCCESS,,Wrong Answer,TRUE
substring-matching-pattern,969,866,,SUCCESS,,Wrong Answer,TRUE
smallest-number-with-all-set-bits,608,608,19.8966,SUCCESS,31.2661,Accepted,TRUE
stone-removal-game,53,35,,SUCCESS,,Wrong Answer,TRUE
