slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y
maximum-matching-of-players-with-trainers,22.6354,Accepted,35,35,53.0748,SUCCESS,62.8342,Accepted,TRUE,Medium,Medium
check-balanced-string,100,Accepted,868,868,53.125,SUCCESS,38.9706,Accepted,TRUE,Easy,Easy
most-frequent-even-element,38.31,Accepted,219,219,53.2481,SUCCESS,94.9803,Accepted,TRUE,Easy,Easy
decode-the-message,70.2634,Accepted,69,69,53.3108,SUCCESS,46.2649,Accepted,TRUE,Easy,Easy
cousins-in-binary-tree-ii,73.171,Accepted,41,41,53.4441,SUCCESS,93.3491,Accepted,TRUE,Medium,Medium
minimum-cost-for-cutting-cake-i,100,Accepted,533,533,53.6082,SUCCESS,59.7938,Accepted,TRUE,Medium,Medium
collecting-chocolates,19.9981,Accepted,2564,2564,53.6224,SUCCESS,98.5507,Accepted,TRUE,Medium,Medium
check-if-strings-can-be-made-equal-with-operations-ii,63.21,Accepted,752,752,53.763,SUCCESS,5.3762,Accepted,TRUE,Medium,Medium
count-the-number-of-beautiful-subarrays,52.3802,Accepted,114,114,53.7639,SUCCESS,36.5592,Accepted,TRUE,Medium,Medium
maximum-energy-boost-from-two-drinks,43.3819,Accepted,563,563,53.7915,SUCCESS,61.3789,Accepted,TRUE,Medium,Medium
visit-array-positions-to-maximize-score,59.0898,Accepted,744,744,53.7983,SUCCESS,98.1013,Accepted,TRUE,Medium,Medium
the-number-of-good-subsets,83.6069,Accepted,92,92,53.8457,SUCCESS,69.2307,Accepted,TRUE,Hard,Hard
find-champion-ii,76.6094,Accepted,758,758,54.1174,SUCCESS,33.476,Accepted,TRUE,Medium,Medium
most-frequent-ids,64.77,Accepted,623,623,54.3308,SUCCESS,53.5434,Accepted,TRUE,Medium,Medium
reward-top-k-students,54.6219,Accepted,30,30,54.4247,SUCCESS,68.1417,Accepted,TRUE,Medium,Medium
count-subarrays-with-score-less-than-k,81.3282,Accepted,167,167,54.8388,SUCCESS,89.2298,Accepted,TRUE,Hard,Hard
maximize-value-of-function-in-a-ball-passing-game,62,Accepted,948,948,55.0717,SUCCESS,46.3761,Accepted,TRUE,Hard,Hard
maximum-number-of-groups-with-increasing-length,63.4781,Accepted,2027,2027,55.6914,SUCCESS,94.309,Accepted,TRUE,Hard,Hard
maximum-sum-of-almost-unique-subarray,46.114,Accepted,767,767,55.8727,SUCCESS,53.6508,Accepted,TRUE,Medium,Medium
find-the-pivot-integer,100,Accepted,428,428,55.9171,SUCCESS,39.7435,Accepted,TRUE,Easy,Easy
find-the-sum-of-the-power-of-all-subsequences,42.6964,Accepted,,,56.41,,58.97,Accepted,TRUE,Hard,Hard
merge-strings-alternately,43.8002,Accepted,108,108,56.4418,SUCCESS,73.853,Accepted,TRUE,Easy,Easy
maximum-score-of-a-good-subarray,90.5674,Accepted,73,73,56.5963,SUCCESS,47.5072,Accepted,TRUE,Hard,Hard
minimum-difference-in-sums-after-removal-of-elements,46.1088,Accepted,110,110,56.9589,SUCCESS,77.5315,Accepted,TRUE,Hard,Hard
find-the-k-th-character-in-string-game-i,62.37,Accepted,502,502,57.1428,SUCCESS,16.7666,Accepted,TRUE,Easy,Easy
minimum-array-length-after-pair-removals,23.1943,Accepted,636,636,57.506,SUCCESS,90.0762,Accepted,TRUE,Medium,Medium
split-array-into-maximum-number-of-subarrays,66.102,Accepted,887,887,57.692,SUCCESS,78.2051,Accepted,TRUE,Medium,Medium
maximum-subarray-with-equal-products,,Wrong Answer,865,865,57.8803,SUCCESS,54.3478,Accepted,TRUE,Easy,Easy
minimum-operations-to-make-the-array-k-increasing,37.3339,Accepted,90,90,57.9704,SUCCESS,20.2895,Accepted,TRUE,Hard,Hard
count-anagrams,93.4108,Accepted,41,41,58.0187,SUCCESS,51.415,Accepted,TRUE,Hard,Hard
special-array-ii,91.4754,Accepted,536,536,58.2397,SUCCESS,80.8988,Accepted,TRUE,Medium,Medium
sum-of-number-and-its-reverse,58.921,Accepted,258,258,58.5118,SUCCESS,79.2554,Accepted,TRUE,Medium,Medium
minimum-positive-sum-subarray,97.92,Accepted,889,889,58.9087,SUCCESS,62.8062,Accepted,TRUE,Easy,Easy
design-neighbor-sum-service,95.2553,Accepted,652,652,58.9597,SUCCESS,37.2833,Accepted,TRUE,Easy,Easy
minimum-time-to-visit-a-cell-in-a-grid,,Wrong Answer,,,59.01,,52.87,Accepted,TRUE,Hard,Hard
string-compression-iii,,Wrong Answer,744,744,59.142,SUCCESS,39.9996,Accepted,TRUE,Medium,Medium
beautiful-towers-i,57.6081,Accepted,785,785,59.391,SUCCESS,64.9747,Accepted,TRUE,Medium,Medium
manhattan-distances-of-all-arrangements-of-pieces,65.625,Accepted,919,919,59.615,SUCCESS,26.9227,Accepted,TRUE,Hard,Hard
find-the-substring-with-maximum-cost,70.8995,Accepted,1054,1054,59.6342,SUCCESS,86.6973,Accepted,TRUE,Medium,Medium
design-task-manager,40.2117,Accepted,663,663,59.9077,SUCCESS,86.0349,Accepted,TRUE,Medium,Medium
ways-to-split-array-into-good-subarrays,84.4153,Accepted,553,553,59.9996,SUCCESS,20.6448,Accepted,TRUE,Medium,Medium
permutation-difference-between-two-strings,100,Accepted,823,823,60.076,SUCCESS,51.0774,Accepted,TRUE,Easy,Easy
special-permutations,84.82,Accepted,590,590,60.562,SUCCESS,15.4915,Accepted,TRUE,Medium,Medium
robot-collisions,58.7091,Accepted,2433,2433,60.7135,SUCCESS,32.8563,Accepted,TRUE,Hard,Hard
find-number-of-ways-to-reach-the-k-th-stair,34.2854,Accepted,600,600,61.3206,SUCCESS,37.7358,Accepted,TRUE,Hard,Hard
divide-intervals-into-minimum-number-of-groups,34.4278,Accepted,,,61.49,,92.24,Accepted,TRUE,Medium,Medium
redistribute-characters-to-make-all-strings-equal,74.6865,Accepted,179,179,61.7349,SUCCESS,86.7347,Accepted,TRUE,Easy,Easy
row-with-maximum-ones,75.8444,Accepted,1049,1049,62.2723,SUCCESS,22.5079,Accepted,TRUE,Easy,Easy
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,94.1607,Accepted,,,62.34,,64.94,Accepted,TRUE,Hard,Hard
find-occurrences-of-an-element-in-an-array,60.1515,Accepted,527,527,62.5515,SUCCESS,83.5392,Accepted,TRUE,Medium,Medium
count-beautiful-substrings-i,39.8455,Accepted,619,619,62.6075,SUCCESS,99.1304,Accepted,TRUE,Medium,Medium
extra-characters-in-a-string,98.28,Accepted,,,62.68,,79.49,Accepted,TRUE,Medium,Medium
minimum-processing-time,54.9591,Accepted,716,716,63.1576,SUCCESS,51.5786,Accepted,TRUE,Medium,Medium
minimum-replacements-to-sort-the-array,91.4286,Accepted,47,47,63.2074,SUCCESS,74.5282,Accepted,TRUE,Hard,Hard
count-the-number-of-incremovable-subarrays-i,,Wrong Answer,615,615,63.6375,SUCCESS,43.3884,Accepted,TRUE,Easy,Easy
design-a-text-editor,94.9496,Accepted,45,45,63.7865,SUCCESS,29.2059,Accepted,TRUE,Hard,Hard
maximum-deletions-on-a-string,58.75,Accepted,129,129,63.8291,SUCCESS,85.1063,Accepted,TRUE,Hard,Hard
sum-in-a-matrix,92.0001,Accepted,1057,1057,63.8888,SUCCESS,37.4999,Accepted,TRUE,Medium,Medium
design-graph-with-shortest-path-calculator,93.3736,Accepted,36,36,64.119,SUCCESS,30.5882,Accepted,TRUE,Hard,Hard
split-strings-by-separator,7.4554,Accepted,1036,1036,64.2978,SUCCESS,40.1016,Accepted,TRUE,Easy,Easy
determine-if-a-cell-is-reachable-at-a-given-time,65.0487,Accepted,806,806,64.4473,SUCCESS,13.8775,Accepted,TRUE,Medium,Medium
sum-multiples,100,Accepted,1000,1000,64.4929,SUCCESS,67.1843,Accepted,TRUE,Easy,Easy
count-equal-and-divisible-pairs-in-an-array,96.6148,Accepted,238,238,64.5307,SUCCESS,31.9371,Accepted,TRUE,Easy,Easy
find-the-maximum-divisibility-score,93.151,Accepted,160,160,64.8,SUCCESS,90,Accepted,TRUE,Easy,Easy
minimum-number-of-operations-to-make-elements-in-array-distinct,50.8975,Accepted,781,781,64.8102,SUCCESS,8.2146,Accepted,TRUE,Easy,Easy
choose-k-elements-with-maximum-sum,,Runtime Error,635,635,64.825,SUCCESS,79.3971,Accepted,TRUE,Medium,Medium
maximum-difference-between-adjacent-elements-in-a-circular-array,100,Accepted,962,962,64.9706,SUCCESS,16.047,Accepted,TRUE,Easy,Easy
frog-jump-ii,62.6604,Accepted,34,34,65.0976,SUCCESS,47.0589,Accepted,TRUE,Medium,Medium
distribute-candies-among-children-i,75.5556,Accepted,,,65.1,,20.9,Accepted,TRUE,Easy,Easy
remove-nodes-from-linked-list,93.5159,Accepted,32,32,65.1928,SUCCESS,45.7394,Accepted,TRUE,Medium,Medium
stone-game-iii,93.253,Accepted,,,65.21,,86.13,Accepted,TRUE,Hard,Hard
minimum-degree-of-a-connected-trio-in-a-graph,82.99,Accepted,68,68,65.3544,SUCCESS,21.26,Accepted,TRUE,Hard,Hard
find-xor-beauty-of-array,61.2245,Accepted,32,32,65.4618,SUCCESS,59.0362,Accepted,TRUE,Medium,Medium
find-all-good-indices,55.3573,Accepted,68,68,65.5399,SUCCESS,37.8372,Accepted,TRUE,Medium,Medium
generate-binary-strings-without-adjacent-zeros,68.8051,Accepted,,,65.56,,45.88,Accepted,TRUE,Medium,Medium
longest-subarray-with-maximum-bitwise-and,88.5059,Accepted,52,52,65.625,SUCCESS,34.375,Accepted,TRUE,Medium,Medium
longest-subsequence-with-limited-sum,97.7214,Accepted,57,57,65.7516,SUCCESS,25.4248,Accepted,TRUE,Easy,Easy
smallest-subarrays-with-maximum-bitwise-or,32.9524,Accepted,59,59,65.854,SUCCESS,75.6098,Accepted,TRUE,Medium,Medium
process-restricted-friend-requests,62.64,Accepted,,,66.42,,74.63,Accepted,TRUE,Hard,Hard
maximum-strong-pair-xor-i,77.5887,Accepted,861,861,66.4739,SUCCESS,97.8805,Accepted,TRUE,Easy,Easy
length-of-the-longest-valid-substring,54.8785,Accepted,763,763,66.5473,SUCCESS,74.733,Accepted,TRUE,Hard,Hard
make-lexicographically-smallest-array-by-swapping-elements,60.5389,Accepted,523,523,66.8378,SUCCESS,98.7145,Accepted,TRUE,Medium,Medium
minimize-deviation-in-array,63.636,Accepted,76,76,67.1225,SUCCESS,68.4931,Accepted,TRUE,Hard,Hard
minimum-number-of-operations-to-make-array-xor-equal-to-k,68.4784,Accepted,684,684,67.1358,SUCCESS,51.6432,Accepted,TRUE,Medium,Medium
minimum-cost-for-cutting-cake-ii,29.41,Accepted,566,566,67.1875,SUCCESS,50,Accepted,TRUE,Hard,Hard
strange-printer-ii,61.6869,Accepted,153,153,67.3765,SUCCESS,5.6737,Accepted,TRUE,Hard,Hard
find-xor-sum-of-all-pairs-bitwise-and,23.3083,Accepted,84,84,67.5673,SUCCESS,97.2972,Accepted,TRUE,Hard,Hard
sum-of-imbalance-numbers-of-all-subarrays,55.2629,Accepted,1303,1303,67.5676,SUCCESS,18.919,Accepted,TRUE,Hard,Hard
count-ways-to-build-good-strings,87.1344,Accepted,36,36,67.7021,SUCCESS,83.0188,Accepted,TRUE,Medium,Medium
fancy-sequence,94.7368,Accepted,107,107,67.742,SUCCESS,100,Accepted,TRUE,Hard,Hard
rearrange-array-to-maximize-prefix-score,67.4665,Accepted,1071,1071,67.9084,SUCCESS,60.7451,Accepted,TRUE,Medium,Medium
minimum-number-of-operations-to-make-word-k-periodic,42.9757,Accepted,820,820,68.0854,SUCCESS,6.3828,Accepted,TRUE,Medium,Medium
kth-distinct-string-in-an-array,71.0307,Accepted,66,66,68.1016,SUCCESS,67.7488,Accepted,TRUE,Easy,Easy
divide-array-into-equal-pairs,68.2,Accepted,137,137,68.1967,SUCCESS,72.6777,Accepted,TRUE,Easy,Easy
minimum-number-of-days-to-disconnect-island,76.875,Accepted,104,104,68.3459,SUCCESS,75.5396,Accepted,TRUE,Hard,Hard
minimize-string-length,69.2759,Accepted,5013,5013,68.3673,SUCCESS,96.5306,Accepted,TRUE,Easy,Easy
number-of-increasing-paths-in-a-grid,75.54,Accepted,,,68.58,,77.43,Accepted,TRUE,Hard,Hard
maximum-prime-difference,58.9481,Accepted,904,904,68.7499,SUCCESS,35.5769,Accepted,TRUE,Medium,Medium
maximum-number-of-alloys,,Wrong Answer,731,731,68.841,SUCCESS,58.6957,Accepted,TRUE,Medium,Medium
finding-3-digit-even-numbers,82.06,Accepted,79,79,68.8474,SUCCESS,43.2722,Accepted,TRUE,Easy,Easy
difference-between-maximum-and-minimum-price-sum,71.1114,Accepted,58,58,68.9655,SUCCESS,65.5171,Accepted,TRUE,Hard,Hard
build-a-matrix-with-conditions,52.7919,Accepted,53,53,68.9903,SUCCESS,87.0192,Accepted,TRUE,Hard,Hard
maximum-number-of-robots-within-budget,27.3456,Accepted,82,82,69.061,SUCCESS,48.7623,Accepted,TRUE,Hard,Hard
check-if-two-chessboard-squares-have-the-same-color,23.1144,Accepted,506,506,69.144,SUCCESS,84.9002,Accepted,TRUE,Easy,Easy
replace-non-coprime-numbers-in-array,83.146,Accepted,71,71,69.565,SUCCESS,94.2028,Accepted,TRUE,Hard,Hard
shortest-string-that-contains-three-strings,78.4814,Accepted,5324,5324,69.8626,SUCCESS,21.9179,Accepted,TRUE,Medium,Medium
count-array-pairs-divisible-by-k,,Wrong Answer,115,115,70.1287,SUCCESS,87.0129,Accepted,TRUE,Hard,Hard
check-if-matrix-is-x-matrix,31.49,Accepted,84,84,70.2778,SUCCESS,70.5556,Accepted,TRUE,Easy,Easy
smallest-missing-non-negative-integer-after-operations,63.9336,Accepted,1062,1062,70.5042,SUCCESS,57.5542,Accepted,TRUE,Medium,Medium
count-number-of-distinct-integers-after-reverse-operations,31.1806,Accepted,,,70.51,,93.13,Accepted,TRUE,Medium,Medium
number-of-unequal-triplets-in-array,20.493,Accepted,104,104,70.6514,SUCCESS,58.6994,Accepted,TRUE,Easy,Easy
allocate-mailboxes,,Wrong Answer,,,70.71,,77.27,Accepted,TRUE,Hard,Hard
count-the-number-of-good-subarrays,49.5112,Accepted,41,41,70.7684,SUCCESS,93.786,Accepted,TRUE,Medium,Medium
number-of-ways-to-divide-a-long-corridor,75.6757,Accepted,248,248,70.8865,SUCCESS,32.9115,Accepted,TRUE,Hard,Hard
minimum-money-required-before-transactions,97.1428,Accepted,56,56,70.9678,SUCCESS,54.8388,Accepted,TRUE,Hard,Hard
separate-squares-ii,86.4579,Accepted,763,763,71.014,SUCCESS,97.1014,Accepted,TRUE,Hard,Hard
minimum-cost-to-make-all-characters-equal,80.2467,Accepted,1574,1574,71.25,SUCCESS,73.75,Accepted,TRUE,Medium,Medium
longest-non-decreasing-subarray-from-two-arrays,99.2518,Accepted,2973,2973,71.6291,SUCCESS,73.0337,Accepted,TRUE,Medium,Medium
stone-game-iv,85.294,Accepted,72,72,71.7262,SUCCESS,87.958,Accepted,TRUE,Hard,Hard
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,70.6671,Accepted,72,72,71.7949,SUCCESS,32.8205,Accepted,TRUE,Hard,Hard
count-submatrices-with-top-left-element-and-sum-less-than-k,88.957,Accepted,859,859,71.8226,SUCCESS,23.7568,Accepted,TRUE,Medium,Medium
earliest-second-to-mark-indices-i,68.254,Accepted,570,570,71.875,SUCCESS,51.5625,Accepted,TRUE,Medium,Medium
destroy-sequential-targets,62.8568,Accepted,45,45,71.9624,SUCCESS,26.1679,Accepted,TRUE,Medium,Medium
ant-on-the-boundary,44.7986,Accepted,641,641,72.0451,SUCCESS,94.5591,Accepted,TRUE,Easy,Easy
rearranging-fruits,86.3945,Accepted,40,40,72.0928,SUCCESS,76.7441,Accepted,TRUE,Hard,Hard
maximum-value-of-an-ordered-triplet-ii,,Wrong Answer,599,599,72.1853,SUCCESS,97.2923,Accepted,TRUE,Medium,Medium
car-fleet-ii,79.6051,Accepted,85,85,72.3078,SUCCESS,76.1539,Accepted,TRUE,Hard,Hard
palindrome-partitioning-iv,83.56,Accepted,,,72.31,,46.05,Accepted,TRUE,Hard,Hard
find-all-people-with-secret,56.3299,Accepted,56,56,72.3925,SUCCESS,69.325,Accepted,TRUE,Hard,Hard
find-longest-awesome-substring,18.75,Accepted,153,153,72.4143,SUCCESS,96.5517,Accepted,TRUE,Hard,Hard
number-of-ways-of-cutting-a-pizza,,Wrong Answer,54,54,72.4837,SUCCESS,89.9329,Accepted,TRUE,Hard,Hard
number-of-adjacent-elements-with-the-same-color,95.6989,Accepted,183,183,72.619,SUCCESS,40.0794,Accepted,TRUE,Medium,Medium
maximum-number-of-balls-in-a-box,17.1567,Accepted,97,97,72.7272,SUCCESS,25.7576,Accepted,TRUE,Easy,Easy
longest-nice-substring,70.941,Accepted,73,73,73.0665,SUCCESS,40.0363,Accepted,TRUE,Easy,Easy
count-fertile-pyramids-in-a-land,61.64,Accepted,,,73.08,,47.44,Accepted,TRUE,Hard,Hard
largest-element-in-an-array-after-merge-operations,95.4838,Accepted,1023,1023,73.2921,SUCCESS,83.2299,Accepted,TRUE,Medium,Medium
minimum-score-after-removals-on-a-tree,97.1429,Accepted,65,65,73.5292,SUCCESS,94.1176,Accepted,TRUE,Hard,Hard
find-the-sum-of-encrypted-integers,66.0274,Accepted,865,865,73.6842,SUCCESS,96.7418,Accepted,TRUE,Easy,Easy
find-the-score-of-all-prefixes-of-an-array,96.7592,Accepted,43,43,73.8888,SUCCESS,32.222,Accepted,TRUE,Medium,Medium
maximize-win-from-two-segments,71,Accepted,72,72,73.9502,SUCCESS,42.0169,Accepted,TRUE,Medium,Medium
divide-array-into-arrays-with-max-difference,95.8421,Accepted,1117,1117,74.0089,SUCCESS,56.3878,Accepted,TRUE,Medium,Medium
apply-operations-to-maximize-score,85.294,Accepted,870,870,74.0158,SUCCESS,74.8032,Accepted,TRUE,Hard,Hard
count-of-interesting-subarrays,50.7523,Accepted,617,617,74.1759,SUCCESS,67.9745,Accepted,TRUE,Medium,Medium
minimum-operations-to-form-subsequence-with-target-sum,,Wrong Answer,754,754,74.1936,SUCCESS,22.5807,Accepted,TRUE,Hard,Hard
sorting-the-sentence,97.55,Accepted,,,74.41,,69.06,Accepted,TRUE,Easy,Easy
number-of-ways-to-reorder-array-to-get-same-bst,98.4127,Accepted,161,161,74.4184,SUCCESS,88.372,Accepted,TRUE,Hard,Hard
minimum-total-cost-to-make-arrays-unequal,80.2324,Accepted,104,104,74.6032,SUCCESS,33.3334,Accepted,TRUE,Hard,Hard
count-pairs-that-form-a-complete-day-i,85.9575,Accepted,667,667,74.87,SUCCESS,82.1491,Accepted,TRUE,Easy,Easy
maximize-happiness-of-selected-children,33.8017,Accepted,,,74.88,,93.6,Accepted,TRUE,Medium,Medium
count-the-number-of-incremovable-subarrays-ii,,Wrong Answer,840,840,75,SUCCESS,50.9616,Accepted,TRUE,Hard,Hard
lexicographically-smallest-string-after-substring-operation,72.02,Accepted,,,75.29,,28.16,Accepted,TRUE,Medium,Medium
valid-arrangement-of-pairs,54.5035,Accepted,40,40,75.4624,SUCCESS,93.9812,Accepted,TRUE,Hard,Hard
meeting-rooms-iii,77.7605,Accepted,81,81,75.4642,SUCCESS,67.6809,Accepted,TRUE,Hard,Hard
max-dot-product-of-two-subsequences,49.06,Accepted,,,75.48,,63.23,Accepted,TRUE,Hard,Hard
maximum-number-of-events-that-can-be-attended-ii,34.5137,Accepted,69,69,75.5404,SUCCESS,69.7848,Accepted,TRUE,Hard,Hard
partition-string-into-substrings-with-values-at-most-k,74.336,Accepted,56,56,75.7352,SUCCESS,33.8235,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-columns-strictly-increasing,94.2761,Accepted,722,722,76.0192,SUCCESS,52.2782,Accepted,TRUE,Easy,Easy
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,,Wrong Answer,66,66,76.3644,SUCCESS,41.0909,Accepted,TRUE,Hard,Hard
count-the-number-of-arrays-with-k-matching-adjacent-elements,47.0527,Accepted,809,809,76.5428,SUCCESS,7.4073,Accepted,TRUE,Hard,Hard
put-marbles-in-bags,81.2801,Accepted,,,76.58,,35.1,Accepted,TRUE,Hard,Hard
sum-of-scores-of-built-strings,35.2936,Accepted,150,150,76.6234,SUCCESS,93.5065,Accepted,TRUE,Hard,Hard
minimum-operations-to-maximize-last-elements-in-arrays,,Wrong Answer,,,77.08,,59.38,Accepted,TRUE,Medium,Medium
minimum-cost-to-split-an-array,91.7651,Accepted,59,59,77.2711,SUCCESS,84.3433,Accepted,TRUE,Hard,Hard
count-pairs-of-points-with-distance-k,85.7144,Accepted,1007,1007,77.273,SUCCESS,59.0908,Accepted,TRUE,Medium,Medium
minimum-number-of-operations-to-make-array-continuous,92.16,Accepted,,,77.29,,16.16,Accepted,TRUE,Hard,Hard
sum-of-digit-differences-of-all-pairs,46.7638,Accepted,643,643,77.6,SUCCESS,16.8,Accepted,TRUE,Medium,Medium
minimum-number-of-changes-to-make-binary-string-beautiful,42.41,Accepted,577,577,77.8062,SUCCESS,64.5408,Accepted,TRUE,Medium,Medium
gcd-sort-of-an-array,94.62,Accepted,91,91,77.9663,SUCCESS,77.9663,Accepted,TRUE,Hard,Hard
longest-substring-of-one-repeating-character,73.4375,Accepted,57,57,78.049,SUCCESS,36.5858,Accepted,TRUE,Hard,Hard
maximum-points-inside-the-square,87.4076,Accepted,576,576,78.2253,SUCCESS,66.9355,Accepted,TRUE,Medium,Medium
count-vowel-strings-in-ranges,94.947,Accepted,94,94,78.3295,SUCCESS,76.5238,Accepted,TRUE,Medium,Medium
find-the-divisibility-array-of-a-string,59.9055,Accepted,51,51,78.4921,SUCCESS,84.0782,Accepted,TRUE,Medium,Medium
minimum-cost-to-change-the-final-value-of-expression,84,Accepted,70,70,78.5716,SUCCESS,96.4286,Accepted,TRUE,Hard,Hard
apply-operations-on-array-to-maximize-sum-of-squares,51.1624,Accepted,918,918,78.7879,SUCCESS,87.8788,Accepted,TRUE,Hard,Hard
count-pairs-of-nodes,46.1532,Accepted,63,63,78.9472,SUCCESS,64.9122,Accepted,TRUE,Hard,Hard
maximum-total-damage-with-spell-casting,5,Accepted,554,554,78.966,SUCCESS,77.5861,Accepted,TRUE,Medium,Medium
find-the-minimum-area-to-cover-all-ones-i,74.684,Accepted,712,712,78.9865,SUCCESS,36.9564,Accepted,TRUE,Medium,Medium
find-the-losers-of-the-circular-game,74.4565,Accepted,1277,1277,79,SUCCESS,48,Accepted,TRUE,Easy,Easy
ways-to-express-an-integer-as-sum-of-powers,82.8,Accepted,1502,1502,79.0246,SUCCESS,82.9269,Accepted,TRUE,Medium,Medium
minimize-length-of-array-using-operations,44.8277,Accepted,523,523,79.4116,SUCCESS,67.647,Accepted,TRUE,Medium,Medium
points-that-intersect-with-cars,83.7712,Accepted,807,807,79.513,SUCCESS,66.3324,Accepted,TRUE,Easy,Easy
minimum-number-of-operations-to-make-arrays-similar,59.0247,Accepted,32,32,79.5701,SUCCESS,58.6022,Accepted,TRUE,Hard,Hard
find-longest-special-substring-that-occurs-thrice-ii,,Wrong Answer,906,906,79.9061,SUCCESS,33.6443,Accepted,TRUE,Medium,Medium
count-all-possible-routes,,Wrong Answer,109,109,80.0007,SUCCESS,88.3334,Accepted,TRUE,Hard,Hard
count-operations-to-obtain-zero,100,Accepted,161,161,80.1642,SUCCESS,15.7276,Accepted,TRUE,Easy,Easy
divide-players-into-teams-of-equal-skill,88.1702,Accepted,89,89,80.1652,SUCCESS,13.6954,Accepted,TRUE,Medium,Medium
number-of-subarrays-with-gcd-equal-to-k,78.613,Accepted,87,87,80.3799,SUCCESS,56.9619,Accepted,TRUE,Medium,Medium
maximum-elegance-of-a-k-length-subsequence,66.6662,Accepted,2729,2729,80.392,SUCCESS,39.2156,Accepted,TRUE,Hard,Hard
number-of-ways-to-reconstruct-a-tree,91.4286,Accepted,81,81,80.769,SUCCESS,84.6153,Accepted,TRUE,Hard,Hard
sort-the-people,80.0758,Accepted,,,80.96,,75.21,Accepted,TRUE,Easy,Easy
maximum-number-of-k-divisible-components,37.9998,Accepted,736,736,80.9885,SUCCESS,26.2356,Accepted,TRUE,Hard,Hard
minimum-number-of-coins-to-be-added,92.9078,Accepted,628,628,80.9918,SUCCESS,71.0744,Accepted,TRUE,Medium,Medium
minimum-time-to-repair-cars,82.9341,Accepted,1072,1072,81.1238,SUCCESS,82.251,Accepted,TRUE,Medium,Medium
find-common-elements-between-two-arrays,60.4755,Accepted,1208,1208,81.1696,SUCCESS,83.6257,Accepted,TRUE,Easy,Easy
minimum-cost-to-cut-a-stick,98.58,Accepted,,,81.27,,62.99,Accepted,TRUE,Hard,Hard
maximum-sum-of-an-hourglass,73.5931,Accepted,41,41,81.3665,SUCCESS,20.4969,Accepted,TRUE,Medium,Medium
maximum-path-quality-of-a-graph,86.6386,Accepted,62,62,81.4389,SUCCESS,54.1666,Accepted,TRUE,Hard,Hard
naming-a-company,89.9224,Accepted,89,89,81.4434,SUCCESS,36.0823,Accepted,TRUE,Hard,Hard
cherry-pickup-ii,91.2649,Accepted,59,59,81.5256,SUCCESS,75.5726,Accepted,TRUE,Hard,Hard
number-of-distinct-roll-sequences,91,Accepted,,,81.71,,63.41,Accepted,TRUE,Hard,Hard
number-of-rectangles-that-can-form-the-largest-square,67.04,Accepted,68,68,81.7911,SUCCESS,97.3134,Accepted,TRUE,Easy,Easy
length-of-longest-subarray-with-at-most-k-frequency,98.1688,Accepted,993,993,81.9885,SUCCESS,71.5566,Accepted,TRUE,Medium,Medium
make-string-a-subsequence-using-cyclic-increments,61.1401,Accepted,1128,1128,82.1586,SUCCESS,74.8898,Accepted,TRUE,Medium,Medium
maximum-building-height,39.0249,Accepted,50,50,82.2224,SUCCESS,91.1111,Accepted,TRUE,Hard,Hard
number-of-unique-good-subsequences,79.4116,Accepted,69,69,82.2786,SUCCESS,62.0253,Accepted,TRUE,Hard,Hard
total-appeal-of-a-string,66.8536,Accepted,77,77,82.38,SUCCESS,21.5104,Accepted,TRUE,Hard,Hard
continuous-subarrays,82.9921,Accepted,2139,2139,82.5464,SUCCESS,64.5791,Accepted,TRUE,Medium,Medium
minimum-score-of-a-path-between-two-cities,83.5155,Accepted,43,43,82.7734,SUCCESS,75.7659,Accepted,TRUE,Medium,Medium
maximum-genetic-difference-query,80,Accepted,59,59,82.927,SUCCESS,92.683,Accepted,TRUE,Hard,Hard
closest-subsequence-sum,93.4886,Accepted,74,74,83.116,SUCCESS,53.2458,Accepted,TRUE,Hard,Hard
minimum-operations-to-make-median-of-array-equal-to-k,100,Accepted,723,723,83.1521,SUCCESS,30.9779,Accepted,TRUE,Medium,Medium
number-of-great-partitions,85.9874,Accepted,46,46,83.3335,SUCCESS,96.6667,Accepted,TRUE,Hard,Hard
maximize-score-after-n-operations,,Wrong Answer,77,77,83.4426,SUCCESS,41.0588,Accepted,TRUE,Hard,Hard
take-gifts-from-the-richest-pile,82.5921,Accepted,103,103,83.4441,SUCCESS,10.1728,Accepted,TRUE,Easy,Easy
check-if-digits-are-equal-in-string-after-operations-i,75.657,Accepted,706,706,83.7814,SUCCESS,28.8077,Accepted,TRUE,Easy,Easy
number-of-subarrays-with-lcm-equal-to-k,90.6045,Accepted,102,102,83.8707,SUCCESS,29.0323,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-all-array-elements-equal,58.1826,Accepted,31,31,83.9691,SUCCESS,29.7707,Accepted,TRUE,Medium,Medium
double-a-number-represented-as-a-linked-list,64.9689,Accepted,1265,1265,84.0105,SUCCESS,41.8782,Accepted,TRUE,Medium,Medium
design-spreadsheet,75.3221,Accepted,658,658,84.0784,SUCCESS,70.6618,Accepted,TRUE,Medium,Medium
