slug,code,radon
collecting-chocolates,"```python
class Solution:
    def minCost(self, nums: List[int], x: int) -> int:
        n = len(nums)
        res = float('inf')
        min_costs = nums.copy()
        
        for rotate in range(n):
            current_cost = sum(min_costs) + rotate * x
            if current_cost < res:
                res = current_cost
            new_min_costs = [0] * n
            for i in range(n):
                new_min_costs[i] = min(min_costs[i], min_costs[(i + 1) % n])
            min_costs = new_min_costs
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 2}, {'name': 'minCost', 'complexity': 4, 'lineno': 3}], 'maintainability_index': 60.73882817000716, 'raw_metrics': {'loc': 15, 'lloc': 15, 'sloc': 15, 'comments': 0}}"
sum-of-number-and-its-reverse,"```python
class Solution:
    def sumOfNumberAndReverse(self, num: int) -> bool:
        for i in range(num + 1):
            reversed_i = int(str(i)[::-1])
            if i + reversed_i == num:
                return True
        return False
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 1}, {'name': 'sumOfNumberAndReverse', 'complexity': 3, 'lineno': 2}], 'maintainability_index': 69.1293612310883, 'raw_metrics': {'loc': 7, 'lloc': 8, 'sloc': 7, 'comments': 0}}"
painting-a-grid-with-three-different-colors,"```python
class Solution:
    def colorTheGrid(self, m: int, n: int) -> int:
        MOD = 10**9 + 7
        
        def get_valid_states(m):
            from itertools import product
            colors = [0, 1, 2]
            states = []
            for state in product(colors, repeat=m):
                valid = True
                for i in range(m - 1):
                    if state[i] == state[i + 1]:
                        valid = False
                        break
                if valid:
                    states.append(state)
            return states
        
        states = get_valid_states(m)
        if not states:
            return 0
        
        state_to_idx = {state: idx for idx, state in enumerate(states)}
        k = len(states)
        
        transition = [[0] * k for _ in range(k)]
        for i in range(k):
            for j in range(k):
                valid = True
                for x in range(m):
                    if states[i][x] == states[j][x]:
                        valid = False
                        break
                if valid:
                    transition[i][j] = 1
        
        dp = [1] * k
        
        for _ in range(1, n):
            new_dp = [0] * k
            for i in range(k):
                for j in range(k):
                    if transition[i][j]:
                        new_dp[j] = (new_dp[j] + dp[i]) % MOD
            dp = new_dp
        
        return sum(dp) % MOD
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 14, 'lineno': 1}, {'name': 'colorTheGrid', 'complexity': 13, 'lineno': 2}], 'maintainability_index': 47.09936841032752, 'raw_metrics': {'loc': 40, 'lloc': 41, 'sloc': 40, 'comments': 0}}"
maximum-number-of-robots-within-budget,"```python
from collections import deque

class Solution:
    def maximumRobots(self, chargeTimes: List[int], runningCosts: List[int], budget: int) -> int:
        n = len(chargeTimes)
        left = 0
        current_sum = 0
        max_deque = deque()
        max_k = 0
        
        for right in range(n):
            current_sum += runningCosts[right]
            
            while max_deque and chargeTimes[right] >= chargeTimes[max_deque[-1]]:
                max_deque.pop()
            max_deque.append(right)
            
            while left <= right and (chargeTimes[max_deque[0]] + (right - left + 1) * current_sum) > budget:
                current_sum -= runningCosts[left]
                if max_deque[0] == left:
                    max_deque.popleft()
                left += 1
            
            max_k = max(max_k, right - left + 1)
        
        return max_k
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 3}, {'name': 'maximumRobots', 'complexity': 7, 'lineno': 4}], 'maintainability_index': 53.56650865720178, 'raw_metrics': {'loc': 21, 'lloc': 21, 'sloc': 21, 'comments': 0}}"
apply-operations-on-array-to-maximize-sum-of-squares,"```python
class Solution:
    def maxSum(self, nums: List[int], k: int) -> int:
        MOD = 10**9 + 7
        bits = [0] * 30
        
        for num in nums:
            for i in range(30):
                if num & (1 << i):
                    bits[i] += 1
        
        res = 0
        for _ in range(k):
            current = 0
            for i in range(30):
                if bits[i] > 0:
                    current += (1 << i)
                    bits[i] -= 1
            res = (res + current * current) % MOD
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 2}, {'name': 'maxSum', 'complexity': 7, 'lineno': 3}], 'maintainability_index': 55.626135938628664, 'raw_metrics': {'loc': 18, 'lloc': 18, 'sloc': 18, 'comments': 0}}"
find-the-k-th-character-in-string-game-i,"```python
class Solution:
    def kthCharacter(self, k: int) -> str:
        word = ""a""
        while len(word) < k:
            next_part = []
            for c in word:
                if c == 'z':
                    next_part.append('a')
                else:
                    next_part.append(chr(ord(c) + 1))
            word += ''.join(next_part)
        return word[k-1]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 1}, {'name': 'kthCharacter', 'complexity': 4, 'lineno': 2}], 'maintainability_index': 63.668749447472834, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
merge-bsts-to-create-single-bst,"```python
class Solution:
    def canMerge(self, trees: List[TreeNode]) -> Optional[TreeNode]:
        if not trees:
            return None
        
        leaves = set()
        root_dict = {}
        
        for tree in trees:
            root_dict[tree.val] = tree
            if tree.left:
                leaves.add(tree.left.val)
            if tree.right:
                leaves.add(tree.right.val)
        
        candidates = []
        for tree in trees:
            if tree.val not in leaves:
                candidates.append(tree)
        
        if len(candidates) != 1:
            return None
        
        root = candidates[0]
        del root_dict[root.val]
        stack = [(root, float('-inf'), float('inf'))]
        count = 1
        
        while stack:
            node, lower, upper = stack.pop()
            if not node:
                continue
            if node.val <= lower or node.val >= upper:
                return None
            if node.left:
                if node.left.val in root_dict:
                    left_node = root_dict[node.left.val]
                    node.left = left_node
                    del root_dict[left_node.val]
                    count += 1
                stack.append((node.left, lower, node.val))
            if node.right:
                if node.right.val in root_dict:
                    right_node = root_dict[node.right.val]
                    node.right = right_node
                    del root_dict[right_node.val]
                    count += 1
                stack.append((node.right, node.val, upper))
        
        return root if len(root_dict) == 0 and count == len(trees) else None
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 19, 'lineno': 2}, {'name': 'canMerge', 'complexity': 18, 'lineno': 3}], 'maintainability_index': 45.63523682890412, 'raw_metrics': {'loc': 44, 'lloc': 44, 'sloc': 44, 'comments': 0}}"
process-restricted-friend-requests,"```python
class Solution:
    def friendRequests(self, n: int, restrictions: List[List[int]], requests: List[List[int]]) -> List[bool]:
        parent = list(range(n))
        
        def find(u):
            while parent[u] != u:
                parent[u] = parent[parent[u]]
                u = parent[u]
            return u
        
        def union(u, v):
            u_root = find(u)
            v_root = find(v)
            if u_root != v_root:
                parent[v_root] = u_root
        
        res = []
        for u, v in requests:
            u_root = find(u)
            v_root = find(v)
            if u_root == v_root:
                res.append(True)
                continue
            
            valid = True
            for x, y in restrictions:
                x_root = find(x)
                y_root = find(y)
                if (x_root == u_root and y_root == v_root) or (x_root == v_root and y_root == u_root):
                    valid = False
                    break
            if valid:
                union(u, v)
                res.append(True)
            else:
                res.append(False)
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 2}, {'name': 'friendRequests', 'complexity': 9, 'lineno': 3}], 'maintainability_index': 50.56237617226994, 'raw_metrics': {'loc': 34, 'lloc': 34, 'sloc': 34, 'comments': 0}}"
find-the-longest-equal-subarray,"```python
from collections import defaultdict
from typing import List

class Solution:
    def longestEqualSubarray(self, nums: List[int], k: int) -> int:
        pos_dict = defaultdict(list)
        for idx, num in enumerate(nums):
            pos_dict[num].append(idx)
        
        max_len = 0
        for num in pos_dict:
            indices = pos_dict[num]
            left = 0
            for right in range(len(indices)):
                while (indices[right] - indices[left] + 1) - (right - left + 1) > k:
                    left += 1
                max_len = max(max_len, right - left + 1)
        return max_len
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 4}, {'name': 'longestEqualSubarray', 'complexity': 5, 'lineno': 5}], 'maintainability_index': 58.18557584368123, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
intersection-of-multiple-arrays,"```python
from typing import List

class Solution:
    def intersection(self, nums: List[List[int]]) -> List[int]:
        if not nums:
            return []
        common = set(nums[0])
        for arr in nums[1:]:
            common.intersection_update(arr)
        return sorted(common)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 3}, {'name': 'intersection', 'complexity': 3, 'lineno': 4}], 'maintainability_index': 75.54020827753493, 'raw_metrics': {'loc': 10, 'lloc': 10, 'sloc': 10, 'comments': 0}}"
find-xor-sum-of-all-pairs-bitwise-and,"```python
from typing import List

class Solution:
    def getXORSum(self, arr1: List[int], arr2: List[int]) -> int:
        xor1 = 0
        for num in arr1:
            xor1 ^= num
        
        xor2 = 0
        for num in arr2:
            xor2 ^= num
        
        return xor1 & xor2
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 3}, {'name': 'getXORSum', 'complexity': 3, 'lineno': 4}], 'maintainability_index': 67.50178924900142, 'raw_metrics': {'loc': 11, 'lloc': 11, 'sloc': 11, 'comments': 0}}"
beautiful-towers-i,"```python
from typing import List

class Solution:
    def maximumSumOfHeights(self, heights: List[int]) -> int:
        n = len(heights)
        max_sum = 0
        
        for peak in range(n):
            current_sum = 0
            left = peak
            current_height = heights[peak]
            
            for i in range(peak, -1, -1):
                if heights[i] < current_height:
                    current_height = heights[i]
                current_sum += current_height
            
            current_height = heights[peak]
            for i in range(peak + 1, n):
                if heights[i] < current_height:
                    current_height = heights[i]
                current_sum += current_height
            
            if current_sum > max_sum:
                max_sum = current_sum
        
        return max_sum
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 3}, {'name': 'maximumSumOfHeights', 'complexity': 7, 'lineno': 4}], 'maintainability_index': 56.46663691222468, 'raw_metrics': {'loc': 22, 'lloc': 22, 'sloc': 22, 'comments': 0}}"
put-marbles-in-bags,"```python
class Solution:
    def putMarbles(self, weights: List[int], k: int) -> int:
        if k == 1 or k == len(weights):
            return 0
        
        n = len(weights)
        splits = []
        for i in range(n - 1):
            splits.append(weights[i] + weights[i + 1])
        
        splits.sort()
        min_sum = sum(splits[:k-1])
        max_sum = sum(splits[-(k-1):])
        
        return max_sum - min_sum
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 2}, {'name': 'putMarbles', 'complexity': 4, 'lineno': 3}], 'maintainability_index': 59.151135269216965, 'raw_metrics': {'loc': 13, 'lloc': 15, 'sloc': 13, 'comments': 0}}"
earliest-second-to-mark-indices-i,"```python
from typing import List

class Solution:
    def earliestSecondToMarkIndices(self, nums: List[int], changeIndices: List[int]) -> int:
        n = len(nums)
        m = len(changeIndices)
        
        last_pos = {}
        for s in range(m):
            idx = changeIndices[s] - 1  # converting to 0-based
            last_pos[idx] = s + 1  # 1-based second
        
        if len(last_pos) < n:
            return -1
        
        left = 1
        right = m
        answer = -1
        
        while left <= right:
            mid = (left + right) // 2
            total_required = 0
            required_positions = []
            possible = True
            
            last_positions = {}
            for s in range(mid):
                idx = changeIndices[s] - 1
                last_positions[idx] = s + 1  # 1-based
            
            if len(last_positions) < n:
                possible = False
            else:
                total_required = sum(nums[i] + 1 for i in range(n))
                if total_required > mid:
                    possible = False
                else:
                    indices_order = sorted(range(n), key=lambda x: last_positions[x])
                    current_time = 0
                    possible = True
                    for i in indices_order:
                        required = nums[i] + 1
                        if current_time + required > last_positions[i]:
                            possible = False
                            break
                        current_time += required
            
            if possible:
                answer = mid
                right = mid - 1
            else:
                left = mid + 1
        
        return answer
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 12, 'lineno': 3}, {'name': 'earliestSecondToMarkIndices', 'complexity': 11, 'lineno': 4}], 'maintainability_index': 59.77902602982598, 'raw_metrics': {'loc': 46, 'lloc': 47, 'sloc': 46, 'comments': 3}}"
divide-players-into-teams-of-equal-skill,"```python
from typing import List

class Solution:
    def dividePlayers(self, skill: List[int]) -> int:
        skill.sort()
        n = len(skill)
        total_skill = sum(skill)
        if total_skill % (n // 2) != 0:
            return -1
        target = total_skill // (n // 2)
        left, right = 0, n - 1
        chemistry_sum = 0
        while left < right:
            if skill[left] + skill[right] != target:
                return -1
            chemistry_sum += skill[left] * skill[right]
            left += 1
            right -= 1
        return chemistry_sum
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'dividePlayers', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 55.28891018518323, 'raw_metrics': {'loc': 19, 'lloc': 19, 'sloc': 19, 'comments': 0}}"
find-the-width-of-columns-of-a-grid,"```python
from typing import List

class Solution:
    def findColumnWidth(self, grid: List[List[int]]) -> List[int]:
        if not grid:
            return []
        n = len(grid[0])
        ans = [0] * n
        for row in grid:
            for i in range(n):
                num = row[i]
                if num < 0:
                    length = len(str(abs(num))) + 1
                else:
                    length = len(str(num))
                if length > ans[i]:
                    ans[i] = length
        return ans
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'findColumnWidth', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 59.585274244687625, 'raw_metrics': {'loc': 18, 'lloc': 18, 'sloc': 18, 'comments': 0}}"
decode-the-message,"```python
class Solution:
    def decodeMessage(self, key: str, message: str) -> str:
        substitution = {}
        alphabet = 'abcdefghijklmnopqrstuvwxyz'
        index = 0
        
        for char in key:
            if char == ' ':
                continue
            if char not in substitution:
                substitution[char] = alphabet[index]
                index += 1
                if index == 26:
                    break
        
        decoded = []
        for char in message:
            if char == ' ':
                decoded.append(' ')
            else:
                decoded.append(substitution[char])
        
        return ''.join(decoded)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 1}, {'name': 'decodeMessage', 'complexity': 7, 'lineno': 2}], 'maintainability_index': 58.7999970135384, 'raw_metrics': {'loc': 20, 'lloc': 20, 'sloc': 20, 'comments': 0}}"
count-prefix-and-suffix-pairs-i,"```python
class Solution:
    def countPrefixSuffixPairs(self, words: List[str]) -> int:
        count = 0
        n = len(words)
        for i in range(n):
            for j in range(i + 1, n):
                s1 = words[i]
                s2 = words[j]
                if s2.startswith(s1) and s2.endswith(s1):
                    count += 1
        return count
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 2}, {'name': 'countPrefixSuffixPairs', 'complexity': 5, 'lineno': 3}], 'maintainability_index': 65.83115922178618, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
longest-non-decreasing-subarray-from-two-arrays,"```python
from typing import List

class Solution:
    def maxNonDecreasingLength(self, nums1: List[int], nums2: List[int]) -> int:
        n = len(nums1)
        if n == 0:
            return 0
        
        dp1 = dp2 = 1
        max_len = 1
        
        for i in range(1, n):
            new_dp1 = new_dp2 = 1
            if nums1[i] >= nums1[i-1]:
                new_dp1 = max(new_dp1, dp1 + 1)
            if nums1[i] >= nums2[i-1]:
                new_dp1 = max(new_dp1, dp2 + 1)
            if nums2[i] >= nums1[i-1]:
                new_dp2 = max(new_dp2, dp1 + 1)
            if nums2[i] >= nums2[i-1]:
                new_dp2 = max(new_dp2, dp2 + 1)
            
            dp1, dp2 = new_dp1, new_dp2
            max_len = max(max_len, dp1, dp2)
        
        return max_len
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 3}, {'name': 'maxNonDecreasingLength', 'complexity': 7, 'lineno': 4}], 'maintainability_index': 54.15761510744312, 'raw_metrics': {'loc': 22, 'lloc': 22, 'sloc': 22, 'comments': 0}}"
check-if-string-is-transformable-with-substring-sort-operations,"```python
from collections import defaultdict, deque

class Solution:
    def isTransformable(self, s: str, t: str) -> bool:
        if sorted(s) != sorted(t):
            return False
        
        pos = defaultdict(deque)
        for idx, ch in enumerate(s):
            pos[int(ch)].append(idx)
        
        for ch in t:
            d = int(ch)
            if not pos[d]:
                return False
            for smaller in range(d):
                if pos[smaller] and pos[smaller][0] < pos[d][0]:
                    return False
            pos[d].popleft()
        
        return True
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 2}, {'name': 'isTransformable', 'complexity': 8, 'lineno': 3}], 'maintainability_index': 60.88254153772511, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
find-the-divisibility-array-of-a-string,"```python
class Solution:
    def divisibilityArray(self, word: str, m: int) -> List[int]:
        n = len(word)
        div = [0] * n
        current_remainder = 0
        for i in range(n):
            digit = int(word[i])
            current_remainder = (current_remainder * 10 + digit) % m
            if current_remainder == 0:
                div[i] = 1
        return div
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 2}, {'name': 'divisibilityArray', 'complexity': 3, 'lineno': 3}], 'maintainability_index': 63.70684363741992, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
design-graph-with-shortest-path-calculator,"```python
import heapq
from typing import List

class Graph:

    def __init__(self, n: int, edges: List[List[int]]):
        self.n = n
        self.graph = [[] for _ in range(n)]
        for edge in edges:
            from_node, to_node, cost = edge
            self.graph[from_node].append((to_node, cost))

    def addEdge(self, edge: List[int]) -> None:
        from_node, to_node, cost = edge
        self.graph[from_node].append((to_node, cost))

    def shortestPath(self, node1: int, node2: int) -> int:
        heap = []
        heapq.heappush(heap, (0, node1))
        visited = {}
        
        while heap:
            current_cost, current_node = heapq.heappop(heap)
            if current_node == node2:
                return current_cost
            if current_node in visited:
                continue
            visited[current_node] = current_cost
            for neighbor, cost in self.graph[current_node]:
                if neighbor not in visited:
                    heapq.heappush(heap, (current_cost + cost, neighbor))
        
        return -1
```","{'cyclomatic_complexity': [{'name': 'Graph', 'complexity': 4, 'lineno': 4}, {'name': '__init__', 'complexity': 3, 'lineno': 5}, {'name': 'addEdge', 'complexity': 1, 'lineno': 11}, {'name': 'shortestPath', 'complexity': 6, 'lineno': 14}], 'maintainability_index': 55.044502426104096, 'raw_metrics': {'loc': 28, 'lloc': 28, 'sloc': 28, 'comments': 0}}"
extra-characters-in-a-string,"```python
from typing import List

class Solution:
    def minExtraChar(self, s: str, dictionary: List[str]) -> int:
        n = len(s)
        dp = [float('inf')] * (n + 1)
        dp[0] = 0
        dictionary_set = set(dictionary)
        
        for i in range(1, n + 1):
            dp[i] = dp[i - 1] + 1
            for j in range(i):
                if s[j:i] in dictionary_set:
                    dp[i] = min(dp[i], dp[j])
        
        return dp[n]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'minExtraChar', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 61.65394646002831, 'raw_metrics': {'loc': 14, 'lloc': 14, 'sloc': 14, 'comments': 0}}"
fruits-into-baskets-ii,"```python
from typing import List

class Solution:
    def numOfUnplacedFruits(self, fruits: List[int], baskets: List[int]) -> int:
        unplaced = 0
        used_baskets = [False] * len(baskets)
        
        for fruit in fruits:
            placed = False
            for i in range(len(baskets)):
                if not used_baskets[i] and baskets[i] >= fruit:
                    used_baskets[i] = True
                    placed = True
                    break
            if not placed:
                unplaced += 1
                
        return unplaced
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'numOfUnplacedFruits', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 60.21657538812676, 'raw_metrics': {'loc': 16, 'lloc': 16, 'sloc': 16, 'comments': 0}}"
faulty-keyboard,"```python
class Solution:
    def finalString(self, s: str) -> str:
        result = []
        for char in s:
            if char == 'i':
                result.reverse()
            else:
                result.append(char)
        return ''.join(result)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 1}, {'name': 'finalString', 'complexity': 3, 'lineno': 2}], 'maintainability_index': 73.90483161137286, 'raw_metrics': {'loc': 9, 'lloc': 9, 'sloc': 9, 'comments': 0}}"
count-the-number-of-incremovable-subarrays-i,"```python
from typing import List

class Solution:
    def incremovableSubarrayCount(self, nums: List[int]) -> int:
        n = len(nums)
        count = 0
        
        for i in range(n):
            for j in range(i, n):
                remaining = nums[:i] + nums[j+1:]
                strictly_increasing = True
                for k in range(len(remaining) - 1):
                    if remaining[k] >= remaining[k+1]:
                        strictly_increasing = False
                        break
                if strictly_increasing:
                    count += 1
        
        return count
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'incremovableSubarrayCount', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 59.00406708099282, 'raw_metrics': {'loc': 17, 'lloc': 18, 'sloc': 17, 'comments': 0}}"
smallest-missing-non-negative-integer-after-operations,"```python
from typing import List
from collections import defaultdict

class Solution:
    def findSmallestInteger(self, nums: List[int], value: int) -> int:
        freq = defaultdict(int)
        for num in nums:
            mod = num % value
            if mod < 0:
                mod += value
            freq[mod] += 1
        
        mex = 0
        while True:
            mod = mex % value
            if freq[mod] > 0:
                freq[mod] -= 1
                mex += 1
            else:
                return mex
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 4}, {'name': 'findSmallestInteger', 'complexity': 5, 'lineno': 5}], 'maintainability_index': 57.568507701770415, 'raw_metrics': {'loc': 19, 'lloc': 19, 'sloc': 19, 'comments': 0}}"
sum-multiples,"```python
class Solution:
    def sumOfMultiples(self, n: int) -> int:
        total = 0
        for num in range(1, n + 1):
            if num % 3 == 0 or num % 5 == 0 or num % 7 == 0:
                total += num
        return total
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 1}, {'name': 'sumOfMultiples', 'complexity': 5, 'lineno': 2}], 'maintainability_index': 66.28287852070146, 'raw_metrics': {'loc': 7, 'lloc': 7, 'sloc': 7, 'comments': 0}}"
lexicographically-smallest-string-after-substring-operation,"```python
class Solution:
    def smallestString(self, s: str) -> str:
        s = list(s)
        n = len(s)
        i = 0
        while i < n and s[i] == 'a':
            i += 1
        if i == n:
            s[-1] = 'z'
            return ''.join(s)
        j = i
        while j < n and s[j] != 'a':
            s[j] = chr(ord(s[j]) - 1)
            j += 1
        return ''.join(s)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 1}, {'name': 'smallestString', 'complexity': 6, 'lineno': 2}], 'maintainability_index': 58.46568286727844, 'raw_metrics': {'loc': 15, 'lloc': 15, 'sloc': 15, 'comments': 0}}"
length-of-longest-subarray-with-at-most-k-frequency,"```python
from typing import List
from collections import defaultdict

class Solution:
    def maxSubarrayLength(self, nums: List[int], k: int) -> int:
        freq = defaultdict(int)
        left = 0
        max_len = 0
        
        for right in range(len(nums)):
            freq[nums[right]] += 1
            
            while freq[nums[right]] > k:
                freq[nums[left]] -= 1
                left += 1
            
            max_len = max(max_len, right - left + 1)
        
        return max_len
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 4}, {'name': 'maxSubarrayLength', 'complexity': 3, 'lineno': 5}], 'maintainability_index': 61.24322293734288, 'raw_metrics': {'loc': 15, 'lloc': 15, 'sloc': 15, 'comments': 0}}"
decode-xored-array,"```python
from typing import List

class Solution:
    def decode(self, encoded: List[int], first: int) -> List[int]:
        arr = [first]
        for num in encoded:
            arr.append(arr[-1] ^ num)
        return arr
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 3, 'lineno': 3}, {'name': 'decode', 'complexity': 2, 'lineno': 4}], 'maintainability_index': 72.44064369438814, 'raw_metrics': {'loc': 8, 'lloc': 8, 'sloc': 8, 'comments': 0}}"
destroy-sequential-targets,"```python
from typing import List
from collections import defaultdict

class Solution:
    def destroyTargets(self, nums: List[int], space: int) -> int:
        mod_counts = defaultdict(int)
        mod_min = {}
        
        for num in nums:
            mod = num % space
            mod_counts[mod] += 1
            if mod in mod_min:
                if num < mod_min[mod]:
                    mod_min[mod] = num
            else:
                mod_min[mod] = num
        
        max_count = max(mod_counts.values()) if mod_counts else 0
        candidates = [mod_min[mod] for mod in mod_counts if mod_counts[mod] == max_count]
        
        return min(candidates) if candidates else min(nums)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 9, 'lineno': 4}, {'name': 'destroyTargets', 'complexity': 8, 'lineno': 5}], 'maintainability_index': 59.106465512680536, 'raw_metrics': {'loc': 18, 'lloc': 18, 'sloc': 18, 'comments': 0}}"
maximum-deletions-on-a-string,"```python
class Solution:
    def deleteString(self, s: str) -> int:
        n = len(s)
        dp = [0] * (n + 1)
        for i in range(n - 1, -1, -1):
            dp[i] = 1
            max_len = (n - i) // 2
            for l in range(1, max_len + 1):
                if s[i:i+l] == s[i+l:i+2*l]:
                    dp[i] = max(dp[i], 1 + dp[i + l])
        return dp[0]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 1}, {'name': 'deleteString', 'complexity': 4, 'lineno': 2}], 'maintainability_index': 60.77451089738033, 'raw_metrics': {'loc': 11, 'lloc': 11, 'sloc': 11, 'comments': 0}}"
minimum-difference-in-sums-after-removal-of-elements,"```python
import heapq

class Solution:
    def minimumDifference(self, nums: List[int]) -> int:
        n = len(nums) // 3
        
        max_heap = []
        left_sum = 0
        left_sums = [0] * (3 * n)
        
        for i in range(2 * n):
            num = nums[i]
            heapq.heappush(max_heap, -num)
            left_sum += num
            if len(max_heap) > n:
                val = -heapq.heappop(max_heap)
                left_sum -= val
            if i >= n - 1:
                left_sums[i] = left_sum
        
        min_heap = []
        right_sum = 0
        right_sums = [0] * (3 * n)
        
        for i in range(3 * n - 1, n - 1, -1):
            num = nums[i]
            heapq.heappush(min_heap, num)
            right_sum += num
            if len(min_heap) > n:
                val = heapq.heappop(min_heap)
                right_sum -= val
            if i <= 2 * n:
                right_sums[i] = right_sum
        
        min_diff = float('inf')
        for i in range(n - 1, 2 * n):
            diff = left_sums[i] - right_sums[i + 1]
            if diff < min_diff:
                min_diff = diff
        
        return min_diff
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 3}, {'name': 'minimumDifference', 'complexity': 9, 'lineno': 4}], 'maintainability_index': 46.80317674748986, 'raw_metrics': {'loc': 35, 'lloc': 35, 'sloc': 35, 'comments': 0}}"
make-array-empty,"```python
from typing import List
import bisect

class Solution:
    def countOperationsToEmptyArray(self, nums: List[int]) -> int:
        n = len(nums)
        sorted_nums = sorted((num, i) for i, num in enumerate(nums))
        res = n  # initial pass through all elements
        
        for k in range(1, n):
            if sorted_nums[k-1][1] > sorted_nums[k][1]:
                res += n - k
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 4}, {'name': 'countOperationsToEmptyArray', 'complexity': 4, 'lineno': 5}], 'maintainability_index': 81.04456553099892, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 1}}"
ways-to-split-array-into-good-subarrays,"```python
class Solution:
    def numberOfGoodSubarraySplits(self, nums: List[int]) -> int:
        MOD = 10**9 + 7
        ones = []
        for i, num in enumerate(nums):
            if num == 1:
                ones.append(i)
        if not ones:
            return 0
        if len(ones) == 1:
            return 1
        res = 1
        for i in range(1, len(ones)):
            res *= (ones[i] - ones[i-1])
            res %= MOD
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 2}, {'name': 'numberOfGoodSubarraySplits', 'complexity': 6, 'lineno': 3}], 'maintainability_index': 57.80969915845673, 'raw_metrics': {'loc': 17, 'lloc': 17, 'sloc': 17, 'comments': 0}}"
minimize-length-of-array-using-operations,"```python
from typing import List

class Solution:
    def minimumArrayLength(self, nums: List[int]) -> int:
        min_num = min(nums)
        for num in nums:
            if num % min_num != 0:
                return 1
        return (nums.count(min_num) + 1) // 2
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 4, 'lineno': 3}, {'name': 'minimumArrayLength', 'complexity': 3, 'lineno': 4}], 'maintainability_index': 67.20722666417035, 'raw_metrics': {'loc': 9, 'lloc': 9, 'sloc': 9, 'comments': 0}}"
